ticker,variant,kind,note,out_of_market_ticker,start,end,observations,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
AUSF,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2018-08-28,2026-03-26,1904,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.1146299095754737,0.11628032919633044,0.12428783833489904,0.9355728666147367,0.9355728666147367,-0.14145119477986742,5.0718313814853255,2.2703800718976805,1.2703800718976805
AUSF,hybridL200_S20_eL3_eS2_xL2_xS1_SHY,hybrid,"Same signals, park in SHY instead of cash when out.",SHY,2018-08-28,2026-03-26,1904,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.11357906772818138,0.11520213451519248,0.12320397700158206,0.9350520763929007,0.9350520763929007,-0.1428517451801454,4.917612594582062,2.254257666012369,1.2542576660123692
AUSF,hybridL150_S20_eL3_eS2_xL2_xS1_SHY,hybrid,Shorter long filter plus SHY parking asset.,SHY,2018-08-28,2026-03-26,1904,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.11383631307610664,0.11552079516534353,0.12391666014466907,0.932245874206716,0.932245874206716,-0.13233768936456158,5.0052412628112934,2.2581952088335444,1.2581952088335444
AUSF,hybridL150_S20_eL3_eS2_xL2_xS1,hybrid,Shorter long filter benchmark.,,2018-08-28,2026-03-26,1904,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.10725160335542605,0.10953327409126827,0.12346667592862731,0.8871484817051886,0.8871484817051886,-0.13430329476227054,4.9681984848878535,2.159262848701107,1.1592628487011072
AUSF,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Current zero-cash benchmark.,,2018-08-28,2026-03-26,1904,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.10616574736294293,0.10846529440241133,0.12276094278649739,0.8835488872959483,0.8835488872959483,-0.14325716628592547,4.833629541995322,2.143314999934597,1.143314999934597
AUSF,baseline_buyhold,baseline,total return buy and hold,,2018-08-28,2026-03-26,1904,,,,,,,,,,0.1233248457494327,0.1349747857155445,0.19246680163522487,0.7012886615706182,0.7012886615706182,-0.4424580863586643,7.47632537911788,2.4076651641041282,1.4076651641041282
DGRO,hybridL150_S20_eL3_eS2_xL2_xS1_SHY,hybrid,Shorter long filter plus SHY parking asset.,SHY,2014-06-12,2026-03-26,2965,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.09980408004857999,0.10084536344576303,0.10661303415295392,0.9459008858249339,0.9459008858249339,-0.1974010618983644,6.033832373680875,3.062745321447778,2.062745321447778
DGRO,hybridL150_S20_eL3_eS2_xL2_xS1,hybrid,Shorter long filter benchmark.,,2014-06-12,2026-03-26,2965,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.09621761693341435,0.09753752660084797,0.10623476265894236,0.9181319199063295,0.9181319199063295,-0.1948856137261156,6.078056718397938,2.9472733298100695,1.9472733298100695
DGRO,hybridL200_S20_eL3_eS2_xL2_xS1_SHY,hybrid,"Same signals, park in SHY instead of cash when out.",SHY,2014-06-12,2026-03-26,2965,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.09851935963949354,0.09999993255459547,0.1095725317502733,0.9126368712781527,0.9126368712781527,-0.15645424229940877,5.344271175067097,3.020914220352198,2.020914220352198
DGRO,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Current zero-cash benchmark.,,2014-06-12,2026-03-26,2965,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.09525591799128619,0.0969859621887198,0.10922832978280987,0.8879194837233816,0.8879194837233816,-0.1470567609865877,5.348588123581333,2.9169946426419626,1.9169946426419626
DGRO,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2014-06-12,2026-03-26,2965,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.09341362373692363,0.09539232726113281,0.11005017438484375,0.8668075974831928,0.8668075974831928,-0.18434192508718256,6.2368932717359185,2.8597842916515623,1.8597842916515623
DGRO,baseline_buyhold,baseline,total return buy and hold,,2014-06-12,2026-03-26,2965,,,,,,,,,,0.11742810087564837,0.12422656995476757,0.16212126231661964,0.7662571101386785,0.7662571101386785,-0.3510319184736077,5.553832868895373,3.692713020621181,2.692713020621181
DGRW,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2013-05-22,2026-03-26,3231,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.10220476888280605,0.10338254196298334,0.10988061615171765,0.9408624158080612,0.9408624158080612,-0.16590471864889406,4.990748519287392,3.482273500447753,2.482273500447753
DGRW,hybridL200_S20_eL3_eS2_xL2_xS1_SHY,hybrid,"Same signals, park in SHY instead of cash when out.",SHY,2013-05-22,2026-03-26,3231,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.0982877827796187,0.09978516054037466,0.10955150277600426,0.9108515904560575,0.9108515904560575,-0.17039968437486386,5.168200796339657,3.326896132111808,2.326896132111808
DGRW,hybridL150_S20_eL3_eS2_xL2_xS1_SHY,hybrid,Shorter long filter plus SHY parking asset.,SHY,2013-05-22,2026-03-26,3231,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.0946586748074032,0.09619971551832707,0.10702486873189128,0.8988538519894625,0.8988538519894625,-0.16352048379472853,5.4382432387886,3.1886682832073614,2.1886682832073614
DGRW,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Current zero-cash benchmark.,,2013-05-22,2026-03-26,3231,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.09554821776457012,0.09726134416681137,0.10932002422154796,0.88969376707877,0.88969376707877,-0.15848688929972538,5.074769648650963,3.2220509522384497,2.2220509522384497
