ticker,variant,kind,note,out_of_market_ticker,start,end,observations,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
AUSF,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2018-08-28,2026-03-26,1904,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.1146299095754737,0.11628032919633044,0.12428783833489904,0.9355728666147367,0.9355728666147367,-0.14145119477986742,5.0718313814853255,2.2703800718976805,1.2703800718976805
DGRO,hybridL150_S20_eL3_eS2_xL2_xS1_SHY,hybrid,Shorter long filter plus SHY parking asset.,SHY,2014-06-12,2026-03-26,2965,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.09980408004857999,0.10084536344576303,0.10661303415295392,0.9459008858249339,0.9459008858249339,-0.1974010618983644,6.033832373680875,3.062745321447778,2.062745321447778
DGRW,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2013-05-22,2026-03-26,3231,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.10220476888280605,0.10338254196298334,0.10988061615171765,0.9408624158080612,0.9408624158080612,-0.16590471864889406,4.990748519287392,3.482273500447753,2.482273500447753
EQWL,hybridL150_S20_eL3_eS2_xL2_xS1_SHY,hybrid,Shorter long filter plus SHY parking asset.,SHY,2006-12-01,2026-03-26,4858,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.10498415320175547,0.10662452656986006,0.1162979110862007,0.9168223708749965,0.9168223708749965,-0.16124969823568797,6.020036476179803,6.851857032842727,5.851857032842727
IWY,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2009-09-28,2026-03-26,4149,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.14658131024198684,0.14745325443396687,0.14554195578869106,1.0131322863906733,1.0131322863906733,-0.24644787480709995,6.535224075869657,9.507329814589417,8.507329814589417
QQQM,hybridL150_S20_eL3_eS2_xL2_xS1,hybrid,Shorter long filter benchmark.,,2020-10-13,2026-03-26,1369,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.16128467374207256,0.1609049486800667,0.15063580961193512,1.0681719645188401,1.0681719645188401,-0.14326839846238854,5.42441759364276,2.253108127895683,1.253108127895683
SCHG,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2010-01-04,2026-03-26,4082,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.14032596546971243,0.1445395969675986,0.1623136252290249,0.8904957717730284,0.8904957717730284,-0.32022041576773763,8.238055184471408,8.390338745562383,7.390338745562383
SPHQ,hybridL200_S20_eL2_eS2_xL2_xS1_SHY,hybrid,Faster bull entry plus SHY parking asset.,SHY,2005-12-06,2026-03-26,5107,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.0906331652884349,0.09523277177488733,0.12992318712729964,0.7329928851081648,0.7329928851081648,-0.27886658592874247,9.309129386466125,5.802187400813392,4.802187400813392
SPMO,hybridL200_S20_eL3_eS2_xL2_xS1_SHY,hybrid,"Same signals, park in SHY instead of cash when out.",SHY,2015-10-12,2026-03-26,2629,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.1568916782735481,0.15613288067429043,0.14373147549968976,1.0862817634862967,1.0862817634862967,-0.15869188420854557,6.23224944183664,4.574078086456438,3.5740780864564377
