variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,kind,note,out_of_market_ticker,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,beat_sharpe_count,beat_cagr_count,better_maxdd_count,beat_sharpe_share,beat_cagr_share,better_maxdd_share
hybridL200_S20_eL3_eS2_xL2_xS1_SHY,0.12035980187002918,0.12241543611426442,0.13260701045738799,0.9201350345132396,0.9201350345132396,-0.20067805572181993,6.611725085834333,4.949747966141079,3.949747966141079,hybrid,"Same signals, park in SHY instead of cash when out.",SHY,200.0,20.0,3.0,2.0,2.0,1.0,,,,9.0,2.0,9.0,1.0,0.2222222222222222,1.0
hybridL150_S20_eL3_eS2_xL2_xS1_SHY,0.11741683132663185,0.11938565409705294,0.12979555805244752,0.9174922614806891,0.9174922614806891,-0.19777722652222166,6.7387535771003675,4.580973300210266,3.5809733002102657,hybrid,Shorter long filter plus SHY parking asset.,SHY,150.0,20.0,3.0,2.0,2.0,1.0,,,,9.0,2.0,9.0,1.0,0.2222222222222222,1.0
hybridL200_S20_eL2_eS2_xL2_xS1_SHY,0.11909757012335083,0.12145554295937168,0.13346996928657537,0.9074734599630399,0.9074734599630399,-0.2085852529958005,6.663950727146078,4.985499154519917,3.9854991545199163,hybrid,Faster bull entry plus SHY parking asset.,SHY,200.0,20.0,2.0,2.0,2.0,1.0,,,,9.0,2.0,9.0,1.0,0.2222222222222222,1.0
hybridL200_S20_eL3_eS2_xL2_xS1,0.1168258360361706,0.11918048598838782,0.13231780374625238,0.8960492857400971,0.8960492857400971,-0.20041893423354468,6.7245916650259785,4.684708263813606,3.684708263813606,hybrid,Current zero-cash benchmark.,,200.0,20.0,3.0,2.0,2.0,1.0,,,,9.0,1.0,9.0,1.0,0.1111111111111111,1.0
hybridL150_S20_eL3_eS2_xL2_xS1,0.11414849730239705,0.11637124124820275,0.1294856524016927,0.894907537296666,0.894907537296666,-0.20492391302437557,6.994368311707774,4.346149560134884,3.3461495601348843,hybrid,Shorter long filter benchmark.,,150.0,20.0,3.0,2.0,2.0,1.0,,,,8.0,1.0,9.0,0.8888888888888888,0.1111111111111111,1.0
