ticker,theme,inception,common_start,end,observations,strat_sharpe,strat_cagr,strat_maxdd,strat_calmar,strat_ulcer,bh_sharpe,bh_cagr,bh_maxdd,sharpe_delta,cagr_delta,maxdd_delta,combined_rank_score,combined_rank,survivor
SMH,tech,2000-06-05,2015-12-02,2026-06-23,2653,1.2929758757734575,0.3665261358400005,-0.29781777329137593,1.2307060515203112,10.768450836521144,1.1006625182604277,0.35655463648086805,-0.4530262576365043,0.1923133575130298,0.00997149935913244,0.15520848434512835,1.0,1,1
IGM,tech,2001-03-19,2015-12-02,2026-06-23,2653,1.284628164573078,0.2509385923730736,-0.2296709477772652,1.0926004999832792,7.214875624154357,0.9650075266707796,0.22882096971630483,-0.4067759668008869,0.31962063790229833,0.022117622656768754,0.1771050190236217,2.4000000000000004,2,1
XLK,tech,1998-12-22,2015-12-02,2026-06-23,2653,1.2097971304884962,0.2400424623726085,-0.2775816623170841,0.8647634010434226,7.681560968599344,0.9947991954985829,0.23724630290810822,-0.33559076562160844,0.21499793498991338,0.002796159464500292,0.058009103304524356,4.6,3,1
IWF,large_growth,2000-05-26,2015-12-02,2026-06-23,2653,1.2144610927131716,0.19118965907750107,-0.18243268430992673,1.0480011287489335,5.12927986804906,0.8541549125244731,0.16866054109629225,-0.32722628318175373,0.36030618018869853,0.022529117981208824,0.144793598871827,5.8,4,1
VUG,large_growth,2004-01-30,2015-12-02,2026-06-23,2653,1.2121789050429408,0.19378041317414096,-0.1892857803759539,1.0237452215864284,5.284479411095034,0.8266837109642652,0.1655361364301593,-0.35612972877918503,0.3854951940786756,0.028244276743981667,0.16684394840323113,6.0,5,1
IYW,tech,2000-05-19,2015-12-02,2026-06-23,2653,1.2014145056355685,0.23833688925654362,-0.28120932247850644,0.8475426317872528,8.586710913436416,0.9754980994926192,0.23673628155666582,-0.39436191941632603,0.22591640614294928,0.0016006076998777985,0.1131525969378196,6.8,6,1
FTEC,tech,2013-10-24,2015-12-02,2026-06-23,2653,1.1847672769969633,0.23354083906054246,-0.28633602263557395,0.8156180871373454,7.857504021258379,0.9687278297402498,0.23120129691030833,-0.34951681186930245,0.21603944725671342,0.0023395421502341307,0.0631807892337285,7.8,7,1
VONG,large_growth,2010-09-22,2015-12-02,2026-06-23,2653,1.207913566929543,0.19011810557605724,-0.18203866666375418,1.0443830921219979,5.460041754541304,0.861878526957707,0.16983999689449258,-0.3271733060584246,0.34603503997183616,0.020278108681564655,0.14513463939467042,8.0,8,1
VGT,tech,2004-01-30,2015-12-02,2026-06-23,2653,1.1563335799450902,0.22716721735704315,-0.2835268610491509,0.8012193854100563,8.000316081317061,0.9797923454659103,0.23369072121134415,-0.3507406911941865,0.1765412344791799,-0.006523503854301005,0.06721383014503557,8.8,9,1
SOXX,tech,2001-07-13,2015-12-02,2026-06-23,2653,1.1140577506436298,0.3090481777560694,-0.3477456703035683,0.8887189809905685,13.785315973826975,1.0404906964000489,0.33956880669996314,-0.4575374102253206,0.0735670542435809,-0.030520628943893735,0.10979173992175228,9.200000000000001,10,1
SPMO,incumbent,2015-10-12,2015-12-02,2026-06-23,2653,1.2036554219572237,0.18257559618433472,-0.1549451567572705,1.1783239954401976,5.849770581121586,0.992153634656936,0.19715507695256318,-0.30947553454615667,0.2115017873002878,-0.014579480768228459,0.15453037778888618,9.4,11,1
QQQ,incumbent,1999-03-10,2015-12-02,2026-06-23,2653,1.1512752454120891,0.20205796656534303,-0.25189825378879965,0.8021411960035083,6.265991249069115,0.9244610799580597,0.19839911033987345,-0.3511871218228136,0.22681416545402944,0.0036588562254695756,0.09928886803401393,9.8,12,1
MGK,large_growth,2007-12-27,2015-12-02,2026-06-23,2653,1.1147388327287795,0.18358904729017267,-0.2580729576511572,0.7113842882303615,6.3888113648921845,0.8487004281518227,0.17416598911854164,-0.3601261598671273,0.2660384045769568,0.009423058171631027,0.10205320221597014,12.600000000000001,13,1
SPYG,large_growth,2000-10-02,2015-12-02,2026-06-23,2653,1.1128324163220908,0.1677566258148353,-0.2298839292401997,0.7297449037403166,6.573940285163257,0.8542410782999766,0.1666192185975861,-0.3266636973801435,0.2585913380221142,0.0011374072172491978,0.0967797681399438,15.4,14,1
IWY,incumbent,2009-09-28,2015-12-02,2026-06-23,2653,1.1089721800721992,0.1784982339483332,-0.24607151032163999,0.7253917111941086,6.706386530201783,0.8945891542143165,0.17858603331685163,-0.32684429089504874,0.21438302585788271,-8.77993685184375e-05,0.08077278057340875,15.6,15,1
MGC,large_growth,2007-12-27,2015-12-02,2026-06-23,2653,1.1350925958344211,0.14492481537603563,-0.153035565990661,0.9470008781153504,5.948449185241989,0.8738768994736655,0.15237494891994707,-0.3306833799387685,0.2612156963607556,-0.007450133543911441,0.1776478139481075,16.0,16,1
XMMO,momentum,2005-03-03,2015-12-02,2026-06-23,2653,1.0830937350399552,0.17927558665307974,-0.21915786409257515,0.8180203224528205,7.813894029289864,0.8645670377061275,0.18240296646769605,-0.36736291966261486,0.21852669733382768,-0.0031273798146163045,0.1482050555700397,16.4,17,1
IUSG,large_growth,2000-07-28,2015-12-02,2026-06-23,2653,1.1001925511403186,0.1632899092337512,-0.23128360666102066,0.7060159238742589,6.710377270888788,0.8481564197561627,0.16343290463627747,-0.3234732417676107,0.2520361313841558,-0.0001429954025262692,0.09218963510659006,17.0,18,1
XLG,large_growth,2005-05-10,2015-12-02,2026-06-23,2653,1.0591428460338757,0.14655871250070107,-0.2281308433814039,0.6424326948884975,6.362458485801676,0.8781139033826376,0.1581204199612738,-0.30463078940535315,0.18102894265123803,-0.011561707460572723,0.07649994602394924,20.4,19,1
SPY,broad_control,1993-01-29,2015-12-02,2026-06-23,2653,1.0776893953542737,0.1332507657037112,-0.1802844115356773,0.7391141839090264,6.348790827055889,0.8487057859285176,0.145135363314155,-0.33717264353564513,0.22898360942575602,-0.011884597610443803,0.15688823199996782,23.0,20,1
OEF,broad_control,2000-10-27,2015-12-02,2026-06-23,2653,1.039963612270524,0.13373859109949193,-0.1625985365608892,0.8225079630369864,5.889966155540395,0.8757116914026019,0.15457612631812578,-0.31435499616268126,0.16425192086792217,-0.02083753521863385,0.15175645960179204,23.8,21,1
QUAL,quality,2013-07-18,2015-12-02,2026-06-23,2653,1.0185450268566416,0.1283355536220805,-0.137839618632283,0.9310498309230189,4.731364610609106,0.7902835170133957,0.1340729334196855,-0.340567074122861,0.2282615098432459,-0.0057373797976050245,0.20272745549057802,25.2,22,1
PDP,momentum,2007-03-01,2015-12-02,2026-06-23,2653,0.9488243027132234,0.14882786074273313,-0.16750354720928673,0.8885057255341624,6.3252735207697794,0.6758559182401319,0.1294422440096472,-0.34698610918980444,0.27296838447309146,0.01938561673308592,0.1794825619805177,25.6,23,1
SPHQ,quality,2005-12-06,2015-12-02,2026-06-23,2653,1.0099891372525363,0.12665381509012286,-0.17222110498522178,0.7354140196754106,6.297524277467686,0.8730189679567202,0.14904683343325087,-0.31594078362850087,0.13697016929581607,-0.022393018343128013,0.1437196786432791,26.2,24,1
SCHG,large_growth,2010-01-04,2015-12-02,2026-06-23,2653,0.9187272408821608,0.16104965870741572,-0.3297157557430395,0.4884499933722551,10.02368131610874,0.8405895725666057,0.16969039703358235,-0.3459129691541001,0.07813766831555513,-0.00864073832616663,0.016197213411060563,27.0,25,1
EQWL,broad_control,2006-12-01,2015-12-02,2026-06-23,2653,0.9942879381056258,0.11781710648319166,-0.1671696446646957,0.7047757188184852,5.64559378793478,0.8573074752533865,0.13841885481117644,-0.3429567301646215,0.1369804628522393,-0.02060174832798478,0.17578708549992583,27.2,26,1
XLI,sector,1998-12-22,2015-12-02,2026-06-23,2653,0.9710824923184322,0.13755308169578595,-0.1725744289643751,0.7970652577050179,6.508632548275253,0.7531686870374036,0.1385678140048232,-0.4233408806906629,0.21791380528102866,-0.0010147323090372584,0.25076645172628775,27.799999999999997,27,1
MTUM,momentum,2013-04-18,2015-12-02,2026-06-23,2653,0.937621953592564,0.14448671684908176,-0.21134367527444947,0.6836576332906688,7.103740751327887,0.8340069444679349,0.1657188006628798,-0.3408230465288341,0.10361500912462906,-0.02123208381379804,0.12947937125438463,28.4,28,1
DGRO,quality,2014-06-12,2015-12-02,2026-06-23,2653,0.991654500663638,0.11184355825974057,-0.16554568589969018,0.6756053934713251,5.962935409335377,0.8259165512240277,0.13041527378603912,-0.35103173818774813,0.1657379494396103,-0.01857171552629855,0.18548605228805795,28.6,29,1
VOT,midcap_growth,2006-08-25,2015-12-02,2026-06-23,2653,0.9437024677272176,0.1348123388428577,-0.17265866912301978,0.7808026062496957,6.845220245032767,0.6234941384154457,0.11453394290792596,-0.3719476102370105,0.3202083293117719,0.020278395934931748,0.19928894111399073,29.4,30,1
GSLC,quality,2015-09-21,2015-12-02,2026-06-23,2653,0.9751131621247148,0.11384651138940316,-0.170062016842799,0.6694411456653485,6.130018988424107,0.8126321428590078,0.13580966841062225,-0.33689452544830767,0.16248101926570702,-0.021963157021219093,0.16683250860550866,30.0,31,1
DGRW,incumbent,2013-05-22,2015-12-02,2026-06-23,2653,0.9814964112365133,0.11074268054375325,-0.13966911730086037,0.7928931082538678,5.1621661915561425,0.854789264521698,0.13301133595324788,-0.32035862835676693,0.1267071467148153,-0.02226865540949463,0.18068951105590655,30.6,32,1
IGV,tech,2001-07-17,2015-12-02,2026-06-23,2653,0.7940145976776265,0.14746931117239326,-0.3731026216567521,0.39525134001353235,12.777886906877223,0.6500312819473908,0.14552297042152462,-0.4585041373696457,0.1439833157302357,0.001946340750868636,0.08540151571289356,31.4,33,1
ITA,sector,2006-05-05,2015-12-02,2026-06-23,2653,0.8797335511879355,0.14085229219862927,-0.2966081563319209,0.4748766653638742,10.266863378304038,0.7251010274109019,0.15005744210084848,-0.5099665907905919,0.15463252377703363,-0.009205149902219212,0.21335843445867103,31.599999999999998,34,1
EWT,international,2000-06-23,2015-12-02,2026-06-23,2653,0.8591057563926396,0.14238944515778051,-0.24739303657316028,0.5755596322763612,10.596493065709165,0.9302385214187308,0.19623261158377647,-0.38881509985806073,-0.07113276502609112,-0.05384316642599596,0.14142206328490045,31.8,35,0
VIG,dividend_growth,2006-05-02,2015-12-02,2026-06-23,2653,0.9831440970421215,0.10755946845583053,-0.16636663969939125,0.6465206525189202,5.394442044965725,0.8450555227758438,0.1295632651728631,-0.317162746776943,0.13808857426627763,-0.022003796717032564,0.15079610707755176,32.0,36,1
LRGF,multifactor,2015-04-30,2015-12-02,2026-06-23,2653,0.896188176584874,0.1076133066284477,-0.18270756331608357,0.5889920738654754,7.003824750346821,0.7605154881202464,0.12962039978469408,-0.3603351384023925,0.13567268846462766,-0.022007093156246382,0.17762757508630894,36.4,37,1
RSP,broad_control,2003-05-01,2015-12-02,2026-06-23,2653,0.88142413447217,0.10796803010687617,-0.1583565494412718,0.6818033765437485,6.414292574035368,0.6880738409466063,0.11514464244055533,-0.39041315082903005,0.19335029352556377,-0.0071766123336791665,0.23205660138775824,36.6,38,1
RDVY,dividend_growth,2014-01-07,2015-12-02,2026-06-23,2653,0.7897769291693337,0.11161165107087712,-0.20415174121646326,0.5467092781370629,8.38159435370557,0.7659190135391595,0.1487040840383409,-0.4059641364024423,0.023857915630174253,-0.037092432967463784,0.20181239518597902,38.0,39,1
IWP,midcap_growth,2001-08-02,2015-12-02,2026-06-23,2653,0.776191645246388,0.11038412387861118,-0.233679971147775,0.4723730636238664,9.131562625332547,0.6147533178830832,0.11512632898868858,-0.3862331116684517,0.16143832736330477,-0.004742205110077391,0.1525531405206767,39.4,40,1
SCHD,dividend_growth,2011-10-20,2015-12-02,2026-06-23,2653,0.806566693794495,0.09405598177248797,-0.17913454569587606,0.5250577514633643,6.965854260113826,0.7918098099525807,0.12461042248889864,-0.3336707831442821,0.014756883841914314,-0.03055444071641067,0.15453623744840606,40.8,41,1
XLY,sector,1998-12-22,2015-12-02,2026-06-23,2653,0.7469620259520747,0.11028277950988818,-0.19782759926795665,0.5574691292720518,7.480279921690388,0.6066444102009442,0.11468917731592265,-0.3966957099378543,0.14031761575113055,-0.004406397806034468,0.19886811066989765,41.6,42,1
SPGP,multifactor,2011-06-16,2015-12-02,2026-06-23,2653,0.7744751325266709,0.10578831611668749,-0.17677253878072588,0.5984431566483898,7.498003293768768,0.7124334777465186,0.13646116199772207,-0.42082244859933904,0.06204165478015233,-0.030672845881034583,0.24404990981861316,42.0,43,1
GLD,sector,2004-11-18,2015-12-02,2026-06-23,2653,0.749667188410762,0.10505713575905662,-0.25394150917185465,0.41370603845612064,11.29367944459755,0.8488374337019425,0.13231910327753305,-0.24464611578427067,-0.09917024529118057,-0.027261967518476427,-0.009295393387583978,43.0,44,0
IMTM,international,2015-01-27,2015-12-02,2026-06-23,2653,0.7288091669915909,0.0933249469809092,-0.19488683105938143,0.4788673840792936,6.434710748953525,0.6292759487772998,0.10076469240193386,-0.30683169591539916,0.09953321821429117,-0.007439745421024657,0.11194486485601773,45.400000000000006,45,1
XLF,sector,1998-12-22,2015-12-02,2026-06-23,2653,0.6834723435472996,0.09611898883364156,-0.22409675793916642,0.4289173556885376,8.537677336648729,0.6199535050557371,0.11896421041332705,-0.4286253694565976,0.06351883849156248,-0.022845221579685493,0.2045286115174312,45.8,46,1
NOBL,dividend_growth,2013-10-10,2015-12-02,2026-06-23,2653,0.7205747699247029,0.07982951848815323,-0.13946580544474754,0.5723949195545245,5.942818638148325,0.6612294423954567,0.10010582773236032,-0.354349251902894,0.05934532752924626,-0.02027630924420709,0.21488344645814647,46.8,47,1
EFG,international,2005-08-05,2015-12-02,2026-06-23,2653,0.646972009803976,0.07614878679412951,-0.18428263783670598,0.41321736918919855,7.606417870552258,0.48962533199768277,0.07362273642846429,-0.3578056827453642,0.1573466778062932,0.0025260503656652222,0.1735230449086582,48.4,48,1
VEA,international,2007-07-26,2015-12-02,2026-06-23,2653,0.5881439882755832,0.0674253816667556,-0.18774471613029375,0.35913331174637575,8.403645508825388,0.595434066306553,0.09268202639106837,-0.3573509247457175,-0.0072900780309698154,-0.02525664472431277,0.16960620861542375,49.4,49,0
EFA,international,2001-08-27,2015-12-02,2026-06-23,2653,0.586408363598836,0.06513166496572897,-0.20065084779335368,0.32460199237636306,7.764139400967837,0.5472279288961135,0.08302071832770719,-0.34193400305540933,0.03918043470272248,-0.017889053361978213,0.14128315526205565,51.2,50,1
ARKK,midcap_growth,2014-10-31,2015-12-02,2026-06-23,2653,0.434759551464592,0.08559099907573975,-0.6144693926498609,0.13929253450140763,33.96078258502829,0.5305626976782017,0.14096370265044023,-0.8091410758425105,-0.09580314621360975,-0.05537270357470048,0.1946716831926496,52.400000000000006,51,0
VEU,international,2007-03-08,2015-12-02,2026-06-23,2653,0.5701944120460593,0.06425082808906679,-0.19925883116647267,0.32244908651194404,8.196775394456543,0.5917476291570329,0.09147032048102521,-0.3497724401684931,-0.021553217110973688,-0.027219492391958422,0.15051360900202046,52.599999999999994,52,0
XLB,sector,1998-12-22,2015-12-02,2026-06-23,2653,0.505480344526247,0.06573176159770644,-0.29549614251882894,0.2224454134575311,13.592458038385367,0.5672465601871238,0.10082095244846934,-0.3727419284636518,-0.06176621566087681,-0.0350891908507629,0.07724578594482284,53.2,53,0
IQLT,international,2015-01-21,2015-12-02,2026-06-23,2653,0.5667539843832375,0.06381274113217605,-0.20588150972377098,0.3099488692199359,9.31293091092213,0.5776078011423065,0.08834245680785457,-0.32208037607937773,-0.010853816759068935,-0.02452971567567852,0.11619886635560675,53.6,54,0
INDA,international,2012-02-03,2015-12-02,2026-06-23,2653,0.5127661951619208,0.06282814686921823,-0.24258604974603626,0.25899323945046765,9.577425786472903,0.42127931511908445,0.06876135080772872,-0.4506711844005909,0.09148688004283634,-0.0059332039385104896,0.20808513465455464,54.599999999999994,55,1
XLE,sector,1998-12-22,2015-12-02,2026-06-23,2653,0.41186378124591355,0.06714390439645213,-0.5128770070831754,0.13091619134636526,22.688544865112796,0.4349305247556002,0.08822689450862042,-0.6681304039783954,-0.023066743509686627,-0.0210829901121683,0.15525339689522,54.599999999999994,56,0
XLU,sector,1998-12-22,2015-12-02,2026-06-23,2653,0.4723718432733639,0.05784994359399587,-0.3020905271497644,0.19149870119997564,16.528379910942554,0.6329689496231811,0.10785878309041941,-0.3606675078570047,-0.16059710634981716,-0.05000883949642354,0.05857698070724027,56.2,57,0
QMOM,momentum,2015-12-02,2015-12-02,2026-06-23,2653,0.4109278678117944,0.06434493318985601,-0.5227287953625043,0.12309429624062283,26.78811168091289,0.563288660224279,0.12010521732972834,-0.3912607820146018,-0.15236079241248462,-0.05576028413987233,-0.13146801334790248,56.4,58,0
VWO,international,2005-03-10,2015-12-02,2026-06-23,2653,0.3917704444347567,0.04575568334714952,-0.293619613249087,0.15583319806478155,16.336154777523074,0.5137416722371607,0.08426977981567196,-0.3639236116654522,-0.12197122780240399,-0.03851409646852244,0.0703039984163652,59.0,59,0
XLP,sector,1998-12-22,2015-12-02,2026-06-23,2653,0.3855122887478282,0.03649557167972928,-0.19735938802359873,0.1849193597791528,7.807194853448582,0.5937884608579926,0.07938567758031145,-0.2451225454044691,-0.20827617211016441,-0.042890105900582176,0.047763157380870364,60.0,60,0
XLV,sector,1998-12-22,2015-12-02,2026-06-23,2653,0.29124820358120235,0.028042739410523376,-0.2439880876323772,0.11493487113508613,9.207159189375993,0.6106767573348469,0.09152398435741027,-0.2840428640137732,-0.3194285537536446,-0.0634812449468869,0.04005477638139601,61.0,61,0
XBI,sector,2006-02-06,2015-12-02,2026-06-23,2653,0.1642294969106062,0.010417169646989244,-0.5581482214172593,0.018663805145768972,36.818987509867604,0.37720433692424293,0.07229235522520305,-0.6389025993722891,-0.21297484001363673,-0.06187518557821381,0.08075437795502982,62.0,62,0
XLRE,sector,2015-10-08,2015-12-02,2026-06-23,2653,0.009261480703930031,-0.007140135838320183,-0.34323842481787425,-0.0208022625733375,15.019762891574425,0.44164013688154646,0.07152313216643558,-0.3882475324654175,-0.43237865617761645,-0.07866326800475576,0.045009107647543234,63.0,63,0
