variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
x100_0_x200_0_x221_0,0.07621614315887193,0.0761300338335858,0.0729521624089667,0.6323326452611893,-0.10789489020121895,3.2808744221392643,2.1986704323871633
x100_0_x200_0_x221_1,0.10095428273506779,0.10008984516551295,0.08814455886289659,0.7951692772611566,-0.08743738899796523,3.856992223574094,2.8055971341452963
x100_0_x200_1_x221_0,0.09309734560734517,0.09321311385092884,0.09133568950373933,0.6920965308784458,-0.10317116139849555,3.824924907077778,2.598137182153978
x100_0_x200_1_x221_1,0.11757977253495588,0.11717292518285598,0.10923785721585312,0.7980102082248189,-0.12358157122418688,5.062345406151423,3.2949189644140766
x100_1_x200_0_x221_0,0.08754746171017525,0.08799630326870744,0.08990508429234888,0.645083687148526,-0.13202933654732185,4.017300909496114,2.460087422716769
x100_1_x200_0_x221_1,0.11212174321736224,0.11195611460063458,0.10623789581164135,0.7714395505907035,-0.11691724081443762,4.59131131989265,3.126357955490393
x100_1_x200_1_x221_0,0.10436454186041777,0.10507938328605049,0.10741200635400232,0.6989850188498311,-0.11691724081443784,4.448078619178478,2.9002296983116023
x100_1_x200_1_x221_1,0.1286680096464763,0.1290391946179776,0.12603238254060062,0.7858233941270825,-0.14831638459486124,5.734944341541039,3.662985870329378
baseline_buyhold,0.17297786206391463,0.18074104361787005,0.20546259957732543,0.733666584224926,-0.31906123348563814,9.122679194972953,5.536250857218385
baseline_sma200,0.09576467139136335,0.09541958097631248,0.08875490215715952,0.7370813260598624,-0.14732584251944195,4.626045495304872,2.6669523907076753
