window,variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
2010-03-23_2025-10-01,x100_0_x200_0_x221_0,0.0863113760970109,0.08537798549608913,0.0717133570731341,0.7722129845297024,-0.10789444101056699,2.8956847434623505,3.6093978354087057
2010-03-23_2025-10-01,x100_0_x200_0_x221_1,0.10307223310005709,0.1018803113685211,0.08665341599323752,0.8295150346309568,-0.08743725744799431,3.5619386052811906,4.576466918737206
2010-03-23_2025-10-01,x100_0_x200_1_x221_0,0.09672831088502565,0.09625301938809351,0.08827554843539433,0.7505251517817721,-0.10317102036576056,3.6230311845154017,4.184990413494822
2010-03-23_2025-10-01,x100_0_x200_1_x221_1,0.11298472914355262,0.11275534526052548,0.10652415567487145,0.7768692906903472,-0.1235817652334293,4.83651176834062,5.257353353137926
2010-03-23_2025-10-01,x100_1_x200_0_x221_0,0.09233741333547663,0.092149741144058,0.08720312204287528,0.7127008722635041,-0.1320291614949001,3.712158162166689,3.932626904221363
2010-03-23_2025-10-01,x100_1_x200_0_x221_1,0.10875803602935918,0.10865206701649001,0.10366484610032173,0.7587149354408381,-0.11691707247613498,4.453617756031288,4.956190852494562
2010-03-23_2025-10-01,x100_1_x200_1_x221_0,0.10250925824374635,0.10302477503606237,0.10392657254570803,0.7026573978848893,-0.11691707247613504,4.4341419705915746,4.54038816276224
2010-03-23_2025-10-01,x100_1_x200_1_x221_1,0.11841369985704553,0.11952710090849436,0.12301041693349984,0.727800971172167,-0.1483165178368686,5.703885634735826,5.669324034031867
2010-03-23_2025-10-01,baseline_buyhold,0.17350092710243192,0.17897688248226137,0.1944296831359585,0.7662249923952537,-0.3190613198733274,8.017363575532702,11.947278899427761
2016-04-20_2025-10-01,x100_0_x200_0_x221_0,0.08315622176609638,0.08270058368007403,0.0748512589294955,0.704070772272704,-0.10789444101056753,3.3647752815229963,2.1243455682833163
2016-04-20_2025-10-01,x100_0_x200_0_x221_1,0.109674328933546,0.10822031094900833,0.09079789586240603,0.8614771323285113,-0.08743725744799441,3.8589828266682473,2.668755069407371
2016-04-20_2025-10-01,x100_0_x200_1_x221_0,0.10080408719536105,0.10051994720399259,0.09432582044623476,0.7476208197329024,-0.1031710203657609,3.9810995376923475,2.4741814424127195
2016-04-20_2025-10-01,x100_0_x200_1_x221_1,0.1270539541130964,0.12603967447292688,0.11301357745705488,0.8498065155881109,-0.12358176523342966,5.244334500511524,3.0900855995766756
2016-04-20_2025-10-01,x100_1_x200_0_x221_0,0.09820776814397258,0.09801039334801186,0.09269411524677541,0.7337077781793463,-0.13202916149490032,4.170803478800537,2.419681855350553
2016-04-20_2025-10-01,x100_1_x200_0_x221_1,0.12464131233675957,0.12353012061694614,0.10968503180677763,0.852715444179383,-0.11691707247613521,4.669694626326956,3.0282511321818597
2016-04-20_2025-10-01,x100_1_x200_1_x221_0,0.11587403529012774,0.1158297568719304,0.11085681544388769,0.7742397842501149,-0.11691707247613489,4.6276927457877735,2.812755628448966
2016-04-20_2025-10-01,x100_1_x200_1_x221_1,0.1420226080736342,0.1413494841408647,0.13023441207495037,0.8549927961956988,-0.14831651783686828,5.967356991600678,3.499604052068372
2016-04-20_2025-10-01,baseline_buyhold,0.18947553445409637,0.19546236154743424,0.20904915214376843,0.7914997972995441,-0.31906131987332725,9.518813557840785,5.137997323562552
2006-07-11_2015-07-20,x100_0_x200_0_x221_0,0.08495620944835003,0.08382309752780025,0.06736767802472013,0.7989454157533857,-0.08529303628641267,3.261282363150043,2.0857967484047713
2006-07-11_2015-07-20,x100_0_x200_0_x221_1,0.08925866355141077,0.08878036421326808,0.08081491834468157,0.7273454631552743,-0.10450247388359045,4.525817201138328,2.161566429370037
2006-07-11_2015-07-20,x100_0_x200_1_x221_0,0.08825736314940702,0.0879860470772437,0.082356994208102,0.704081634289893,-0.12212693880959323,4.395663897292159,2.1437175824262114
2006-07-11_2015-07-20,x100_0_x200_1_x221_1,0.09208458251859986,0.09294331376271153,0.09832221962712293,0.6401738488148223,-0.144773863603932,5.760204599196978,2.2126551175101
2006-07-11_2015-07-20,x100_1_x200_0_x221_0,0.08394634285301228,0.08382089268861329,0.07995282207075644,0.6731581361941548,-0.10682428090658523,4.381168357503011,2.0683581362700707
2006-07-11_2015-07-20,x100_1_x200_0_x221_1,0.08783996843717579,0.08877815937408115,0.09553548491917964,0.615249500474152,-0.12750128862457524,5.687887980913274,2.1363160241274843
2006-07-11_2015-07-20,x100_1_x200_1_x221_0,0.08685591408697824,0.08798384223805676,0.09668627855786092,0.5997111803548931,-0.14467709465688297,5.585340948746125,2.118955882018764
2006-07-11_2015-07-20,x100_1_x200_1_x221_1,0.09027190475903968,0.09294110892352458,0.11390675561979939,0.5525669533913413,-0.16684906328069354,6.91919414982503,2.1797625097658235
2006-07-11_2015-07-20,baseline_buyhold,0.12294936144447699,0.13861058534942067,0.21286581093017917,0.5102302942629211,-0.5335755389503001,15.655332924272921,2.844729133559539
2006-02-28_2011-09-20,x100_0_x200_0_x221_0,0.057088713922889056,0.05755975064316631,0.06376221738735185,0.4322269797447977,-0.08529303628641229,3.7669732515609846,1.3618954949204234
2006-02-28_2011-09-20,x100_0_x200_0_x221_1,0.05850413861611936,0.059995562999557744,0.07907505838636081,0.3793302668586016,-0.10450247388359031,5.328269024949823,1.3720718800937903
2006-02-28_2011-09-20,x100_0_x200_1_x221_0,0.0640077714053724,0.0654248577278756,0.08210224657740213,0.431472453003813,-0.12212693880959324,5.116322570927901,1.4122356843000399
