window,variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
2003-05-26_2010-06-09,x100_0_x200_0_x221_0,0.022971918202838726,0.025473558833652363,0.07421461506910798,-0.060991236862613346,-0.1062745276372878,6.1807191706025515,1.173270791987262
2003-05-26_2010-06-09,x100_0_x200_0_x221_1,0.033393335236231225,0.03642364100141939,0.08444477504103948,0.0760691351039488,-0.12809847742780814,6.5793303584097504,1.2599957542351157
2003-05-26_2010-06-09,x100_0_x200_1_x221_0,0.03371839608791505,0.037230045855417254,0.09006850778770234,0.08027273941807687,-0.12345508428121771,6.877462299742568,1.2627869389706972
2003-05-26_2010-06-09,x100_0_x200_1_x221_1,0.043728393491520245,0.048180128023184284,0.103588628933448,0.17550312433292622,-0.15115894949674655,7.718025593589174,1.3513763872071318
2003-05-26_2010-06-09,x100_1_x200_0_x221_0,0.023110907482950527,0.026765398318424533,0.08839258828845867,-0.036593584871841646,-0.13438970478129517,7.908389451045314,1.1743928159335462
2003-05-26_2010-06-09,x100_1_x200_0_x221_1,0.03318172005368836,0.03771548048619155,0.10057846372119501,0.07671105921421682,-0.1592129519526451,8.07792240137066,1.2581815337590219
2003-05-26_2010-06-09,x100_1_x200_1_x221_0,0.03365395557863482,0.03852188534018943,0.1039829631120268,0.08195463069280219,-0.14964555579186614,8.24058681150303,1.2622331895400936
2003-05-26_2010-06-09,x100_1_x200_1_x221_1,0.04330715101494298,0.04947196750795644,0.11878716818357192,0.1639231560589504,-0.18000523082731276,9.018446552264505,1.3475437275911804
2003-05-26_2010-06-09,baseline_buyhold,0.06437387936209538,0.08934872995945418,0.23239562757465487,0.2553779973351219,-0.5340402878786308,17.577516956478345,1.551054673640411
2006-08-18_2014-08-07,x100_0_x200_0_x221_0,0.08667396434725805,0.08642393948379655,0.08105155233879506,0.6961487825420639,-0.10643362882493873,4.326545632811056,1.9380348614718654
2006-08-18_2014-08-07,x100_0_x200_0_x221_1,0.08521516525591633,0.08604286195110965,0.09213408997153495,0.6082749823482734,-0.12809847742780817,5.984071511206695,1.9174209749967093
2006-08-18_2014-08-07,x100_0_x200_1_x221_0,0.0888149178227855,0.0897077526731201,0.09588972218001765,0.6226710362245949,-0.14406786692917378,5.797412668144384,1.9686389292074808
2006-08-18_2014-08-07,x100_0_x200_1_x221_1,0.0867827511381416,0.08932667514043321,0.11027992615607835,0.5379644075610698,-0.16004912765754206,7.517227887557714,1.9395798319589268
2006-08-18_2014-08-07,x100_1_x200_0_x221_0,0.09174633253182685,0.09204772729765438,0.09216243195005826,0.6732431641048419,-0.12515098964334045,5.521858939923093,2.01122734880713
2006-08-18_2014-08-07,x100_1_x200_0_x221_1,0.08970577755655906,0.0916666497649675,0.10707858180210775,0.575900882577375,-0.1592129519526454,7.28362966310287,1.9814973785981294
2006-08-18_2014-08-07,x100_1_x200_1_x221_0,0.09350400038341289,0.09533154048697792,0.10879750910452252,0.6004874654272964,-0.1620510557419281,7.0049384481636165,2.037147701161918
2006-08-18_2014-08-07,x100_1_x200_1_x221_1,0.09088720178909382,0.094950462954291,0.12592177611527278,0.5158000860378058,-0.18027846307559056,8.74417426313748,1.998663001794953
2006-08-18_2014-08-07,baseline_buyhold,0.12718917009079056,0.1453445906914158,0.22634636646099662,0.5095932949791429,-0.5340402878786317,16.531377459460153,2.593648354791496
2013-04-16_2025-10-01,x100_0_x200_0_x221_0,0.08776278008993144,0.08733625839653954,0.07991658435087064,0.717451313294459,-0.14932300893197473,4.255716059779824,2.8487068104978515
2013-04-16_2025-10-01,x100_0_x200_0_x221_1,0.11793130905748406,0.11634838068388528,0.09834349390359166,0.8780284008267446,-0.11529475573588721,4.097899141444438,4.004047880637232
2013-04-16_2025-10-01,x100_0_x200_1_x221_0,0.0974615686118514,0.0982476951419244,0.10214637028333737,0.6681362730033032,-0.12288836185222095,4.532388050507702,3.1814321071262865
2013-04-16_2025-10-01,x100_0_x200_1_x221_1,0.1272146529050624,0.12725981742927014,0.12215018880651334,0.7962314129807062,-0.13693981952772255,5.605275308360669,4.43806402618348
2013-04-16_2025-10-01,x100_1_x200_0_x221_0,0.0964562952476129,0.09697625985323732,0.09857713164768549,0.6794299928771552,-0.14843634553149654,4.65194550991649,3.1453561429227164
2013-04-16_2025-10-01,x100_1_x200_0_x221_1,0.12641765929062587,0.12598838214058308,0.11743743998070083,0.8173575833767956,-0.12931643401804022,5.116452468536994,4.39917196493175
2013-04-16_2025-10-01,x100_1_x200_1_x221_0,0.10599952162265414,0.10788769659862218,0.11909605558892195,0.6539905642842057,-0.12931643401803936,5.250682193543472,3.5035305523948286
2013-04-16_2025-10-01,x100_1_x200_1_x221_1,0.13553197524608973,0.13689981888596792,0.13949902224290112,0.7663123165109345,-0.1685778223388706,6.435268546183452,4.863237372665226
2013-04-16_2025-10-01,baseline_buyhold,0.19983933635913909,0.2044387935266443,0.2104696335438009,0.8288074179135291,-0.35118716676963335,9.468360302565815,9.652570293459657
2004-05-28_2025-10-01,x100_0_x200_0_x221_0,0.08358955684031377,0.08373344817983003,0.08288761714456193,0.6482687044328354,-0.14932300893197434,4.567725789298963,5.532896124223745
2004-05-28_2025-10-01,x100_0_x200_0_x221_1,0.10023587742097084,0.1001800676572025,0.09621725775978736,0.729391683895332,-0.1280984774278083,4.974753898818942,7.656718845308855
2004-05-28_2025-10-01,x100_0_x200_1_x221_0,0.09313188716511434,0.09409059045277195,0.10016588807949507,0.6398444788100662,-0.14406786692917342,5.2158892947475595,6.669509619622296
