variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
tier_e0_x0,0.033950719549994846,0.039997696538854384,0.11459540149107071,0.08724343567689676,-0.2131542421215561,9.684030612052458,1.4306323571233626
tier_e0_x1,0.1018271141944509,0.10654864493173329,0.13807164192167434,0.5544125054669664,-0.23442433400269114,9.954753688698466,2.829547213067126
tier_e0_x2,0.10198468187693743,0.10672618891059393,0.138249976979142,0.5549815673544001,-0.20027401086485067,8.8297196713002,2.8338904967147616
tier_e0_x3,0.12266699335652409,0.12585606695198,0.14214408684053664,0.6743584561453863,-0.19853171678350326,8.706455851785817,3.459404208518829
tier_e1_x0,0.06971750889744932,0.07033760473735166,0.07649428649006179,0.5273283350723503,-0.11451308240104427,4.454015873307574,2.0603736532526256
tier_e1_x1,0.12368110104197605,0.12526931448213915,0.1311519182787485,0.7264042778211987,-0.19028100839653642,7.308942335609113,3.493069977866049
tier_e1_x2,0.08097712812283753,0.08602612932328323,0.12742953465135856,0.4396636107678506,-0.25845295936884083,10.130476594372764,2.305272524259012
tier_e1_x3,0.10970280408192856,0.11330766858342473,0.13533124320300677,0.6155834130516125,-0.25079062265706453,9.57293015982275,3.0541861080014248
tier_e2_x0,0.08590460121325783,0.08493170974478749,0.07071486595617195,0.7768056829639384,-0.12110741447466442,3.6481598605136973,2.420517938851414
tier_e2_x1,0.1307135682035927,0.13106193602991553,0.12770161855995396,0.7913911911967545,-0.16368444253380132,6.063816714303317,3.7348244097996206
tier_e2_x2,0.12714456224711412,0.12851078293890872,0.13237254249307406,0.7441934791277652,-0.19753785865932913,6.526291372931533,3.610300129519878
tier_e2_x3,0.13683110093590978,0.13778002008667964,0.13762043656206105,0.7831687122869674,-0.19952159151100785,6.663005070876488,3.9573578978137327
tier_e3_x0,0.07621635433714036,0.07613022628512804,0.07295211075531582,0.632335731036633,-0.10789457707990344,3.280863052023011,2.1986750599867984
tier_e3_x1,0.12866801023829777,0.12903918602754663,0.12603231107936122,0.7858237715341322,-0.1483165846368138,5.734947550625867,3.6629858909311843
tier_e3_x2,0.1286959759370423,0.12956648992640835,0.1299481672039758,0.7662015715090599,-0.1820609801016811,5.944997523680698,3.6639595177788915
tier_e3_x3,0.1386356465553955,0.1391491273825944,0.13602922190961458,0.8023947049783112,-0.1995215915110077,6.282350810824198,4.025259150869139
baseline_sma200,0.03415092456963964,0.0401634650593129,0.1143519756686069,0.08887878849392784,-0.2131542421215572,9.684688781160254,1.4336064714589416
baseline_buyhold,0.0988062268207115,0.10669277003565812,0.1574624545700123,0.4870543282529508,-0.24402675904493004,10.469463240963533,2.7474363524575294
