variant,year,cal_year_return,ann_return,ann_vol,sharpe,max_dd,ulcer_index,exposure,entries,exits
tier_e1_x1,2015,-0.00173414573600017,4.0173061050282136e-05,0.05968836926663708,-0.5019374344960673,-0.04773057515194215,1.1533581414764953,0.21825396825396826,0,0
tier_e1_x1,2016,0.012873473670094615,0.017164816767854564,0.09345567829799384,-0.13733979000418817,-0.07287724910718721,2.1576162434836124,0.7063492063492064,0,0
tier_e1_x1,2017,0.2933273195921817,0.26233610243923583,0.08912182257614831,2.6069496305545257,-0.03625748926823724,0.9192611289851924,1.0,1,0
tier_e1_x1,2018,-0.027039722616401196,-0.01685708819604207,0.14579845882685125,-0.3213826028962972,-0.14333026425727105,6.94115579319524,0.7729083665338645,1,0
tier_e1_x1,2019,0.14555670290080602,0.1432863617183145,0.1211896716904507,0.9347856144678462,-0.0945765004515573,3.9906784807900686,0.8531746031746031,0,0
tier_e1_x1,2020,0.26915772152719253,0.2594827490238825,0.20913300772198726,1.0973052581395824,-0.19028100839653625,9.351344417411244,0.8537549407114624,1,0
tier_e1_x1,2021,0.23171054595477747,0.22109537657073963,0.15895616829492604,1.2021891230806643,-0.08802335274772823,2.796185098268802,0.9841269841269841,1,0
tier_e1_x1,2022,-0.14378534756931483,-0.15363792946210308,0.06561561019214929,-2.798692703220107,-0.15199152089019383,13.438093175863466,0.12350597609561753,1,0
tier_e1_x1,2023,0.290243278636487,0.2671136591464411,0.14261096957271177,1.6626607325991574,-0.09026525731888933,3.452906413539971,0.88,0,0
tier_e1_x1,2024,0.2297543501870154,0.2191084117127814,0.15638581708082475,1.2092427257328884,-0.11151277647003957,3.298643910102987,0.9801587301587301,1,0
tier_e1_x1,2025,0.12846692709089313,0.16977603870678734,0.11730694403572602,1.1915410452105746,-0.09421713762780022,5.473164858609345,0.7540106951871658,2,0
