variant,year,cal_year_return,ann_return,ann_vol,sharpe,max_dd,ulcer_index,exposure,entries,exits
tier_e0_x0,2015,0.04479188818868507,0.04537640367516857,0.055931215401246605,0.2749163157792895,-0.03160765962997812,0.8474547497221976,0.15476190476190477,16,15
tier_e0_x0,2016,0.0003290941594609187,0.006345016792099263,0.10972383175464581,-0.21558655790289752,-0.08965264327469288,4.243341198740132,0.5,126,125
tier_e0_x0,2017,0.13025286494530786,0.12554391433514062,0.07197572873882412,1.3274462934837044,-0.044722113752870135,1.209016948700858,0.49800796812749004,125,125
tier_e0_x0,2018,-0.04878731801635572,-0.04211275392240009,0.12724736158679753,-0.5667131563526432,-0.11928097975243954,4.6455437706764675,0.50199203187251,126,125
tier_e0_x0,2019,0.09531451889394837,0.09628351319585203,0.10233757157072969,0.6476948023926948,-0.05535474618506522,2.0224199606841924,0.5,126,125
tier_e0_x0,2020,0.08353979567934644,0.09121506101617637,0.14930607335396837,0.40999712631280827,-0.18770304385237213,10.678727439311768,0.4980237154150198,126,126
tier_e0_x0,2021,0.3228154025986252,0.2863627727463873,0.11385218910138598,2.2517157972087376,-0.04884268110095612,1.1880802869978255,0.5,126,126
tier_e0_x0,2022,-0.16823117618758388,-0.16925682093442665,0.17650082720990679,-1.1289285386603707,-0.18177385145124858,11.894202866229882,0.50199203187251,126,125
tier_e0_x0,2023,0.008374907934802778,0.010660656488614167,0.06718759794261489,-0.2878409721970358,-0.07321574495666346,2.501235381589676,0.5,125,124
tier_e0_x0,2024,0.13349778935015433,0.1318409517146193,0.1141854687879822,0.8918906476945503,-0.058764317047227024,2.2620184872359816,0.5,126,125
tier_e0_x0,2025,-0.14695134482577255,-0.20733230947090553,0.11519303723650129,-2.060300823422528,-0.1779399132621564,13.888502145348786,0.49732620320855614,93,93
tier_e0_x1,2015,0.01806073227090499,0.020155398892507483,0.06726223680931367,-0.1463614886225335,-0.04857208453715479,1.1447377985839968,0.2619047619047619,0,0
tier_e0_x1,2016,0.035453600275416886,0.0416949248861857,0.11713339702846692,0.09984278764956751,-0.0798182021462586,2.470406187132773,0.8452380952380952,23,22
tier_e0_x1,2017,0.2933273195921817,0.26233610243923583,0.08912182257614831,2.6069496305545257,-0.03625748926823724,0.9192611289851924,1.0,1,0
tier_e0_x1,2018,-0.06531332578614224,-0.05290334120934975,0.1722653923294333,-0.4812536057782795,-0.1888887547910736,6.991344960809761,0.8764940239043825,12,12
tier_e0_x1,2019,0.11854506163348733,0.11916338183532227,0.11918990657571038,0.7480782928434044,-0.08618856821699593,3.395697371282468,0.9206349206349206,13,12
tier_e0_x1,2020,0.1806107934563257,0.1876652945884747,0.21044470475829663,0.7492005786962375,-0.17957111603951958,10.836676249136808,0.924901185770751,1,0
tier_e0_x1,2021,0.24844555475505814,0.23476411938230085,0.15998648638861168,1.279883845220046,-0.08802335274772823,2.716062915326419,0.9880952380952381,1,0
tier_e0_x1,2022,-0.16323290429512216,-0.17018887707839672,0.13151847665408609,-1.522135004687778,-0.1888000931181162,15.723896570976567,0.5577689243027888,6,5
tier_e0_x1,2023,0.05894621531811417,0.05805149520725757,0.025056044405580364,1.119550027657601,-0.014558982989854205,0.09945520036761839,0.932,2,1
tier_e0_x1,2024,0.24331267878776353,0.23046975976524386,0.1588579682527521,1.261943369729399,-0.11146953301334643,3.0907784570382915,0.9880952380952381,1,0
tier_e0_x1,2025,0.22250153442587828,0.28504913174245794,0.16974167525116676,1.5025722549577867,-0.1465370879392406,4.502766312197227,0.8716577540106952,1,0
tier_e0_x2,2015,0.02726080044857282,0.029228809368687634,0.0684218168445176,-0.011271121798253738,-0.04297931702847322,1.243781090493841,0.2698412698412698,0,0
tier_e0_x2,2016,0.062413750234006526,0.06918347367178752,0.1313806927321985,0.298243774309043,-0.09584894093260354,3.0856580449215145,0.8571428571428571,21,21
tier_e0_x2,2017,0.2933273195921817,0.26233610243923583,0.08912182257614831,2.6069496305545257,-0.03625748926823724,0.9192611289851924,1.0,1,0
tier_e0_x2,2018,-0.0006515845052471603,0.01370804687042782,0.16935206012862314,-0.09620168256115941,-0.14663194126864287,5.905171851302937,0.8924302788844621,11,10
tier_e0_x2,2019,0.18003908242589084,0.17493445697993537,0.13654691904836255,1.0614260504010502,-0.09563575168245379,3.0962420304049507,0.9285714285714286,13,12
tier_e0_x2,2020,0.031004160310065476,0.048759653624219634,0.1910959612633204,0.09816876034533141,-0.20027401086485042,14.985069179481805,0.9288537549407114,1,0
tier_e0_x2,2021,0.26212835972536785,0.2459403954300825,0.1616853029192644,1.3355598284521244,-0.08488330827043053,2.5633144198969173,0.9920634920634921,1,0
tier_e0_x2,2022,-0.14408218953549312,-0.1501587641857027,0.10930175324840855,-1.648269664771602,-0.17247222763046485,14.597299117751344,0.5657370517928287,5,5
tier_e0_x2,2023,0.12878345687476966,0.12732977967810313,0.10208655828725845,0.9534044570709266,-0.09187663567578053,2.7337008403060064,0.944,3,2
tier_e0_x2,2024,0.24076849248028398,0.22853719502888625,0.15958658376240634,1.2440719661276156,-0.11933475799145814,3.2402287367906997,0.9920634920634921,1,0
tier_e0_x2,2025,0.091413938244022,0.12975020530462175,0.15403349266158783,0.6475877653684926,-0.17704526380518168,7.830412007926564,0.8770053475935828,1,0
tier_e0_x3,2015,0.010367109178556655,0.012983653832161064,0.07320365375936276,-0.23245214267276304,-0.0474942996907908,1.4603916771643861,0.27380952380952384,0,0
