window,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
2003-01-29_2008-01-28,"set_[100, 200]__x100_1_200_1",0.03684175541603607,0.0399988386415833,0.08730532498099097,0.11452724840965146,0.458148900428379,-0.1269132369993138,3.7085954753950565,1.1979472396368405,0.19794723963684047
2003-01-29_2008-01-28,"set_[100, 200]__x100_2_200_1",0.04371946856512943,0.04685384197524982,0.09005473049023587,0.18715110115261727,0.5202818521602252,-0.10214585509635252,3.383715876488587,1.2381447827288545,0.23814478272885453
2003-01-29_2008-01-28,"set_[100, 200]__x100_1_200_2",0.03979910982968149,0.04288193401411429,0.08769951972312341,0.14688716716789227,0.48896429706225375,-0.12594927473278286,3.6272475594277607,1.2151018640942128,0.21510186409421284
2003-01-29_2008-01-28,"set_[100, 200]__x100_2_200_2",0.04669644008546725,0.0497369373477808,0.09043607407622775,0.21824186365216072,0.5499678956193741,-0.09934678932457211,3.3653191393124002,1.255875036673944,0.25587503667394396
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_1_150_1_200_1",0.03454960919119787,0.037862861647311515,0.08818871398054726,0.08915950003586526,0.42933908363448114,-0.12986963477446303,3.9270422117448986,1.1847849558202777,0.18478495582027765
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_2_150_1_200_1",0.039110590804858125,0.04243286386975586,0.09011190683855867,0.137971376990503,0.4708907552669715,-0.10946446269368487,3.7974057399305,1.2110905628106265,0.21109056281062655
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_1_150_2_200_1",0.036629080556014104,0.039938943010821154,0.08895518484926719,0.1117297775015869,0.44897824762544103,-0.11627937524879359,3.9143123862604807,1.1967210894780442,0.19672108947804423
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_1_150_1_200_2",0.03652383497890521,0.03978492522899884,0.08836227384872974,0.11073645802449548,0.45024786592871013,-0.1292163422300679,3.9179258352381776,1.196114680669981,0.19611468066998095
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_2_150_2_200_1",0.041190608893754366,0.044508945233265505,0.09095257187846836,0.15952209963509867,0.4893643391716152,-0.09634510148864507,3.8435129103272367,1.2232411506007077,0.2232411506007077
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_2_150_1_200_2",0.041093520290714114,0.04435492745144319,0.0902813831962132,0.15900207709761033,0.49129649858204244,-0.10879584997737043,3.7937577694978075,1.2226718398831504,0.22267183988315042
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_1_150_2_200_2",0.03860282656001157,0.041861006592508486,0.08917546640946826,0.1330075083436753,0.4694229060748021,-0.11561587915838051,3.903865344783899,1.2081391261418681,0.20813912614186814
2003-01-29_2008-01-28,"set_[100, 150, 200]__x100_2_150_2_200_2",0.04317304006634082,0.04643100881495283,0.09116764481246699,0.18022851033117754,0.5092926214169732,-0.09491385774290105,3.8319440911116756,1.2349122178435787,0.23491221784357874
2003-01-29_2008-01-28,"set_[100, 200, 250]__x100_1_200_1_250_1",0.03504231645890665,0.03824482457522518,0.08710103982421685,0.0946581647229986,0.43908574056531424,-0.10219490346214255,3.435035530228231,1.1876044430106325,0.1876044430106325
2003-01-29_2008-01-28,"set_[100, 200, 250]__x100_2_200_1_250_1",0.03959824983015525,0.04281482679766953,0.0891252271258544,0.1437845064851685,0.4803895392851049,-0.09491045831744124,3.3451179899674313,1.21393056084139,0.21393056084138995
2003-01-29_2008-01-28,"set_[100, 200, 250]__x100_1_200_2_250_1",0.03700343156824082,0.0401668881569125,0.08743204144637103,0.11628332117978349,0.4594069575917432,-0.10157425148164265,3.3778316725621047,1.1988800351512483,0.1988800351512483
2003-01-29_2008-01-28,"set_[100, 200, 250]__x100_1_200_1_250_2",0.03637515606746078,0.03954525327500387,0.08725353873622473,0.10939674669081362,0.45322234315965937,-0.10219490346214277,3.4188905570802874,1.1952584344692136,0.19525843446921365
2003-01-29_2008-01-28,"set_[100, 200, 250]__x100_2_200_2_250_1",0.041567997156384706,0.04473689037935685,0.08944834864222224,0.16475307373534462,0.5001421609055814,-0.09306957280357704,3.349156799881688,1.2254561036865974,0.2254561036865974
2003-01-29_2008-01-28,"set_[100, 200, 250]__x100_2_200_1_250_2",0.040935567049174004,0.04411525549744822,0.08928907957956195,0.15808490314731807,0.49407223935082545,-0.09491045831744074,3.3782332616057222,1.2217460822747044,0.22174608227470438
2003-01-29_2008-01-28,"set_[100, 200, 250]__x100_1_200_2_250_2",0.03833430276164962,0.0414673168566912,0.08763361825825172,0.13085522525040122,0.47318960098725094,-0.1015742514816422,3.3691659185942595,1.206580628286453,0.20658062828645307
2003-01-29_2008-01-28,"set_[100, 200, 250]__x100_2_200_2_250_2",0.04290333466991392,0.04603731907913554,0.08966014159463356,0.17886787589119116,0.5134647153166109,-0.09306957280357751,3.367423844905107,1.2333191827357073,0.2333191827357073
2003-01-29_2008-01-28,sma100_3in_1out,0.044297860738401695,0.04751632435594685,0.09124776412352015,0.19196442262667804,0.5207396018123253,-0.1378363322834153,3.9492940887873127,1.2415738068583366,0.24157380685833663
2003-01-29_2008-01-28,sma100_3in_2out,0.058359762089431166,0.06122633102327988,0.09482786684815321,0.32929487988253764,0.6456575799740483,-0.08593176586098349,3.4900735409679076,1.3273061217941848,0.32730612179418483
2003-01-29_2008-01-28,sma100_3in_3out,0.052034468637642606,0.05573396720630021,0.09997420822402735,0.2574060616577649,0.5574834569473025,-0.11017632049279819,4.100732879253028,1.288175410748601,0.288175410748601
2003-01-29_2008-01-28,sma150_3in_1out,0.02956372861518286,0.033590907658767925,0.09432502137224771,0.03806951333301728,0.3561187389102573,-0.13653533006892354,5.0888684780910785,1.1565535544577927,0.15655355445779273
2003-01-29_2008-01-28,sma150_3in_2out,0.03577133231014651,0.03981915174929686,0.09659467107131578,0.10165314132129905,0.4122292804320273,-0.10793069455594538,5.231777102150594,1.1917860319904383,0.1917860319904383
2003-01-29_2008-01-28,sma150_3in_3out,0.026228656967579145,0.0308244008123271,0.09926455311886123,0.008305087631230735,0.31052777495927864,-0.13319149919013165,5.0470340195855865,1.137971670714746,0.13797167071474603
2003-01-29_2008-01-28,sma200_3in_1out,0.02818985980235178,0.032481352927219785,0.09668436526582462,0.025664469331701537,0.33595248660851573,-0.11968593117403291,3.7014856800386435,1.148869664848424,0.148869664848424
2003-01-29_2008-01-28,sma200_3in_2out,0.03399233849494743,0.03824754367228176,0.09810511041721529,0.08406844085091107,0.38986290836048193,-0.11600052768810683,3.4955898737749207,1.1816024619875927,0.18160246198759267
2003-01-29_2008-01-28,sma200_3in_3out,0.04783464803288617,0.05174258313613362,0.10008978474665202,0.21723079124576603,0.5169616786278921,-0.09226325192732926,3.0236141535533627,1.2627073857753912,0.2627073857753912
2003-01-29_2008-01-28,sma250_3in_1out,0.030645654530077282,0.03473679644250894,0.0953393926469141,0.04968351812405065,0.36434883292319026,-0.08849231372281692,3.5581911158529844,1.1626335196046353,0.16263351960463535
2003-01-29_2008-01-28,sma250_3in_2out,0.034614808158353494,0.03863808254184499,0.09593437488196607,0.09004157844852749,0.40275534801142754,-0.08849231372281662,3.6700026115665225,1.1851577453082507,0.1851577453082507
2003-01-29_2008-01-28,sma250_3in_3out,0.030774195936365212,0.03501790093661612,0.09696382324007892,0.05175023806757273,0.3611439789241094,-0.09648226504294381,3.9711241578876573,1.1633575632153113,0.16335756321531125
2003-01-29_2008-01-28,baseline_buyhold,0.10199678281169988,0.10657932516943369,0.13743450550644043,0.5572059570283465,0.7754917498825592,-0.1498649986144719,3.586708360762499,1.6239283687409758,0.6239283687409758
2016-06-29_2021-06-28,"set_[100, 200]__x100_1_200_1",0.15080649548234493,0.14944763688068935,0.1333456281292468,0.8957746763539434,1.1207539307988073,-0.1655930458287898,5.450494102405012,2.0161710630270853,1.0161710630270853
2016-06-29_2021-06-28,"set_[100, 200]__x100_2_200_1",0.1619351309375192,0.15944124269099413,0.13608462338815236,0.9511819885909565,1.1716330524443017,-0.16534458715184497,5.512281053691062,2.115398037630948,1.115398037630948
2016-06-29_2021-06-28,"set_[100, 200]__x100_1_200_2",0.16501604483731724,0.16189963337587213,0.1346445056396531,0.97961393039589,1.2024228735271345,-0.15364682718553407,4.985108299440019,2.1435473892315366,1.1435473892315366
2016-06-29_2021-06-28,"set_[100, 200]__x100_2_200_2",0.17628209079145396,0.17189323918617688,0.1373540049397141,1.0330477021653288,1.2514614281660177,-0.1533948113214594,4.945618399954187,2.2490432602188455,1.2490432602188455
2016-06-29_2021-06-28,"set_[100, 150, 200]__x100_1_150_1_200_1",0.1586883973243045,0.1563235223967747,0.13371067790214192,0.9447526882574507,1.1691177163216713,-0.16525883747266512,5.288520823361048,2.0860543470697537,1.0860543470697537
2016-06-29_2021-06-28,"set_[100, 150, 200]__x100_2_150_1_200_1",0.166121823340329,0.1629859262703112,0.13569780874777576,0.9800152817315924,1.201094754398403,-0.165093115561776,5.246329788612996,2.1537232747685215,1.1537232747685215
2016-06-29_2021-06-28,"set_[100, 150, 200]__x100_1_150_2_200_1",0.1592328995428598,0.1570208688305683,0.13535404130613984,0.9384342543808957,1.16007521692997,-0.185339838546321,5.6190713329350155,2.0909526549658457,1.0909526549658457
2016-06-29_2021-06-28,"set_[100, 150, 200]__x100_1_150_1_200_2",0.16823398314920102,0.1646248533935632,0.1343990385323842,1.0016801821177064,1.2248960646686171,-0.1583425832010249,4.965378565357431,2.1732677033151333,1.1732677033151333
2016-06-29_2021-06-28,"set_[100, 150, 200]__x100_2_150_2_200_1",0.1666628376639856,0.16368327270410477,0.13735993641413818,0.9732333618810922,1.191637656344002,-0.1851781354376301,5.606311052534082,2.158715992557189,1.1587159925571888
2016-06-29_2021-06-28,"set_[100, 150, 200]__x100_2_150_1_200_2",0.17572864772269492,0.17128725726709967,0.1363745290738479,1.0360237958408751,1.2560062236720633,-0.158175488199979,4.917573980163055,2.243765720441231,1.243765720441231
2016-06-29_2021-06-28,"set_[100, 150, 200]__x100_1_150_2_200_2",0.16878297112309082,0.1653221998273568,0.1360339174289037,0.9947680871432754,1.2153013230230632,-0.17858996556230586,5.2521534826065235,2.1783707987193486,1.1783707987193486
2016-06-29_2021-06-28,"set_[100, 150, 200]__x100_2_150_2_200_2",0.17627411906747215,0.17198460370089327,0.13802834141085873,1.0286626807914634,1.2460093481016299,-0.1784269226612739,5.232994789733636,2.248967172808531,1.248967172808531
2016-06-29_2021-06-28,"set_[100, 200, 250]__x100_1_200_1_250_1",0.14783156031078248,0.14736900846364143,0.13711328865095893,0.8560002434368028,1.0747974168921723,-0.17854009057943082,5.891273399885308,1.9902864453424058,0.9902864453424058
2016-06-29_2021-06-28,"set_[100, 200, 250]__x100_2_200_1_250_1",0.1551884231723768,0.15403141233717793,0.13909565168755803,0.8916987039665485,1.1073776244506133,-0.17837703777863848,5.967708994693564,2.0547874047395127,1.0547874047395127
2016-06-29_2021-06-28,"set_[100, 200, 250]__x100_1_200_2_250_1",0.15723622918511815,0.15567033946042994,0.1381049684403194,0.9099624791177374,1.12718855243576,-0.16354323416474523,5.4802451562877925,2.073035589682843,1.073035589682843
2016-06-29_2021-06-28,"set_[100, 200, 250]__x100_1_200_1_250_2",0.1506454487998694,0.15000281355678824,0.1384368243092147,0.8668417103295296,1.0835470569719194,-0.20168664754607718,5.827764136681297,2.0147629560685933,1.0147629560685933
2016-06-29_2021-06-28,"set_[100, 200, 250]__x100_2_200_2_250_1",0.16465336993204027,0.16233274333396644,0.1400717295152516,0.9447498349019636,1.1589258153358561,-0.16337720461558972,5.548921648425037,2.140218273216569,1.1402182732165689
2016-06-29_2021-06-28,"set_[100, 200, 250]__x100_2_200_1_250_2",0.15802034687885835,0.15666521743032472,0.14040000477946152,0.9021738826098247,1.1158490890111605,-0.20152818913984974,5.862739560022958,2.0800571472280107,1.0800571472280107
2016-06-29_2021-06-28,"set_[100, 200, 250]__x100_1_200_2_250_2",0.1599607894281334,0.15830414455357675,0.14013299439243881,0.9155884030727576,1.1296707477059267,-0.18737366544147094,5.476648716170994,2.097515068530859,1.0975150685308588
2016-06-29_2021-06-28,"set_[100, 200, 250]__x100_2_200_2_250_2",0.16739539285578275,0.16496654842711322,0.14207119286621983,0.9499923644211486,1.1611541023833918,-0.18721236603010896,5.475346704029902,2.1654910800174205,1.1654910800174205
2016-06-29_2021-06-28,sma100_3in_1out,0.14216769169898003,0.14131990510157852,0.12886881489202176,0.8638234563951929,1.0966183340786477,-0.13447845495527982,5.375269871461706,1.9417404701641368,0.9417404701641368
2016-06-29_2021-06-28,sma100_3in_2out,0.164649616208967,0.16130711672218803,0.1326095006190389,0.9901788040014392,1.2164069389386494,-0.13396285428919472,4.9344816900144055,2.1401838381508362,1.1401838381508362
2016-06-29_2021-06-28,sma100_3in_3out,0.17619013677148354,0.17285146899571133,0.14460585612363686,0.9878678002748,1.1953282780465317,-0.1900189953697594,5.436578517787083,2.2481657152535517,1.2481657152535517
2016-06-29_2021-06-28,sma150_3in_1out,0.17393676443371486,0.17007529342894523,0.1386686906341919,1.0101436220989783,1.226486618220143,-0.1685485358523254,5.178851391802191,2.226746523244848,1.2267465232448478
2016-06-29_2021-06-28,sma150_3in_2out,0.1755857818066635,0.17216733273032603,0.1433711233274678,0.9916036746507717,1.2008508319843882,-0.22705304954826044,6.300941479675647,2.2424049846637377,1.2424049846637377
2016-06-29_2021-06-28,sma150_3in_3out,0.20756028702137996,0.19996973382048283,0.14997807417857256,1.1332972152856629,1.3333264539881167,-0.18243264017160707,4.275819312027047,2.5638584239439255,1.5638584239439255
2016-06-29_2021-06-28,sma200_3in_1out,0.15766287770898058,0.15757536865980024,0.1487544168365891,0.8576240717608093,1.0592987556994773,-0.20843738710114815,6.6135816519257835,2.076853754568089,1.0768537545680892
2016-06-29_2021-06-28,sma200_3in_2out,0.1860103243376512,0.1824793616501658,0.15343481327519193,0.9937729149947708,1.1892956869109048,-0.18243264017160718,5.465708278486721,2.343442729230325,1.343442729230325
2016-06-29_2021-06-28,sma200_3in_3out,0.17824603978773323,0.17620597602542573,0.15533481261613638,0.9412312253965258,1.1343624333642854,-0.20419615197842317,5.644030159345923,2.267851318724495,1.267851318724495
2016-06-29_2021-06-28,sma250_3in_1out,0.14090023466402313,0.1432117516295455,0.15028665573170039,0.7533054154299439,0.9529239368079002,-0.20581552006078907,7.040452872797796,1.931007678446832,0.931007678446832
2016-06-29_2021-06-28,sma250_3in_2out,0.14804205648101987,0.15111316690898594,0.16064696159067876,0.7539088552298725,0.9406537503897241,-0.273619704675327,6.967415582014505,1.9921091684252936,0.9921091684252936
