window,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
2001-08-29_2006-08-28,"set_[100, 200]__x100_0_200_0",0.037995433763547304,0.03883700272891464,0.05561498963637153,0.15889605997760264,0.6983189780820478,-0.08322928893485684,3.5629001388787094,1.204081481023909,0.2040814810239091
2001-08-29_2006-08-28,"set_[100, 200]__x100_0_200_1",0.036238049822947094,0.03765140556257462,0.06412136784612564,0.1193269236073687,0.5871896814947563,-0.07812403162205894,3.355160756779648,1.1939631940177438,0.19396319401774376
2001-08-29_2006-08-28,"set_[100, 200]__x100_1_200_0",0.029487501646459302,0.031152279480279384,0.06470378894413509,0.017808531758074585,0.4814598957593674,-0.08946359571191591,3.454195970025614,1.1557262412816385,0.15572624128163848
2001-08-29_2006-08-28,"set_[100, 200]__x100_1_200_1",0.02725759219416113,0.02996668231393937,0.07843216670239862,-0.00042479619601802453,0.38207133085643713,-0.08991444650376407,3.8438699595458545,1.1433127987140055,0.14331279871400548
2001-08-29_2006-08-28,"set_[100, 150, 200]__x100_0_150_0_200_0",0.03514352079230987,0.03608826803365462,0.055657132814001864,0.10938881911148272,0.6484032900914322,-0.09644846809229439,4.240004824195586,1.1876957714923102,0.1876957714923102
2001-08-29_2006-08-28,"set_[100, 150, 200]__x100_0_150_0_200_1",0.03405299088295011,0.03529786992276127,0.06021005454585328,0.08798978779742926,0.5862454400515449,-0.08923375906089952,3.921372076007843,1.1814774255063987,0.18147742550639867
2001-08-29_2006-08-28,"set_[100, 150, 200]__x100_0_150_1_200_0",0.03333451634071194,0.03458585884134282,0.0599315163422456,0.07651831826104255,0.5770896675438082,-0.0837590919971987,3.536131561420085,1.1773948268584402,0.1773948268584402
2001-08-29_2006-08-28,"set_[100, 150, 200]__x100_0_150_1_200_1",0.031971293330827155,0.03379546073044947,0.06820246073878283,0.05564990895249637,0.4955167359706706,-0.08406149233194388,3.7572113123434043,1.1696795577514185,0.16967955775141852
2001-08-29_2006-08-28,"set_[100, 150, 200]__x100_1_150_0_200_0",0.029522184862458944,0.030965119201231118,0.0611839145573362,0.01577406755049473,0.5060990200653691,-0.07979998840103335,3.747765640826428,1.1559201626016944,0.1559201626016944
2001-08-29_2006-08-28,"set_[100, 150, 200]__x100_1_150_0_200_1",0.028221099689279328,0.03017472109033776,0.06849578870582101,0.002550829673458629,0.4405339607071844,-0.08188424921026244,3.9295584922233626,1.1486633019497408,0.14866330194974076
2001-08-29_2006-08-28,"set_[100, 150, 200]__x100_1_150_1_200_0",0.027512688742415303,0.029462710008919323,0.06816628033789851,-0.007882049429972464,0.4322182443119006,-0.08868737840516255,3.57935679649121,1.1447274457611805,0.14472744576118046
2001-08-29_2006-08-28,"set_[100, 150, 200]__x100_1_150_1_200_1",0.02594087537446388,0.028672311898025975,0.07827578303270566,-0.016961671292630594,0.36629862758505966,-0.08898825148727542,4.011327818015954,1.136033099161648,0.13603309916164807
