variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn,wins,win_share,group
sma200_3in_0out,0.0972563314061648,0.09685919341466029,0.09208881214373962,0.7272334444854838,-0.12527724635347368,5.160118199974736,1.5961795039076798,70.0,0.7446808510638298,strategy
"set_[100, 150, 200]__x100_0_150_0_200_0",0.0810407113383544,0.08095016082816724,0.07848589304257868,0.6517293102290558,-0.09162903412831357,3.0317768639263774,1.477913515015813,7.0,0.07446808510638298,strategy
"set_[100, 150, 200]__x100_1_150_0_200_0",0.08921727202472483,0.089495771885775,0.09154741116667907,0.6459638582815885,-0.0917797547771848,4.217455401853919,1.5375111728852107,2.0,0.02127659574468085,strategy
"set_[100, 150, 200]__x100_0_150_1_200_0",0.08775327705094985,0.08817649054107697,0.09116809325364442,0.6353958172634887,-0.09413145490076814,3.5544771408469273,1.5254005386379614,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_0",0.08664826379933725,0.08713606873303967,0.09126165165857379,0.6250517344053078,-0.11711986551023687,5.59517211077857,1.5186432878458422,4.0,0.0425531914893617,strategy
"set_[100, 150, 200]__x100_1_150_1_200_0",0.09545073295695986,0.09672210159868473,0.10718483887180233,0.6184096369458686,-0.11417059022291387,5.134394875347428,1.5832819376700256,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_0",0.07840183912592907,0.07859045767543191,0.07957423389855825,0.6103592315767427,-0.09902113552442873,3.9273823107970496,1.4601325918283536,1.0,0.010638297872340425,strategy
"set_[100, 150, 200]__x100_0_150_0_200_1",0.08475906508063012,0.08537458078320131,0.09139585073557047,0.6060001739050686,-0.09405111096223599,3.5014954790811625,1.5066605951532344,10.0,0.10638297872340426,strategy
sma200_3in_1out,0.10704131406467463,0.11013245327976252,0.13187467001210254,0.6046016591104305,-0.16837665411889785,7.403644692868084,1.671558358398489,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_0_200_1",0.09243426885826178,0.09392019184080908,0.10778291021076061,0.5896242989598623,-0.1196550143800228,5.268790687395351,1.5650255761980105,6.0,0.06382978723404255,strategy
"set_[100, 200, 250]__x100_0_200_1_250_0",0.08225835250690756,0.08301487763046599,0.09010890017079985,0.5877051292800375,-0.10977830187446651,4.541596234389613,1.4872864592698882,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_1_250_0",0.0900039755304193,0.09156048868807375,0.1055782345539748,0.5805267911580241,-0.1398335414435606,6.353905029095886,1.5444196318453982,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_0",0.08640280336542454,0.08760322528734095,0.09885230709100284,0.5799991999163031,-0.1250451607155247,5.649250328679361,1.5179103559955427,0.0,0.0,strategy
"set_[100, 150, 200]__x100_0_150_1_200_1",0.09076454406986235,0.09260091049611104,0.10878382935477968,0.5707941782519551,-0.11006655067076808,4.5949661809640086,1.550038283651714,0.0,0.0,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.09794875754070453,0.1011465215537188,0.12674274589147025,0.5568899561183701,-0.14291076489234217,6.4483257951216695,1.6063901345784533,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_0",0.07423187878193965,0.07478480870092931,0.08036517816447346,0.5547929131045568,-0.10535355890911101,3.7048910940496755,1.4318806356194875,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_0_250_1",0.08296179730780252,0.08501370955972262,0.10491216029924547,0.5225360208868246,-0.14819108006767245,6.7424899895870976,1.4950703359996882,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_0_250_1",0.07521655657459321,0.07646809850211488,0.08981958112566403,0.5169430568437098,-0.11964482202607607,4.925696175426783,1.4393976655183505,0.0,0.0,strategy
"set_[100, 200]__x100_1_200_1",0.09049940871419793,0.09423985521989206,0.12589281698231178,0.5063427295266753,-0.157364069141936,7.328784761463953,1.552381268332028,0.0,0.0,strategy
"set_[100, 200]__x100_0_200_1",0.07946312057689253,0.0814214386334804,0.10090733841082807,0.5055024334274463,-0.11518913998006954,4.592787371368645,1.4695367348937114,0.0,0.0,strategy
"set_[100, 200, 250]__x100_1_200_1_250_1",0.08545428011915955,0.08943812951475669,0.12461833792811473,0.4753138891820426,-0.1757603901446451,8.01743989218427,1.5169185065205972,0.0,0.0,strategy
"set_[100, 200, 250]__x100_0_200_1_250_1",0.07821492600015961,0.08089251845714894,0.10744920869547105,0.4717733894765664,-0.14310777282478007,6.116324345806321,1.462640519551639,0.0,0.0,strategy
sma100_3in_1out,0.07296933678807842,0.07834725716002161,0.12909562237746913,0.3692989192043401,-0.16816169181007593,7.985525429465747,1.4344785642001756,0.0,0.0,strategy
sma100_3in_0out,0.049788731649444626,0.05271042398719833,0.09165570568188414,0.24399953203766322,-0.20741048815196705,6.985439785604782,1.2772113376310525,0.0,0.0,strategy
baseline_buyhold,0.15756208428072305,0.1707937073041192,0.2229676515070763,0.6391383633770829,-0.2988006180752631,8.048616474808764,2.1019789773599142,,,baseline
