ticker,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,is_baseline
IVW,hybridL200_S20_eL2_eS2_xL2_xS1,0.17130862552822324,0.1705125090542396,0.15686426484919447,1.0870067138501318,1.0870067138501318,-0.19954661533432433,7.192911511684478,2.7548382029402108,1.7548382029402108,1.0,0.0,1.0,0.0,False
IWF,hybridL200_S20_eL2_eS2_xL2_xS1,0.20762273798975217,0.20240234387002504,0.16526175241832766,1.2247379742027864,1.2247379742027864,-0.18243272259894752,5.375419524898635,3.3502365749963006,2.3502365749963006,1.0,1.0,1.0,1.0,False
QQQ,hybridL200_S20_eL2_eS2_xL2_xS1,0.18450945158092869,0.18583177254750918,0.18102227813161467,1.0265685222036467,1.0265685222036467,-0.251751248797519,7.317602624756922,2.9599787819250736,1.9599787819250736,1.0,0.0,1.0,0.0,False
SPY,hybridL200_S20_eL2_eS2_xL2_xS1,0.11763967701177291,0.11935270068797943,0.12719312604670907,0.9383581046993813,0.9383581046993813,-0.1914174177032315,7.463622860578191,2.039638841635575,1.039638841635575,1.0,0.0,1.0,0.0,False
IVW,baseline_buyhold,0.18033279769527644,0.19300082977320515,0.232857538944974,0.8288365094282505,0.8288365094282505,-0.32716501843375323,12.88816774230584,2.893724959109155,1.893724959109155,,,,,True
IWF,baseline_buyhold,0.19561275046975024,0.20693815664995838,0.23739894764595673,0.8716894438747647,0.8716894438747647,-0.32722646952795165,12.087075892433296,3.1423663833549784,2.1423663833549784,,,,,True
QQQ,baseline_buyhold,0.20625184037197952,0.2183034791059814,0.247687821022341,0.881365414758487,0.881365414758487,-0.3511873562885368,12.433074795517152,3.3259375921982395,2.3259375921982395,,,,,True
SPY,baseline_buyhold,0.15574164921986067,0.16545903274505264,0.20310058281936813,0.8146654748509865,0.8146654748509865,-0.3371726811476648,8.469494899362283,2.528469241906077,1.5284692419060768,,,,,True
