ticker,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,is_baseline
IVW,hybridL200_S10_eL2_eS2_xL1_xS1,0.0788742050876432,0.08255544548206392,0.12498206869563934,0.6436732141186576,0.6436732141186576,-0.21274433052928376,7.756387769901842,1.7919620224848702,0.7919620224848702,210.0,76.0,0.45161290322580644,0.16344086021505377,False
IVW,hybridL200_S10_eL2_eS2_xL1_xS2,0.08710222316466364,0.09082213934064706,0.1284329138990515,0.6896450300689349,0.6896450300689349,-0.2105004453398011,7.2619400853726175,1.8753625621365526,0.8753625621365526,265.0,113.0,0.5698924731182796,0.24301075268817204,False
IVW,hybridL200_S10_eL2_eS2_xL2_xS1,0.07678644908138343,0.08128716791159539,0.1277647092664354,0.6246458797867999,0.6246458797867999,-0.2261663644024605,7.883503491539203,1.745795384522556,0.745795384522556,202.0,32.0,0.4344086021505376,0.06881720430107527,False
IVW,hybridL200_S10_eL2_eS2_xL2_xS2,0.08501042161407138,0.08955386177017854,0.1311399597061899,0.6713753323898406,0.6713753323898406,-0.22204251611222653,7.466460042086245,1.827624661003298,0.8276246610032981,279.0,87.0,0.6,0.1870967741935484,False
IVW,hybridL200_S10_eL2_eS3_xL1_xS1,0.07621271626331907,0.07995649091725934,0.12261180525547176,0.6341367327878178,0.6341367327878178,-0.21545940575301353,7.819717044046374,1.7495418373833107,0.7495418373833105,211.0,55.0,0.45376344086021503,0.11827956989247312,False
IVW,hybridL200_S10_eL2_eS3_xL1_xS2,0.08048108040759226,0.08444709406086061,0.1250576495335876,0.6590504935140038,0.6590504935140038,-0.2144822944095967,7.489489399537447,1.7836349918235548,0.783634991823555,243.0,60.0,0.5225806451612903,0.12903225806451613,False
IVW,hybridL200_S10_eL2_eS3_xL2_xS1,0.07416703475342025,0.07868821334679083,0.12544151288490743,0.6150398341283052,0.6150398341283052,-0.22329935540535506,8.03429164979889,1.7074864953097897,0.7074864953097898,173.0,26.0,0.3720430107526882,0.05591397849462366,False
IVW,hybridL200_S10_eL2_eS3_xL2_xS2,0.07845065775076211,0.08317881649039209,0.12783652143937477,0.6403363073318034,0.6403363073318034,-0.22238608168177398,7.807884949852952,1.7423416953258943,0.7423416953258942,224.0,62.0,0.4817204301075269,0.13333333333333333,False
IVW,hybridL200_S10_eL3_eS2_xL1_xS1,0.07217831627286027,0.07646409980965445,0.12422183483989428,0.6010603311027392,0.6010603311027392,-0.22679342999466953,8.331703286003426,1.700443421241167,0.700443421241167,182.0,52.0,0.3913978494623656,0.11182795698924732,False
IVW,hybridL200_S10_eL3_eS2_xL1_xS2,0.08086467192063691,0.08520602109816569,0.12771555910104404,0.652043268335432,0.652043268335432,-0.21710161782281323,7.756944790042144,1.7849112680209862,0.7849112680209861,244.0,104.0,0.524731182795699,0.22365591397849463,False
IVW,hybridL200_S10_eL3_eS2_xL2_xS1,0.07255496065877273,0.0773397902608326,0.12735585014688738,0.5977894351275945,0.5977894351275945,-0.2417036631671203,8.30807780823366,1.6948911908938702,0.6948911908938702,171.0,26.0,0.36774193548387096,0.05591397849462366,False
IVW,hybridL200_S10_eL3_eS2_xL2_xS2,0.0812269309794463,0.08608171154934385,0.130765338689905,0.649229022532694,0.649229022532694,-0.22955376204259786,7.706894860587363,1.7778674219581057,0.7778674219581058,240.0,69.0,0.5161290322580645,0.14838709677419354,False
IVW,hybridL200_S10_eL3_eS3_xL1_xS1,0.0695487084117486,0.07386514524484988,0.12183765257729201,0.5910376154304486,0.5910376154304486,-0.22356915975920252,8.365857128451827,1.661122424406126,0.6611224244061259,163.0,31.0,0.35053763440860214,0.06666666666666667,False
IVW,hybridL200_S10_eL3_eS3_xL1_xS2,0.073820114968431,0.07835574838845115,0.12429694065002084,0.6164664300646792,0.6164664300646792,-0.2230690472963737,8.089338116033503,1.695382298253171,0.695382298253171,203.0,45.0,0.43655913978494626,0.0967741935483871,False
IVW,hybridL200_S10_eL3_eS3_xL2_xS1,0.06995394056672927,0.07474083569602805,0.12502491542914823,0.5876016334002134,0.5876016334002134,-0.23304437084573518,8.45090221438374,1.658414227956988,0.6584142279569881,143.0,25.0,0.30752688172043013,0.053763440860215055,False
IVW,hybridL200_S10_eL3_eS3_xL2_xS2,0.07422027699126597,0.07923143883962931,0.12742846161875215,0.6134664666407265,0.6134664666407265,-0.23136552002498606,8.183704319657478,1.6922439498018804,0.6922439498018806,183.0,44.0,0.3935483870967742,0.09462365591397849,False
IVW,hybridL200_S15_eL2_eS2_xL1_xS1,0.08412485722481802,0.08717282962023287,0.12448693779795078,0.6795612368654242,0.6795612368654242,-0.22041728601820576,7.93548330751302,1.8687974867356458,0.8687974867356458,245.0,99.0,0.5268817204301075,0.2129032258064516,False
IVW,hybridL200_S15_eL2_eS2_xL1_xS2,0.08977585265995455,0.09278342862707217,0.1263150786783602,0.7175806000805609,0.7175806000805609,-0.20834622113160067,7.06621179995049,1.925051356594827,0.925051356594827,286.0,127.0,0.6150537634408603,0.2731182795698925,False
IVW,hybridL200_S15_eL2_eS2_xL2_xS1,0.0844507660179856,0.08817242622613411,0.12721880060415644,0.6778774265007582,0.6778774265007582,-0.22473751228393576,7.807235459326349,1.8463505040303554,0.8463505040303553,277.0,83.0,0.5956989247311828,0.17849462365591398,False
