,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
BuyAndHold,0.19513347944166903,0.19112387379167192,0.15992005062410458,1.0075276562436624,-0.22796650229526583,4.508460545434964,4.150519591880014
SMA50,0.09392428762320582,0.09502278818158913,0.10222553404831274,0.636071885433817,-0.16510003541966708,7.317792679133514,2.0477610244180156
SMA100,0.08424169771271073,0.08761462941937019,0.11574605904948511,0.4977675256721969,-0.15413562646679163,6.739553809900217,1.9074417556238967
SMA150,0.11754964695178627,0.11928926164761758,0.12732623695208242,0.7012636498573381,-0.15562577041295553,6.560114959225941,2.4286697605483645
SMA200,0.13837746028491527,0.1384184156031754,0.1323390847045711,0.8192471320562983,-0.1694841432219276,6.662864666257318,2.814471611029416
SMA220,0.15043816589696424,0.14910754426489853,0.13342937742441383,0.8926635690282791,-0.15496580806624433,6.342373861743471,3.0615415965705925
SMA221,0.14600222594907453,0.14530274307424057,0.13387523867431794,0.8612701214654102,-0.18063321450368408,7.00312822043341,2.968549107941838
SMA225,0.1443369611696701,0.143874055593088,0.1340707080260239,0.8493582026208467,-0.18063321450368394,7.219583510348571,2.9342828604519666
SMA230,0.14675696490382606,0.14607075318510965,0.13470043401479181,0.8616954654530928,-0.14552553777476096,6.437912167296152,2.984194337499318
SMA240,0.14714402409541338,0.1464953268916761,0.13534474076411487,0.860730355933886,-0.15323116814830787,6.519429634368216,2.99224575716845
SMA250,0.14797499094300948,0.1472505959853744,0.13557324297387852,0.8648505664791513,-0.15543118430220976,6.615309637492276,3.0095953475129176
SMA252,0.15072822056031177,0.14966149369674747,0.13567770365363555,0.8819540018323497,-0.1554311843022101,6.497190565428884,3.0677099118634383
SMA300,0.09667555645781634,0.09991403989262147,0.12318418238775213,0.5675569585107126,-0.18626350543191408,7.340798651226516,2.0892439258484234
M10,0.11920392557539472,0.12214245277347717,0.13771381857607215,0.6690864702337647,-0.1966278118511109,9.337636156048195,2.457522264943595
