,SMA50,SMA100,SMA150,SMA200,SMA250,M10,BuyAndHold
CAGR,0.0845890894277368,0.0784447700549824,0.07373906290073706,0.09005666299978521,0.09286831336668167,0.10242952864091737,0.14118375796249394
AnnReturn,0.08657320001894081,0.08153736112453581,0.0776010124868646,0.09302771691014838,0.09607143734441294,0.1085708061462475,0.14706047972922393
AnnVol,0.10337826829516382,0.10939714527090019,0.11330433030422307,0.11626235864965204,0.12017785579656148,0.1483022629974227,0.17276189904708628
Sharpe,0.5472446090643925,0.4711033454932836,0.4201164453208054,0.5421162760001947,0.5497804641835137,0.5298018017945753,0.6775827330846778
MaxDD,-0.19139597688372076,-0.19571010607634626,-0.2017648893217104,-0.18392119826539877,-0.19750759206984614,-0.33717266516773686,-0.337172665167737
UlcerIndex,7.167024538320724,7.799373251736809,9.32548823338884,7.667020107266419,7.642868674334066,7.560336631705635,6.447800464300279
TotalReturn,3.583503734963285,3.2773728979829255,3.059669019992135,3.878234400826318,4.03849001141488,4.631068627381823,7.971308229550511
