scenario,strategy,year,cal_year_return,ann_return,ann_vol,sharpe,max_dd,ulcer_index,exposure,entries,exits,avg_trade_days,median_trade_days
bull_only,SMA50,2016,0.06597021160624439,0.0670693523954911,0.07984231492334593,0.4642820342957267,-0.05560034931713147,2.403836775898233,0.5634920634920635,7,6,20.285714285714285,14.0
bull_only,SMA50,2017,0.23397086752284557,0.21564625351419284,0.0947810738344361,1.9586848513499688,-0.061041773665884445,2.4265370643825666,0.9043824701195219,5,4,45.4,21.0
bull_only,SMA50,2018,0.08818034346220616,0.0914505903080303,0.11478986097676275,0.5353311676235056,-0.09704230822882548,5.013986679333629,0.6095617529880478,4,4,38.25,23.5
bull_only,SMA50,2019,0.17318235711972085,0.16590624185599495,0.11074716256002251,1.2271758365126222,-0.1035522801896839,5.603285449919054,0.6984126984126984,4,3,44.0,43.0
bull_only,SMA50,2020,0.31958769724939917,0.2956666905394712,0.19607612405674057,1.3549160654695136,-0.17759495107487933,8.310115851241154,0.7549407114624506,6,5,31.833333333333332,24.0
bull_only,SMA50,2021,0.09474969324749094,0.10017213212114229,0.13891407483771945,0.5051477483697598,-0.09153460752915339,4.5203929498554425,0.7301587301587301,6,5,30.666666666666668,30.5
bull_only,SMA100,2016,-0.06408279282183105,-0.06131583647651596,0.09891844193449262,-0.9231426889738986,-0.08796236387780909,3.7393197571473005,0.626984126984127,7,6,22.571428571428573,15.0
bull_only,SMA100,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
bull_only,SMA100,2018,0.0018820466256581625,0.011622258619403369,0.1392275970135199,-0.13199783501838386,-0.12757861313945743,7.794925660947416,0.6533864541832669,4,4,41.0,27.0
bull_only,SMA100,2019,0.06719370909905908,0.0718913616612737,0.11691610468115185,0.35830274858641487,-0.15072094854094362,7.599643816019593,0.7579365079365079,5,4,38.2,39.0
bull_only,SMA100,2020,0.25816976357131516,0.2525146279390844,0.2169567844939776,1.0256172834514936,-0.17174919793664423,8.662365552551563,0.8379446640316206,4,3,53.0,38.5
bull_only,SMA100,2021,0.09313692768742343,0.10308048988862388,0.16752337030371453,0.43624056605434386,-0.1135754524581155,5.302869589682714,0.9126984126984127,5,4,46.0,43.0
bull_only,SMA150,2016,0.06872448887261795,0.07098630642000775,0.09516155883498251,0.43070234369616806,-0.055054001121925315,2.056194170591598,0.6706349206349206,4,3,42.25,21.0
bull_only,SMA150,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
bull_only,SMA150,2018,0.05640520221587764,0.06845483257119254,0.1632832886255628,0.235509909770229,-0.13690526014444487,6.202849661332845,0.7569721115537849,3,3,63.333333333333336,62.0
bull_only,SMA150,2019,0.08668814212253628,0.0922653746657501,0.1349653508726735,0.46134340601604734,-0.10983208538920251,4.5370317170679835,0.8055555555555556,6,5,33.833333333333336,31.5
bull_only,SMA150,2020,0.12327146857485705,0.1403382986604183,0.22099447900915903,0.49928079269276854,-0.1831800399775176,12.889690309645257,0.8932806324110671,2,1,113.0,113.0
bull_only,SMA150,2021,0.27419715702606173,0.2589816984349954,0.18218118217135468,1.2568899581495823,-0.10851539231447471,3.1514338595043148,1.0,1,0,252.0,252.0
bull_only,SMA200,2016,0.014753553037937905,0.018868735973051783,0.09203874264962587,-0.12094107010265057,-0.055054001121925496,2.2568368885032273,0.6309523809523809,4,3,39.75,17.0
bull_only,SMA200,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
bull_only,SMA200,2018,0.027377718802991113,0.0424238075360757,0.17466305731459872,0.0711301389491783,-0.15083937127435706,7.4350317247835935,0.8087649402390438,2,2,101.5,101.5
bull_only,SMA200,2019,0.17254471170427998,0.16839099944633476,0.13534298300540745,1.0225206831801954,-0.08979134822128101,3.0124817654279092,0.8214285714285714,4,3,51.75,31.0
bull_only,SMA200,2020,0.41594327714816637,0.37911451328804646,0.25432868635750483,1.372690270563121,-0.1831800399775176,8.333532577601677,0.9051383399209486,2,1,114.5,114.5
bull_only,SMA200,2021,0.27419715702606173,0.2589816984349954,0.18218118217135468,1.2568899581495823,-0.10851539231447471,3.1514338595043148,1.0,1,0,252.0,252.0
bull_only,SMA220,2016,0.04158795467276133,0.04512548938863629,0.09370548325638323,0.16141520072258883,-0.055054001121925496,2.0915010819134037,0.6428571428571429,4,3,40.5,17.0
bull_only,SMA220,2017,0.32663555338675576,0.28924058408762254,0.10315909756772554,2.513017176380659,-0.048819361817442265,1.206727783317458,1.0,1,0,251.0,251.0
bull_only,SMA220,2018,0.027377718802991113,0.0424238075360757,0.17466305731459872,0.0711301389491783,-0.15083937127435706,7.4350317247835935,0.8087649402390438,2,2,101.5,101.5
bull_only,SMA220,2019,0.19304208929269517,0.18576621414899083,0.13558840893097474,1.1488165941108448,-0.08979134822128153,3.0119612613034885,0.8452380952380952,3,2,71.0,55.0
bull_only,SMA220,2020,0.41594327714816637,0.37911451328804646,0.25432868635750483,1.372690270563121,-0.1831800399775176,8.333532577601677,0.9051383399209486,2,1,114.5,114.5
bull_only,SMA220,2021,0.27419715702606173,0.2589816984349954,0.18218118217135468,1.2568899581495823,-0.10851539231447471,3.1514338595043148,1.0,1,0,252.0,252.0
bull_only,SMA221,2016,0.04158795467276133,0.04512548938863629,0.09370548325638323,0.16141520072258883,-0.055054001121925496,2.0915010819134037,0.6428571428571429,4,3,40.5,17.0
