variant,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
x100_0_x200_0_x221_0,0.08097923708947907,0.08021951362538028,0.06839706810523058,0.7342348877895808,-0.09575693121655805,3.1015395172912394,1.5628345095351592
x100_0_x200_0_x221_1,0.0940077618969255,0.09348363125875118,0.08505851917452575,0.7463524156644848,-0.08743728365950547,3.920301223683667,1.6739710673766512
x100_0_x200_1_x221_0,0.10573266275816606,0.10469116246799312,0.0912185807486872,0.8188152222382398,-0.10539587555856705,4.478630905869598,1.7794895324086208
x100_0_x200_1_x221_1,0.11887228198969768,0.11795528010136401,0.10587270368020585,0.8307644656647065,-0.11993832232329112,5.249038969750381,1.9042048550363113
x100_1_x200_0_x221_0,0.10892556331688374,0.10685740396412666,0.0829810189150674,0.9262046305166682,-0.07382874794796786,3.2486231722242556,1.8091560770231712
x100_1_x200_0_x221_1,0.12174752407301193,0.12012152159749756,0.1020169792746496,0.883397276005133,-0.09442753107389246,4.304128098431701,1.9324352539530165
x100_1_x200_1_x221_0,0.13411429231709593,0.1313290528067395,0.10432801278175981,0.9712545087838133,-0.11816061949024578,4.651929341541328,2.057828447824169
x100_1_x200_1_x221_1,0.14703550395386644,0.14459317044011039,0.12139751217843323,0.9439499078999112,-0.13305805300745951,5.5722280492897776,2.1959441216038176
baseline_buyhold,0.18838060054124983,0.20128309923874496,0.23912704699983692,0.716284926308908,-0.3190612367856703,11.742300207757104,2.6903244759684326
baseline_sma200,0.08006121126561094,0.0804436961069826,0.08260267732784139,0.6106787060518251,-0.13001378914135464,4.8831394685638125,1.5552392108925723
