Year,Edge_CAGR,Edge_AnnReturn,Edge_AnnVol,Edge_Sharpe,Edge_MaxDD,Edge_UlcerIndex,Edge_TotalReturn,Middle_CAGR,Middle_AnnReturn,Middle_AnnVol,Middle_Sharpe,Middle_MaxDD,Middle_UlcerIndex,Middle_TotalReturn,BAH_CAGR,BAH_AnnReturn,BAH_AnnVol,BAH_Sharpe,BAH_MaxDD,BAH_UlcerIndex,BAH_TotalReturn
2015,0.025415455827692,0.02892502325832789,0.0876411285655139,0.3300393745695062,-0.024065048622159968,0.8267393733168221,0.005693039478549933,0.053789257921835976,0.059166545734748284,0.11631580671519758,0.5086715847625009,-0.03762358826500278,1.328173669220976,0.011921178677315902,0.08057179225824473,0.08809156899307617,0.14559104305646822,0.6050617341817478,-0.04639583970015371,1.8804357297757808,0.017682085896706612
2016,-0.012202754323598297,-0.007613683452499798,0.09646760719690463,-0.07892476732587703,-0.07161340536423111,2.8363474421275954,-0.012202754323598297,0.13381476005477344,0.12946075309094462,0.08762541095378919,1.477433905094243,-0.04285654272176176,1.3028525868461145,0.13381476005477344,0.11997909708935595,0.12184706963844483,0.13035349894130263,0.9347433757287313,-0.09187521612545746,2.500257196621347,0.11997909708935595
2017,0.12400417287655974,0.11785838879175707,0.04326681762770272,2.723990236718846,-0.01267811451561729,0.4552523740141209,0.12348289205607199,0.08363200951554028,0.08170049498945771,0.05228961333065663,1.5624612573212109,-0.035462767387076544,1.1604259720369554,0.08328668535347394,0.21800690055807848,0.1995588837812148,0.06730378764219884,2.9650468535606347,-0.02610115292429105,0.7582571027542914,0.21705405818675638
2018,0.09663163766568506,0.10074049607305326,0.13022813767573785,0.7735693519928275,-0.08444756922995733,4.9676485379369195,0.09623029462213517,-0.12994258591844965,-0.1331862877059091,0.10882903856273499,-1.223812040103003,-0.2089856788952018,6.090366585112547,-0.12946186356741674,-0.045867513132578086,-0.03244579163285584,0.17002827297090695,-0.19082586128724335,-0.1934891629273089,5.781953620867589,-0.04568972221870449
2019,0.11940309405798,0.11698131093948694,0.0912410201545285,1.2821131410122764,-0.06469160974674848,1.882179074748085,0.11940309405798,0.17226659029790548,0.16271253838283106,0.0861177272810878,1.8894197921844618,-0.04048686282359715,1.4122543433140649,0.17226659029790548,0.31223884824027515,0.279693849322318,0.12486040457713657,2.2400524030780953,-0.06618384141989453,1.939900551045917,0.31223884824027515
2020,0.2816303050063951,0.26709654272669514,0.19449519372325003,1.3732809413622353,-0.11634561662076337,4.025511203204269,0.2828928896035716,-0.0773244703657322,-0.04329307440585698,0.27052061033392005,-0.16003614050854648,-0.2569091853299591,12.03940598169872,-0.07761908504143,0.18252892046710412,0.22380346832083814,0.3333189977406033,0.6714392814027578,-0.33717256702739795,10.160854223400817,0.18331591730638652
2021,0.17845942741220866,0.16902475726813881,0.09754603202801307,1.7327691732206865,-0.04034591030195811,1.0945631162913734,0.17845942741220866,0.09234779523046521,0.09204818837551043,0.08609328550587117,1.0691680290123573,-0.041151857796315694,1.1940979325308814,0.09234779523046521,0.2872875573022806,0.26107294564364925,0.12962948209566444,2.013993587129984,-0.05114119065696032,1.4747229777212711,0.2872875573022806
2022,-0.012681211366414313,0.0005217250277543762,0.162962124657962,0.0032015109575271833,-0.09840357078491035,5.120601318440103,-0.012631208263936267,-0.1719061679009537,-0.1725468938328575,0.1788315438551726,-0.9648571505516681,-0.24625141123193472,14.728675445269069,-0.17128608525313815,-0.18240740081702556,-0.17202516880510316,0.24194646021638924,-0.7110051068788082,-0.24496368780746225,15.057526913215336,-0.1817537433015275
2023,0.20130657403244334,0.1875694070906012,0.09061148024954352,2.070040204332123,-0.04470902651591113,1.1298890499275416,0.19955918445463716,0.05227695894327655,0.055413434698052176,0.09434340325392329,0.5873588696912712,-0.08210026342580645,3.7794141982621867,0.051851487906666716,0.26410722848142143,0.24298284178865334,0.13049378183560606,1.8620262082277543,-0.09974311572515815,3.249088079236721,0.2617581130007136
2024,0.05256454568359792,0.05525587482171013,0.08957152311425422,0.6168910932911983,-0.1044008444362815,4.523202212943971,0.05256454568359792,0.18649678375821765,0.17495991093285312,0.08825456300506347,1.982446062565797,-0.04765532062606459,1.5578264551855385,0.18649678375821765,0.24886444815151876,0.23021578575456325,0.12544002134184823,1.8352658369467338,-0.08405625599525424,1.9189398926662717,0.24886444815151876
2025,-0.06966444134446526,-0.0642845155213624,0.12467634636858424,-0.5156111595644314,-0.17479356085229947,9.437086543905178,-0.05380220501134203,0.29769593858015453,0.2744093840122026,0.16800277616375783,1.6333621995908374,-0.06332257619120185,1.8298725169279588,0.22088878687988855,0.2072926759839817,0.21012486849084022,0.20954504603921942,1.0027670539704017,-0.1875523040397229,5.323524177547569,0.1552022780721245
