Month,Edge_AvgAnnReturn,Middle_AvgAnnReturn,BAH_AvgAnnReturn
1,0.05203511650398762,0.13068871395074264,0.18272383045473026
2,-0.1234879765462044,0.0865752591540145,-0.03691271739218991
3,0.1389363656488747,-0.06966660728450369,0.069269758364371
4,-0.008861296554299954,0.16560360499156493,0.156742308437265
5,0.15467760862193605,0.04688734853865498,0.20156495716059103
6,0.2670521171230455,-0.03272197580257141,0.23433014132047408
7,0.23630930578830148,0.18271720235544675,0.41902650814374826
8,0.021206904193341418,0.10188250315384337,0.12308940734718478
9,-0.09255638942230385,-0.058233842286109595,-0.15079023170841344
10,0.025166968205965798,0.08401982489643464,0.10918679310240044
11,0.4228048295153571,0.10025407653990467,0.5230589060552618
12,0.0490468605686788,-0.04510288430861891,0.003943976260059887
