Date,EdgeOnly,MiddleOnly,BuyAndHold
2015-10-12,1.0,1.0,1.0
2015-10-13,0.9936978150149387,1.0,0.9936978150149387
2015-10-14,0.9889339000867299,1.0,0.9889339000867299
2015-10-15,1.0041192877487952,1.0,1.0041192877487952
2015-10-16,1.0086842768585027,1.0,1.0086842768585027
2015-10-19,1.0086842768585027,1.0004919668948387,1.0091805161300613
2015-10-20,1.0086842768585027,0.9992129240360651,1.0078903657089882
2015-10-21,1.0086842768585027,0.993014301063663,1.0016379121785521
2015-10-22,1.0086842768585027,1.0097896792665448,1.0185589724101538
2015-10-23,1.0086842768585027,1.0208588455656575,1.029724266414001
2015-10-26,1.0062052381442252,1.0208588455656575,1.027193517814031
2015-10-27,1.0042610145305424,1.0208588455656575,1.0252087399402452
2015-10-28,1.015684008519756,1.0208588455656575,1.0368700043969774
2015-10-29,1.0151005658849863,1.0208588455656575,1.0362743918223927
2015-10-30,1.0107258433158686,1.0208588455656575,1.031808417590813
2015-11-02,1.022683827956342,1.0208588455656575,1.0440158319861785
2015-11-03,1.0256483520343793,1.0208588455656575,1.0470421926141356
2015-11-04,1.0225377698031515,1.0208588455656575,1.0438667272285274
2015-11-05,1.0215169426868025,1.0208588455656575,1.042824606837009
2015-11-06,1.0209823031368728,1.0208588455656575,1.042278815323274
2015-11-09,1.0209823031368728,1.0113325997125566,1.032552686891927
2015-11-10,1.0209823031368728,1.0136653859334592,1.0349344203404702
2015-11-11,1.0209823031368728,1.0096803411198285,1.030865760108546
2015-11-12,1.0209823031368728,0.9955850640154037,1.0164747316271179
2015-11-13,1.0209823031368728,0.9844062962754188,1.0050614075937159
2015-11-16,1.0209823031368728,0.9993760610361669,1.0203452724965618
2015-11-17,1.0209823031368728,0.9986473505774703,1.0196012720141219
2015-11-18,1.0209823031368728,1.0144916907592603,1.0357780629446098
2015-11-19,1.0209823031368728,1.013616939808781,1.0348849577045185
2015-11-20,1.0209823031368728,1.0173108690507513,1.0386563940896099
2015-11-23,1.0198114363161372,1.0173108690507513,1.0374652585466646
2015-11-24,1.0211773154848085,1.0173108690507513,1.0388547822707639
2015-11-25,1.0210310121831279,1.0173108690507513,1.038705946331786
2015-11-27,1.0222017909224055,1.0173108690507513,1.0398969922685066
2015-11-30,1.0179577620332532,1.0173108690507513,1.0355794955510067
2015-12-01,1.0276649552712582,1.0173108690507513,1.0454547287400053
2015-12-02,1.0171775364785944,1.0173108690507513,1.0347857636139415
2015-12-03,1.0029341481553655,1.0173108690507513,1.02029580986061
2015-12-04,1.0224943975257668,1.0173108690507513,1.0401946641464623
2015-12-07,1.0162993643426783,1.0173108690507513,1.0338923895551764
2015-12-08,1.0162993643426783,1.0104751168766204,1.026945218965803
2015-12-09,1.0162993643426783,1.0026142222991796,1.0189561968035852
2015-12-10,1.0162993643426783,1.0052018979158255,1.0215860498879075
2015-12-11,1.0162993643426783,0.9857200483041144,1.0017866585113058
2015-12-14,1.0162993643426783,0.9907002812662683,1.0068480661050212
2015-12-15,1.0162993643426783,1.0011007992878427,1.0174181059591818
2015-12-16,1.0162993643426783,1.0157486003447869,1.0323046568623724
2015-12-17,1.0162993643426783,1.0002705106482994,1.016574284142593
2015-12-18,1.0162993643426783,0.9824504726834091,0.9984637908863127
2015-12-21,1.0162993643426783,0.9905546258736246,1.0067000366220644
2015-12-22,1.0162993643426783,0.9995433798836914,1.0158353016087278
2015-12-23,1.0162993643426783,1.011921178677316,1.02841485065465
2015-12-24,1.0146217732813652,1.011921178677316,1.0267172607305475
2015-12-28,1.0123034300997213,1.011921178677316,1.0243712801656
2015-12-29,1.0231065143905187,1.011921178677316,1.035303149954494
2015-12-30,1.0158553716490166,1.011921178677316,1.0279655650447557
2015-12-31,1.00569303947855,1.011921178677316,1.0176820858967066
2016-01-04,0.9916340382844311,1.011921178677316,1.003455484837328
2016-01-05,0.993311275143356,1.011921178677316,1.0051527163365324
2016-01-06,0.9807817198616681,1.011921178677316,0.9924737939875841
2016-01-07,0.9572511697047522,1.011921178677316,0.9686627319378721
2016-01-08,0.9467436673069433,1.011921178677316,0.9580299677265265
2016-01-11,0.9467436673069433,1.012923203968925,0.958978628825839
2016-01-12,0.9467436673069433,1.021095573462577,0.9667157678908463
2016-01-13,0.9467436673069433,0.9956290632908559,0.9426055106573614
2016-01-14,0.9467436673069433,1.0119738022781597,0.9580797887873762
2016-01-15,0.9467436673069433,0.990250666273666,0.9375135473410744
2016-01-19,0.9467436673069433,0.9915692849912158,0.938761941261507
2016-01-20,0.9467436673069433,0.9788620104421027,0.9267314095534036
2016-01-21,0.9467436673069433,0.9843455600142161,0.9319229253851657
2016-01-22,0.9467436673069433,1.0045397721913125,0.9510416678800844
2016-01-25,0.9324320369690878,1.0045397721913125,0.9366650660008089
2016-01-26,0.9451533870457692,1.0045397721913125,0.9494441681088044
2016-01-27,0.9348672316701229,1.0045397721913125,0.9391113159310281
2016-01-28,0.9397369074620241,1.0045397721913125,0.9440030989416701
2016-01-29,0.9626453103021594,1.0045397721913125,0.9670155007119665
2016-02-01,0.9622975145461398,1.0045397721913125,0.9666661260424455
2016-02-02,0.9449544682112158,1.0045397721913125,0.9492443462280575
2016-02-03,0.9506194625362462,1.0045397721913125,0.9549350583367886
2016-02-04,0.9521101049776014,1.0045397721913125,0.9564324679552463
2016-02-05,0.9339726321222592,1.0045397721913125,0.9382126551050147
2016-02-08,0.9339726321222592,0.9910172786073758,0.925583016179569
2016-02-09,0.9339726321222592,0.9910708136592383,0.9256330164528679
