Date,baseline: follow original signal,reclaim SMA20 after pullback/touch,reclaim SMA50 after pullback/touch,reclaim SMA100 after pullback/touch,reclaim SMA200 after pullback/touch,touch/undercut SMA20,touch/undercut SMA50,touch/undercut SMA100,touch/undercut SMA200,above rising SMA20,above rising SMA50,above rising SMA100,first reclaim among SMA20/50/100,first touch among SMA20/50/100,no fallback: stay bonds until next full cycle
2015-10-12,1.0007449860872328,1.0,1.0,1.0,1.0,1.0,1.0,1.0007449860872328,1.0007449860872328,1.0007449860872328,1.0,1.0,1.0,1.0007449860872328,1.0
2015-10-13,0.9945505822531627,1.0,1.0,1.0,1.0,1.0,1.0,0.9945505822531627,0.9945505822531627,0.9945505822531627,1.0,1.0,1.0,0.9945505822531627,1.0
2015-10-14,0.9891003218416511,1.0,1.0,1.0,1.0,1.0,0.9987398613200037,0.9891003218416511,0.9891003218416511,0.9891003218416511,1.0,1.0,1.0,0.9891003218416511,1.0
2015-10-15,0.9996815260309074,1.0,1.0030142533834376,1.0,1.0,1.0,1.0017503163261616,0.9996815260309074,0.9996815260309074,0.9996815260309074,1.0,1.0,1.0030142533834376,0.9996815260309074,1.0
2015-10-16,1.0014505523294608,1.0,1.0038770401319987,1.0,1.0,1.0,1.0026120158437681,1.0014505523294608,1.0014505523294608,1.0014505523294608,1.0,1.0,1.0038770401319987,1.0014505523294608,1.0
2015-10-19,1.0025796024632145,1.0,1.0045524952723657,1.0002660923897577,1.0,1.0,1.003286619816986,1.0025796024632145,1.0025796024632145,1.0025796024632145,1.0,1.0,1.004819619312997,1.0025796024632145,1.0
2015-10-20,1.0025468031751108,0.9997813657058535,1.0037235072447914,0.9996482024165283,0.9997813657058535,0.9997813657058535,1.0024586764292904,1.0025468031751108,1.0025468031751108,1.0025468031751108,0.9997813657058535,0.9997813657058535,1.0035893960711666,1.0025468031751108,0.9997813657058535
2015-10-21,0.9998310786093557,1.0,1.0026098151112965,0.9989580285069237,1.0,1.0,1.0013463877023305,0.9998310786093557,0.9998310786093557,0.9998310786093557,1.0,1.0,1.0015634907240092,0.9998310786093557,1.0
2015-10-22,1.0161109161686082,1.0,1.0059018180006953,1.0152236505510228,1.006848906806958,1.0,1.0046342422115537,1.0161109161686082,1.0161109161686082,1.0161109161686082,1.0055870314379107,1.0,1.0178715364360342,1.0161109161686082,1.0
2015-10-23,1.0240322660823222,1.0,1.0086028638340807,1.0231380835609702,1.0139585361548669,1.0,1.007331884352608,1.0240322660823222,1.0240322660823222,1.0240322660823222,1.0094739685760474,1.0,1.0258066117108104,1.0240322660823222,1.0
2015-10-26,1.0231484763285912,0.9997813657058535,1.0087077234868944,1.0222550655303348,1.013484290683214,0.9997813657058535,1.0074366118677172,1.0231484763285912,1.0231484763285912,1.0231484763285912,1.0084412582403428,0.9997813657058535,1.024921290610326,1.0231484763285912,0.9997813657058535
2015-10-27,1.019569649449176,0.9997813657058535,1.0085471726293824,1.0186793636739764,1.0121691613309185,0.9997813657058535,1.0072762633265508,1.019569649449176,1.019569649449176,1.019569649449176,1.005961110841434,0.9993631303097511,1.0213362626803786,1.019569649449176,0.9997813657058535
2015-10-28,1.0269211577939041,0.9997813657058535,1.0106155041744356,1.0260244526992308,1.0178535530448665,0.9997813657058535,1.009341988487021,1.0269211577939041,1.0269211577939041,1.0269211577939041,1.0099152194613654,1.0037474625023595,1.0287005090189438,1.0269211577939041,0.9997813657058535
2015-10-29,1.026824867967213,0.9997813657058535,1.0106553788940118,1.0259282469525854,1.0178704251194721,0.9997813657058535,1.0093818129589207,1.026824867967213,1.026824867967213,1.026824867967213,1.0098436308073147,1.0037870662373383,1.0286040523504072,1.026824867967213,0.9997813657058535
2015-10-30,1.0240604701170326,0.9997813657058535,1.0098387686930153,1.023166262967985,1.0153923725869631,0.9997813657058535,1.008566231800025,1.0240604701170326,1.0240604701170326,1.0240604701170326,1.0071249495120822,1.00147361355404,1.0258348646147875,1.0240604701170326,0.9997813657058535
