variant,CAGR,Sharpe,MaxDD,Calmar,UlcerIndex,TotalMultiple,dCAGR_pp,dSharpe,dMaxDD_pp,score
baseline: follow original signal,0.15385041552963874,1.2609473314249051,-0.1280213441087668,1.2017559774948745,4.46222018501849,4.6044179698375185,0.0,0.0,0.0,0.0
above rising SMA50,0.14423110220047386,1.2488091090225883,-0.12608274991274812,1.143940010035352,4.33228948907545,4.210938006647804,-0.961931332916488,-0.012138222402316767,0.19385941960186892,0.12046957809628234
first reclaim among SMA20/50/100,0.1412135356876798,1.2625734747701054,-0.12853219056141024,1.0986627946732974,3.953091837497939,4.093939277245208,-1.2636879841958937,0.0016261433452002816,-0.0510846452643432,0.13472954963642425
above rising SMA20,0.1599733474998739,1.3170334651038391,-0.1260827499127484,1.2687964658970274,4.0501323235322895,4.8719317178148955,0.6122931970235168,0.056086133678934,0.19385941960184117,0.1734015870602197
reclaim SMA100 after pullback/touch,0.12909248224082215,1.288062288599584,-0.11099160991152407,1.1630832487584153,4.176510712243772,3.653065106180604,-2.475793328881659,0.027114957174678933,1.702973419724274,0.3018092472375238
above rising SMA100,0.1319071426470717,1.1939256318819444,-0.12608274991274826,1.0461950008098178,4.844088750912466,3.7514175547683415,-2.1943272882567033,-0.06702169954296067,0.19385941960185504,0.35347612791159166
touch/undercut SMA100,0.12030827123312693,1.1231860795061526,-0.12939141308593768,0.9298010460185792,5.158924091165865,3.3609565856391477,-3.354214429651181,-0.13776125191875255,-0.1370068977170874,0.6246446365743319
reclaim SMA200 after pullback/touch,0.09758364147394949,1.227805492591044,-0.09311005874100545,1.0480461809758679,3.5362067289290184,2.700816885507979,-5.626677405568925,-0.033141838833861126,3.491128536776136,0.6289514182246148
reclaim SMA20 after pullback/touch,0.11382176008312195,1.1319376403916281,-0.12608274991274845,0.9027544224875225,4.4957140948442085,3.1590261720018207,-4.002865544651679,-0.12900969103327697,0.19385941960183561,0.6583059365317219
reclaim SMA50 after pullback/touch,0.10885059020855747,1.1268366208400808,-0.12853219056141077,0.8468741545064563,3.8830437192300837,3.0117834465782733,-4.499982532108127,-0.13411071058482427,-0.051084645264395934,0.7233281389069008
first touch among SMA20/50/100,0.12313084328234214,1.0656224475131026,-0.147623684453677,0.834085964850576,5.469537075699726,3.452422163059151,-3.07195722472966,-0.19532488391180247,-1.9602340344910179,0.8938688937456727
touch/undercut SMA200,0.09297428645660388,1.0469997351729314,-0.12074264590825819,0.7700202836970041,3.8644269761944723,2.582216339640245,-6.087612907303486,-0.21394759625197368,0.7278698200508624,1.036656483234296
touch/undercut SMA50,0.08548514114116768,0.8655812850189516,-0.1412858324263143,0.60505104916129,6.344556325537313,2.399548039438111,-6.8365274388471065,-0.3953660464059535,-1.3264488317547478,1.6070297198720924
touch/undercut SMA20,0.07018546384238245,0.6917692176019332,-0.20761889754891444,0.33804949679904234,8.263548765024192,2.0622757898553643,-8.36649516872563,-0.5691781138229719,-7.959755344014763,2.770981278919983
no fallback: stay bonds until next full cycle,0.021365820415505832,8.45423396975614,-0.0008746164367028697,24.428789031281795,0.016354887713149666,1.2530561050292106,-13.24845951141329,7.1932866383312355,12.714672767206395,15.7114192278038
