variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline,group
sma150_3in_1out,0.14607711279813174,0.14559460043614042,0.13553643663086995,1.074210035731304,1.074210035731304,-0.14906869003738885,5.769004018778174,3.400280182673784,2.400280182673784,1.0,0.0,1.0,0.0,1.0,1.0,0.10891937421766862,0.0,0.0,-0.04830914806871167,strategy
sma150_3in_3out,0.1503870913344736,0.15031147662296854,0.14247779300595442,1.0549817866471778,1.0549817866471778,-0.17517914837181192,6.530023354371892,3.5167972519606754,2.5167972519606754,1.0,0.0,1.0,0.0,1.0,1.0,0.08969112513354238,0.0,0.0,-0.04399916953236982,strategy
"set_[100, 150, 200]__x100_2_150_1_200_2",0.13887382454621688,0.1390106739166408,0.1334797353053573,1.0414365416490416,1.0414365416490416,-0.17788359600001696,6.949284900453984,3.2131858457633142,2.2131858457633142,1.0,0.0,1.0,0.0,1.0,1.0,0.07614588013540624,0.0,0.0,-0.055512436320626524,strategy
"set_[100, 150, 200]__x100_2_150_1_200_1",0.13760698825569206,0.1378611032513788,0.13320947793511184,1.0349196272545473,1.0349196272545473,-0.17839934577178676,6.975979259944411,3.1812449650539114,2.1812449650539114,1.0,0.0,1.0,0.0,1.0,1.0,0.06962896574091193,0.0,0.0,-0.056779272611151343,strategy
sma200_3in_2out,0.14399434299899827,0.14438592522666124,0.13998496060868262,1.0314388388498477,1.0314388388498477,-0.2287721370448093,8.580996030493399,3.345213550905533,2.345213550905533,1.0,0.0,1.0,0.0,1.0,1.0,0.06614817733621225,0.0,0.0,-0.05039191786784514,strategy
"set_[100, 150, 200]__x100_1_150_1_200_2",0.13487115427194185,0.13520939459133804,0.13137620575093006,1.0291771924641753,1.0291771924641753,-0.1924712064602677,7.405994947492809,3.113226835957937,2.113226835957937,1.0,0.0,1.0,0.0,1.0,1.0,0.06388653095053987,0.0,0.0,-0.05951510659490156,strategy
"set_[100, 150, 200]__x100_1_150_1_200_1",0.1336030518478286,0.134059823926076,0.13113997231756166,1.022265153460943,1.022265153460943,-0.1930002815785595,7.428584714930585,3.08214003898643,2.08214003898643,1.0,0.0,1.0,0.0,1.0,1.0,0.05697449194730764,0.0,0.0,-0.060783209019014794,strategy
sma200_3in_1out,0.14035536558568817,0.14093721323087513,0.13809913720586234,1.0205510047523476,1.0205510047523476,-0.22994578968888932,8.688317302013694,3.2509013647029623,2.2509013647029623,1.0,0.0,1.0,0.0,1.0,1.0,0.055260343238712206,0.0,0.0,-0.05403089528115523,strategy
"set_[100, 150, 200]__x100_2_150_2_200_2",0.13586341470928187,0.13642764700000515,0.1339638270116284,1.0183916811227172,1.0183916811227172,-0.1811554258506319,7.187325622728455,3.1377454965130855,2.1377454965130855,1.0,0.0,1.0,0.0,1.0,1.0,0.05310101960908176,0.0,0.0,-0.05852284615756154,strategy
"set_[100, 200]__x100_2_200_2",0.1350942054639923,0.135718710656891,0.13373055414552765,1.0148668830699665,1.0148668830699665,-0.19217025370194357,7.60483966993707,3.1187235260637043,2.1187235260637043,1.0,0.0,1.0,0.0,1.0,1.0,0.049576221556331124,0.0,0.0,-0.059292055402851096,strategy
"set_[100, 150, 200]__x100_2_150_2_200_1",0.13460523448941286,0.13527807633474306,0.1336595740524247,1.012109138412214,1.012109138412214,-0.18165136916554836,7.2151663755320765,3.1066849780455854,2.1066849780455854,1.0,0.0,1.0,0.0,1.0,1.0,0.046818476898578654,0.0,0.0,-0.059781026377430546,strategy
sma150_3in_2out,0.13707024210532648,0.13784551968623338,0.13659779220591775,1.0091343165959425,1.0091343165959425,-0.15907028043653992,6.494130077000164,3.1677972409489823,2.1677972409489823,1.0,0.0,1.0,0.0,1.0,1.0,0.04384365508230714,0.0,0.0,-0.05731601876151693,strategy
"set_[100, 150, 200]__x100_1_150_2_200_2",0.131890302389148,0.13262636767470237,0.1317426228880754,1.0067081159252294,1.0067081159252294,-0.1956485289926301,7.637738420945331,3.040590931465032,2.040590931465032,1.0,0.0,1.0,0.0,1.0,1.0,0.041417454411593946,0.0,0.0,-0.0624959584776954,strategy
"set_[100, 200]__x100_2_200_1",0.1332280849233891,0.13399435465899798,0.1331440874099367,1.0063860683985417,1.0063860683985417,-0.19287434562860367,7.644376357058971,3.0730009366552937,2.0730009366552937,1.0,0.0,1.0,0.0,1.0,1.0,0.041095406884906316,0.0,0.0,-0.061158175943454296,strategy
sma100_3in_3out,0.13690419431086553,0.1377826842813699,0.13724059427833804,1.0039499246260362,1.0039499246260362,-0.19313412038508976,7.249882039889657,3.1636472959722592,2.1636472959722592,1.0,0.0,1.0,0.0,1.0,1.0,0.038659263112400755,0.0,0.0,-0.05748206655597787,strategy
"set_[100, 150, 200]__x100_1_150_2_200_1",0.13063081111219144,0.13147679700944034,0.1314714915907136,1.0000403541380913,1.0000403541380913,-0.19615801958374682,7.661510618330652,3.010355628072101,2.010355628072101,1.0,0.0,1.0,0.0,1.0,1.0,0.03474969262445593,0.0,0.0,-0.06375544975465197,strategy
"set_[100, 200]__x100_1_200_2",0.12909603098126476,0.13001679166893687,0.13070180275767634,0.9947589775023266,0.9947589775023266,-0.21396222957501618,8.325588912945895,2.9738730808550082,1.9738730808550082,1.0,0.0,1.0,0.0,1.0,1.0,0.02946831598869115,0.0,0.0,-0.06529022988557864,strategy
"set_[100, 200]__x100_1_200_1",0.12722696291171243,0.12829243567104384,0.13018864123215193,0.9854349385387103,0.9854349385387103,-0.21469650193947512,8.350796158144579,2.9299752363889824,1.9299752363889824,1.0,0.0,1.0,0.0,1.0,1.0,0.02014427702507493,0.0,0.0,-0.06715929795513098,strategy
"set_[100, 200, 250]__x100_2_200_2_250_1",0.1275038992188633,0.1290924034059471,0.13437547741263842,0.9606842400978558,0.9606842400978558,-0.2140774202650194,8.663165389795772,2.936442939720927,1.9364429397209268,0.0,0.0,0.0,0.0,0.0,0.0,-0.004606421415779605,0.0,0.0,-0.06688236164798012,strategy
"set_[100, 200, 250]__x100_2_200_1_250_1",0.12630917763916716,0.12794283274068502,0.13370984681661996,0.9568691894184558,0.9568691894184558,-0.21446504164131155,8.696423446818544,2.908631231570372,1.908631231570372,0.0,0.0,0.0,0.0,0.0,0.0,-0.008421472095179627,0.0,0.0,-0.06807708322767625,strategy
