ticker,variant,kind,note,start,end,observations,long_window,short_window,entry_days_long,entry_days_short,exit_days_long,exit_days_short,window,entry_days,exit_days,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
AUSF,hybridL250_S20_eL3_eS2_xL2_xS1,hybrid,Slower long trend filter.,2018-08-28,2026-03-26,1904,250.0,20.0,3.0,2.0,2.0,1.0,,,,0.10537029627884986,0.1074230086702744,0.12011269168341772,0.8943518554509657,0.8943518554509657,-0.1260770754806892,4.908500500713678,2.1316972460451877,1.1316972460451877
AUSF,hybridL150_S20_eL3_eS2_xL2_xS1,hybrid,Shorter long trend filter.,2018-08-28,2026-03-26,1904,150.0,20.0,3.0,2.0,2.0,1.0,,,,0.1072517857251456,0.10953342968704513,0.1234665987187478,0.8871502967094618,0.8871502967094618,-0.13430304964007972,4.968183593388544,2.159265535768524,1.1592655357685242
AUSF,hybridL200_S20_eL2_eS2_xL2_xS2,hybrid,Slower short-SMA exit to stay in trend longer.,2018-08-28,2026-03-26,1904,200.0,20.0,2.0,2.0,2.0,2.0,,,,0.10863988345272002,0.11103568900013946,0.12545784323136014,0.8850438214163749,0.8850438214163749,-0.14510509942395583,5.611418425111041,2.1798022600036346,1.1798022600036346
AUSF,hybridL200_S20_eL3_eS2_xL2_xS1,hybrid,Current best average-Sharpe benchmark.,2018-08-28,2026-03-26,1904,200.0,20.0,3.0,2.0,2.0,1.0,,,,0.10616598365533658,0.10846549781246698,0.12276085645841206,0.883551165588455,0.883551165588455,-0.14325655370710486,4.833613406878601,2.143318459186956,1.1433184591869558
AUSF,hybridL200_S20_eL2_eS2_xL2_xS1,hybrid,Faster bull entry close to current winner.,2018-08-28,2026-03-26,1904,200.0,20.0,2.0,2.0,2.0,1.0,,,,0.10695208274771217,0.10931196838961159,0.12385845802009457,0.8825555407114548,0.8825555407114548,-0.14175785241218916,4.9776140609562525,2.154853573006612,1.154853573006612
AUSF,hybridL200_S15_eL2_eS2_xL2_xS1,hybrid,Faster bull entry plus shorter re-entry trigger.,2018-08-28,2026-03-26,1904,200.0,15.0,2.0,2.0,2.0,1.0,,,,0.10843974005123025,0.11092434248448307,0.1260246175167203,0.8801799574576465,0.8801799574576465,-0.16458108918340256,5.010902126444976,2.1768307492876975,1.1768307492876975
AUSF,hybridL200_S20_eL1_eS2_xL2_xS1,hybrid,More aggressive bull-regime entry.,2018-08-28,2026-03-26,1904,200.0,20.0,1.0,2.0,2.0,1.0,,,,0.10456223303607293,0.10724560084854083,0.12462704085116447,0.8605323541029802,0.8605323541029802,-0.13220257348673314,5.139863654061472,2.119951272737361,1.119951272737361
AUSF,hybridL200_S15_eL3_eS2_xL2_xS1,hybrid,Shorter re-entry trigger.,2018-08-28,2026-03-26,1904,200.0,15.0,3.0,2.0,2.0,1.0,,,,0.10433087979730593,0.10710316569088758,0.1251797879083499,0.8555947208450532,0.8555947208450532,-0.17042718147962385,5.064298611925518,2.1165986898086304,1.1165986898086304
AUSF,hybridL200_S20_eL2_eS2_xL1_xS1,hybrid,Faster 200-SMA exit.,2018-08-28,2026-03-26,1904,200.0,20.0,2.0,2.0,1.0,1.0,,,,0.09845099298977966,0.10149673583308223,0.12302290047165128,0.8250231090631016,0.8250231090631016,-0.13756354339018956,5.28558164893811,2.032922099807053,1.032922099807053
AUSF,hybridL200_S20_eL2_eS1_xL2_xS1,hybrid,More aggressive re-entry below 200.,2018-08-28,2026-03-26,1904,200.0,20.0,2.0,1.0,2.0,1.0,,,,0.0992070579550477,0.10259701152410937,0.1263071967715423,0.8122815971419376,0.8122815971419376,-0.14134920461354153,5.41308216979286,2.0435181869899317,1.0435181869899317
AUSF,hybridL200_S20_eL3_eS2_xL1_xS1,hybrid,"Slower entry, faster bull exit.",2018-08-28,2026-03-26,1904,200.0,20.0,3.0,2.0,1.0,1.0,,,,0.09566823772196642,0.0987952626002528,0.1216849301369582,0.81189398300231,0.81189398300231,-0.13906956897741476,5.07942962166335,1.9943318887962442,0.9943318887962442
AUSF,hybridL200_S20_eL3_eS3_xL2_xS1,hybrid,Simpler remembered 3-day hybrid.,2018-08-28,2026-03-26,1904,200.0,20.0,3.0,3.0,2.0,1.0,,,,0.0952385282517747,0.09843215181660532,0.12192348711665447,0.8073272356656516,0.8073272356656516,-0.15890133292391234,5.636024794555882,1.988429858334666,0.988429858334666
AUSF,hybridL200_S20_eL1_eS1_xL2_xS1,hybrid,Most aggressive entry profile.,2018-08-28,2026-03-26,1904,200.0,20.0,1.0,1.0,2.0,1.0,,,,0.0968339293332876,0.10053064398303863,0.12706053464021136,0.7912027465310483,0.7912027465310483,-0.14134920461354114,5.624611627040872,2.0104191930436857,1.0104191930436857
AUSF,sma250_3in_1out,single_sma,Slower long-term filter.,2018-08-28,2026-03-26,1904,,,,,,,250.0,3.0,1.0,0.0764630882692876,0.07905148889204942,0.10350280119074773,0.7637618304297252,0.7637618304297252,-0.18552307641399804,7.55453356272514,1.7449030394256393,0.7449030394256393
