strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches
winningstrat_top4_bil_cash,2017-03-31,2026-05-31,111,0.18553739512381417,0.13040337189900433,1.2012993313869036,1.972876529986429,-0.14493600993628697,1.280133178810258,0.3055842077568298,-0.09099143578312086,0.6846846846846847,3.8274316197664326,0
winningstrat_top4_zero_cash,2017-03-31,2026-05-31,111,0.1821548093144505,0.1308092882335947,1.1758363410604198,1.917169511006443,-0.14603094103422287,1.2473713312013914,0.3055842077568298,-0.09730336561774389,0.6576576576576577,3.7015143807304964,0
hybrid_rotation_gate_or_winning_daily_bil,2017-03-31,2026-05-31,111,0.1953677905755573,0.14290829505505356,1.1666878939570478,1.8763263008891768,-0.15400464839254913,1.2685837253274062,0.30780585651775283,-0.07539295821471992,0.6936936936936937,4.210619169821174,0
rotation_top4_bil,2017-03-31,2026-05-31,111,0.13741234724757656,0.11835782275120944,0.9564707321950725,1.411444280620866,-0.10996634240061909,1.249585502689257,0.305585249435826,-0.08957157382159653,0.6936936936936937,2.290341163321917,0
hybrid_rotation_gate_plus_winning_daily_bil,2017-03-31,2026-05-31,111,0.1266762536234114,0.11823657140073998,0.8763809091066413,1.2758252169747832,-0.13573959240218259,0.9332299543679383,0.3055842077568298,-0.10457432922390542,0.6756756756756757,2.01399171630677,0
rotation_original_cefs_bil,2017-03-31,2026-05-31,111,0.08806452473850879,0.10678468188626045,0.6278832619896217,1.091245872644372,-0.12421870476991559,0.708947375531137,0.29862793785007313,-0.1242187047699157,0.6306306306306306,1.1830089679287812,0
