Date,winningstrat_top4_zero_cash,winningstrat_top4_bil_cash,hybrid_rotation_gate_plus_winning_daily_bil,hybrid_rotation_gate_or_winning_daily_bil
2016-07-27,0.0024499778551078377,0.0025047678865535994,0.00021916012578304667,0.0025047678865535994
2016-07-28,0.001493865196553923,0.0014390871702673058,-0.0002191121051464684,0.0014390871702673058
2016-07-29,0.0010600567784052606,0.0011148468098510222,0.00021916012578304667,0.0011148468098510222
2016-08-01,0.002285238259167044,0.002285238259167044,-0.0002191121051464684,0.002285238259167044
2016-08-02,-0.004856085607483129,-0.004856085607483129,0.00021916012578304667,-0.004856085607483129
2016-08-03,0.0008789838154264484,0.0008789838154264484,-0.0002191121051464684,0.0008789838154264484
2016-08-04,0.002012649367689745,0.002012649367689745,0.0,0.002012649367689745
2016-08-05,0.004189939721382707,0.004189939721382707,0.0,0.004189939721382707
2016-08-08,-0.0008986947817877233,-0.0008986947817877233,0.0,-0.0008986947817877233
2016-08-09,0.001652376832643132,0.001652376832643132,0.0,0.001652376832643132
2016-08-10,-0.0015550056392517886,-0.0015550056392517886,0.0,-0.0015550056392517886
2016-08-11,0.004023236703962707,0.004023236703962707,0.0,0.004023236703962707
2016-08-12,-0.0005672640092884984,-0.0005672640092884984,0.0,-0.0005672640092884984
2016-08-15,0.002675524971911869,0.002675524971911869,0.0,0.002675524971911869
2016-08-16,-0.004529912210453513,-0.004529912210453513,0.0,-0.004529912210453513
2016-08-17,0.0014712223378703926,0.0014712223378703926,0.0,0.0014712223378703926
2016-08-18,0.00012749971880615663,0.00012749971880615663,0.00021916012578304667,0.00012749971880615663
2016-08-19,-0.0003299883446773455,-0.0003299883446773455,-0.0002191121051464684,-0.0003299883446773455
2016-08-22,0.00042015869673162065,0.00042015869673162065,0.0,0.00042015869673162065
2016-08-23,0.001392317652397057,0.001392317652397057,0.0,0.001392317652397057
2016-08-24,-0.005534350515553399,-0.005534350515553399,0.00021916012578304667,-0.005534350515553399
2016-08-25,-0.0009681792588623339,-0.0009681792588623339,-0.0002191121051464684,-0.0009681792588623339
