strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,entry_days_long,entry_days_short,exit_days_long,exit_days_short
hybridL200_S20_eL3_eS3_xL2_xS1,2017-03-31,2026-05-31,111,0.18556353487520805,0.12833516140719847,1.218776717220068,1.9410889913968168,-0.13685458841619236,1.355917525475182,0.3055842077568298,-0.08895057405739204,0.6756756756756757,3.8284162735612925,0,3,3,2,1
hybridL200_S20_eL3_eS3_xL1_xS1,2017-03-31,2026-05-31,111,0.18428347659736954,0.12762402539946405,1.2163248647321951,1.9030539455279782,-0.1210464464423332,1.5224195506240046,0.3055842077568298,-0.07480088152272613,0.6756756756756757,3.7804078068789897,0,3,3,1,1
hybridL200_S20_eL3_eS2_xL2_xS1,2017-03-31,2026-05-31,111,0.18553739512381417,0.13040337189900433,1.2012993313869036,1.972876529986429,-0.14493600993628697,1.280133178810258,0.3055842077568298,-0.09099143578312086,0.6846846846846847,3.8274316197664326,0,3,2,2,1
hybridL200_S20_eL3_eS2_xL1_xS1,2017-03-31,2026-05-31,111,0.18425695669541198,0.1297589773951716,1.198225098454201,1.9222046608260632,-0.13504974060896002,1.3643636475314136,0.3055842077568298,-0.07687344028387688,0.6756756756756757,3.779417698336321,0,3,2,1,1
hybridL200_S20_eL2_eS3_xL1_xS1,2017-03-31,2026-05-31,111,0.1807756995477956,0.12961975610064233,1.1763658921318874,1.8736894682469927,-0.13980422719156826,1.2930631868526101,0.3055842077568298,-0.09192465294325847,0.6576576576576577,3.651023271419282,0,2,3,1,1
hybridL200_S20_eL2_eS3_xL2_xS1,2017-03-31,2026-05-31,111,0.18184012057449817,0.1306776959857983,1.1748942840757002,1.8761395444221791,-0.1503220787473072,1.2096700770095996,0.3055842077568298,-0.08855137205041552,0.6756756756756757,3.6899503427323967,0,2,3,2,1
hybridL200_S20_eL2_eS2_xL1_xS1,2017-03-31,2026-05-31,111,0.1807460344608769,0.1317420927996694,1.159299946738155,1.9053771224071343,-0.1478580319579209,1.2224295972796095,0.3055842077568298,-0.0939588523698911,0.6666666666666666,3.649942525868293,0,2,2,1,1
hybridL200_S20_eL2_eS2_xL2_xS1,2017-03-31,2026-05-31,111,0.1818108362758375,0.13278942215307066,1.15809139956431,1.9053071788147822,-0.1503220787473073,1.2094752666470443,0.3055842077568298,-0.09059312803728314,0.6756756756756757,3.6888755080146627,0,2,2,2,1
