variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share,beats_baseline_Sharpe_count,beats_baseline_Sharpe_share,mean_excess_Sharpe_over_baseline,beats_baseline_CAGR_count,beats_baseline_CAGR_share,mean_excess_CAGR_over_baseline
sma200_3in_1out,0.09594192596119444,0.09909993941864761,0.12206440265985075,0.8118660089199243,0.8118660089199243,-0.19379004737771585,7.4679031497954735,9.327008652131873,8.327008652131873,1.0,0.0,1.0,0.0,1,1.0,0.2191421758637906,0,0.0,-0.011876137311068957
sma200_3in_2out,0.09786725441331745,0.10122503535995045,0.1250323847816395,0.8095905355779068,0.8095905355779068,-0.2039224033398623,7.453820743585464,9.734680302714146,8.734680302714146,1.0,0.0,1.0,0.0,1,1.0,0.2168667025217731,0,0.0,-0.009950808858945948
"set_[100, 200, 250]__x100_2_200_2_250_1",0.09278065916401657,0.09585218485452004,0.1190950537820373,0.8048376637869835,0.8048376637869835,-0.18188723814806235,7.2203748117752475,8.692914722714061,7.692914722714061,1.0,0.0,1.0,0.0,1,1.0,0.21211383073084977,0,0.0,-0.015037404108246832
"set_[100, 200, 250]__x100_2_200_1_250_1",0.09211750948649855,0.0951438195407524,0.11824669438354161,0.8046213895176353,0.8046213895176353,-0.174627141576174,7.217678834091718,8.565248416010432,7.565248416010432,1.0,0.0,1.0,0.0,1,1.0,0.21189755646150155,0,0.0,-0.015700553785764848
"set_[100, 200, 250]__x100_2_200_1_250_2",0.09195116489343791,0.09505880639540663,0.11881380252438392,0.8000653491070443,0.8000653491070443,-0.1737584161387602,7.213237439924744,8.533507775076544,7.533507775076544,1.0,0.0,1.0,0.0,1,1.0,0.20734151605091056,0,0.0,-0.01586689837882549
sma250_3in_1out,0.09646823918563574,0.09995430255810447,0.12506151137558344,0.7992411210985828,0.7992411210985828,-0.22522849350633087,8.132220845444776,9.436794832384438,8.436794832384438,1.0,0.0,1.0,0.0,1,1.0,0.20651728804244907,0,0.0,-0.011349824086627658
"set_[100, 200, 250]__x100_2_200_2_250_2",0.09257629550908919,0.09576717170917426,0.11994525492747778,0.7984240124136445,0.7984240124136445,-0.18192790652256724,7.2369403431097865,8.653378381358168,7.653378381358168,1.0,0.0,1.0,0.0,1,1.0,0.20570017935751073,0,0.0,-0.015241767763174208
"set_[100, 200]__x100_2_200_2",0.09059520321152648,0.09380112600272784,0.1186875263876904,0.7903200012470424,0.7903200012470424,-0.1691367153253456,7.036691975038936,8.27894716273012,7.27894716273012,1.0,0.0,1.0,0.0,1,1.0,0.19759616819090864,0,0.0,-0.017222860060736922
"set_[100, 200]__x100_2_200_1",0.0895903070511368,0.09273857803207641,0.11750369461852102,0.7892396773833773,0.7892396773833773,-0.15135829289150377,7.072262756325415,8.095008769776529,7.095008769776529,1.0,0.0,1.0,0.0,1,1.0,0.19651584432724356,0,0.0,-0.0182277562211266
"set_[100, 150, 200]__x100_2_150_2_200_2",0.09088736064165936,0.0942111811159193,0.11987775350550892,0.7858937822987305,0.7858937822987305,-0.18461830913797866,7.191606431852553,8.33317196260728,7.333171962607279,1.0,0.0,1.0,0.0,1,1.0,0.19316994924259678,0,0.0,-0.016930702630604033
