ticker,strategy_cagr,strategy_sharpe,strategy_maxdd,strategy_annvol,strategy_annreturn,strategy_ulcerindex,strategy_totalreturn,buyhold_cagr,buyhold_sharpe,buyhold_maxdd,buyhold_annvol,buyhold_annreturn,buyhold_ulcerindex,buyhold_totalreturn,sharpe_beat_rate,cagr_beat_rate,better_maxdd_rate,avg_sharpe_delta,avg_cagr_delta,avg_maxdd_delta,strategy_sharpe_rank,strategy_cagr_rank,delta_sharpe_rank,delta_cagr_rank,combined_rank_score,combined_rank,configured_shared_start,actual_shared_start,actual_shared_end,num_windows,sampling_min_years,sampling_max_years,rank_sharpe_weight,rank_cagr_weight
SPHQ,0.11621928792640394,0.9372107643510225,-0.1570404334257806,0.12523211915534435,0.11768100215867572,5.87633080002749,1.2008417309951418,0.14028115822734258,0.7862481817113323,-0.3085881881076694,0.1916713309913497,0.14973092863827925,7.233004803664886,1.541793213601972,0.88,0.04,1.0,0.1509625826396902,-0.024061870300938638,0.15154775468188877,4,5,2,1,1.6,1,2015-10-09,2015-10-12,2026-03-26,100,3.0,10.433,0.6,0.4
SPMO,0.1437604886249476,1.0068318843944912,-0.1483387891169483,0.14306959282783083,0.14437979022408312,6.081438567777086,1.7288404362471834,0.17009043045163363,0.855030114582694,-0.301698337579985,0.2112426615065564,0.17945331115560367,7.581619072696018,2.166322388590837,0.92,0.04,1.0,0.1518017698117972,-0.026329941826685993,0.15335954846303668,2,4,1,3,1.8000000000000003,2,2015-10-09,2015-10-12,2026-03-26,100,3.0,10.433,0.6,0.4
IWY,0.1647416744610436,1.0300193833495515,-0.23274865811048798,0.1606695293530166,0.16534563249979325,6.965580848399006,2.0899425905971354,0.1896458491734295,0.9053277816791626,-0.3211261237133703,0.2200565154138216,0.19785015925328156,10.254454271406296,2.4662159606519665,0.83,0.07,1.0,0.12469160167038897,-0.024904174712385926,0.08837746560288234,1,2,3,2,2.5999999999999996,3,2015-10-09,2015-10-12,2026-03-26,100,3.0,10.433,0.6,0.4
EQWL,0.10638241519969513,0.9034988233048555,-0.1409332376741629,0.11963457461344579,0.10819381268834231,5.080657008081181,1.0704264066976938,0.13509008914944112,0.7986401754856033,-0.3312598077524554,0.1808350711395066,0.1432088387643499,6.878382677080527,1.4671457455141654,0.86,0.04,1.0,0.10485864781925233,-0.028707673949745997,0.19032657007829246,5,6,4,5,4.4,4,2015-10-09,2015-10-12,2026-03-26,100,3.0,10.433,0.6,0.4
QQQ,0.1696918407340626,0.9919508835794143,-0.23664060870689355,0.17324323375695325,0.17165719827824413,6.852761716743164,2.1959435858162397,0.19833783157482746,0.8929317067568318,-0.33727450022359307,0.23461235747270093,0.20833161085393243,10.713420567399544,2.6490949082320685,0.82,0.12,1.0,0.09901917682258263,-0.028645990840764822,0.1006338915166995,3,1,5,4,4.6,5,2015-10-09,2015-10-12,2026-03-26,100,3.0,10.433,0.6,0.4
DGRO,0.09097803637195578,0.8198900049873892,-0.14477413452357996,0.11401346402348915,0.09351838118638367,5.731257446382785,0.8718825598432501,0.12646637033023858,0.756697895587147,-0.3358612718992544,0.18138682471996714,0.13571316404936853,6.358298642395677,1.3281169674291533,0.79,0.02,1.0,0.0631921094002422,-0.0354883339582828,0.19108713737567443,8,8,6,7,6.4,6,2015-10-09,2015-10-12,2026-03-26,100,3.0,10.433,0.6,0.4
SCHG,0.14956609336610596,0.8645534505903464,-0.29935087956021766,0.18194538810397518,0.15570840267578054,10.33411853657773,1.7696797518083793,0.1813476679543728,0.8549060899564558,-0.33912584849350225,0.22695124268758138,0.1924383952758012,10.755501219637221,2.2916102358792863,0.53,0.04,1.0,0.009647360633890614,-0.03178157458826686,0.03977496893328456,6,3,7,6,6.6000000000000005,7,2015-10-09,2015-10-12,2026-03-26,100,3.0,10.433,0.6,0.4
DGRW,0.09143787930685145,0.8282914770800853,-0.1536093511254331,0.11355218815705491,0.09390544800589608,5.672538266822496,0.8881560766763755,0.13680518746826925,0.8284969426441561,-0.3067865246010728,0.17480541220230125,0.14365035615264518,5.586637908389291,1.4808568610809534,0.59,0.0,1.0,-0.00020546556407073535,-0.04536730816141779,0.15317717347563967,7,7,8,8,8.0,8,2015-10-09,2015-10-12,2026-03-26,100,3.0,10.433,0.6,0.4
