window_id,start,end,trading_days,span_years,ticker,variant,baseline_variant,strategy_cagr,strategy_annreturn,strategy_annvol,strategy_sharpe,strategy_sharpe_norf,strategy_maxdd,strategy_ulcerindex,strategy_totalmultiple,strategy_totalreturn,buyhold_cagr,buyhold_annreturn,buyhold_annvol,buyhold_sharpe,buyhold_sharpe_norf,buyhold_maxdd,buyhold_ulcerindex,buyhold_totalmultiple,buyhold_totalreturn,sharpe_delta,cagr_delta,maxdd_delta,strategy_beats_buyhold_sharpe,strategy_beats_buyhold_cagr,strategy_better_maxdd
sample_001,2018-05-14,2021-09-03,835,3.3134920634920637,DGRO,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.13580455402820935,0.13539085095148742,0.12635760612033747,1.0714895217510458,1.0714895217510458,-0.14462703204986396,4.624989445006053,1.5249235043115106,0.5249235043115106,0.16421857076900181,0.1765247392406518,0.2206703839828379,0.7999475781688066,0.7999475781688066,-0.3510320002648686,6.695414272227435,1.6550261737308398,0.6550261737308398,0.27154194358223926,-0.02841401674079247,0.20640496821500462,1.0,0.0,1.0
sample_001,2018-05-14,2021-09-03,835,3.3134920634920637,DGRW,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.11034121207780334,0.11201135069458819,0.12074266419529608,0.9276865923168188,0.9276865923168188,-0.13832237189160052,4.650569181003656,1.414554283844987,0.41455428384498694,0.15967927503973178,0.17002392420679335,0.20850522532874774,0.8154420299957407,0.8154420299957407,-0.3203582640319437,6.106600627229503,1.633740620338058,0.633740620338058,0.11224456232107816,-0.04933806296192844,0.18203589214034316,1.0,0.0,1.0
sample_001,2018-05-14,2021-09-03,835,3.3134920634920637,EQWL,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.14246691492059171,0.14177248720078364,0.13044432258830324,1.0868429103521304,1.0868429103521304,-0.14220494510885467,4.603338254633098,1.5547637836380401,0.5547637836380401,0.17204246495316466,0.1812274197382923,0.21108215992690918,0.8585634134170571,0.8585634134170571,-0.34295663442268165,6.799921254520211,1.6921670476911432,0.6921670476911432,0.22827949693507332,-0.02957555003257295,0.20075168931382698,1.0,0.0,1.0
sample_001,2018-05-14,2021-09-03,835,3.3134920634920637,SPHQ,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.17178672032812203,0.16782829759399778,0.13575190275867963,1.2362868894172263,1.2362868894172263,-0.13699016997646182,3.6975371969562394,1.6909438892582798,0.6909438892582798,0.1869915390859802,0.19621603809978425,0.22232653726083157,0.8825578831805638,0.8825578831805638,-0.315940856826744,6.000067857493862,1.764743573137379,0.7647435731373791,0.3537290062366625,-0.015204818757858174,0.17895068685028218,1.0,0.0,1.0
sample_001,2018-05-14,2021-09-03,835,3.3134920634920637,QQQ,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.20006921516605258,0.20069932525159814,0.1903392460075855,1.0544295486155273,1.0544295486155273,-0.2517511863973382,6.790387868298979,1.8299930075738926,0.8299930075738926,0.2858453867264137,0.283281130191982,0.25133591617055184,1.1271016673946144,1.1271016673946144,-0.285593688455575,6.513342731124284,2.3003613393812796,1.3003613393812796,-0.07267211877908708,-0.0857761715603611,0.0338425020582368,0.0,0.0,1.0
sample_001,2018-05-14,2021-09-03,835,3.3134920634920637,SCHG,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.24568496902048187,0.23428245863875205,0.1700287740630554,1.377898887583981,1.377898887583981,-0.1868284577792617,3.986347502720263,2.0707820574335885,1.0707820574335885,0.26109847491672444,0.26130962832008353,0.2410090655755826,1.08423153168956,1.08423153168956,-0.3239203268941168,6.46368241715322,2.156904981682027,1.1569049816820272,0.29366735589442095,-0.015413505896242574,0.13709186911485513,1.0,0.0,1.0
sample_001,2018-05-14,2021-09-03,835,3.3134920634920637,IWY,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.1962020798718136,0.19492863789457787,0.17658904740849288,1.1038546317295723,1.1038546317295723,-0.245923294971888,6.575535654962543,1.8105260152303926,0.8105260152303926,0.26502984335075275,0.26313987723356286,0.23593735236420277,1.1152955417901322,1.1152955417901322,-0.3075689996331157,6.405293866283862,2.1792652545349296,1.1792652545349296,-0.011440910060559917,-0.06882776347893915,0.06164570466122768,0.0,0.0,1.0
sample_001,2018-05-14,2021-09-03,835,3.3134920634920637,SPMO,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.1793475743507773,0.17620777711507019,0.14939967530756446,1.1794388224225838,1.1794388224225838,-0.14242113644849316,3.990766994805278,1.7273669098255433,0.7273669098255433,0.18994099567090417,0.20425774154689647,0.24511452205095458,0.8333155450676857,0.8333155450676857,-0.3094755942535816,6.505344378231233,1.7793152585131067,0.7793152585131067,0.3461232773548981,-0.010593421320126861,0.16705445780508846,1.0,0.0,1.0
sample_002,2016-06-07,2025-10-13,2352,9.333333333333334,DGRO,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.09546957634954434,0.09766467216000009,0.11353975962749381,0.8601803674802784,0.8601803674802784,-0.14705666577161133,5.793102247246934,2.3420868381928366,1.3420868381928366,0.12819580270948205,0.13512032355576034,0.16990852636961265,0.7952533427417565,0.7952533427417565,-0.351032000264869,6.008388206945082,3.082632907019774,2.082632907019774,0.06492702473852185,-0.032726226359937716,0.2039753344932577,1.0,0.0,1.0
sample_002,2016-06-07,2025-10-13,2352,9.333333333333334,DGRW,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.10175313517552964,0.10339681102999793,0.11363803724539556,0.9098785365917382,0.9098785365917382,-0.1584868171389861,5.631569357355545,2.4705107816170067,1.4705107816170067,0.1385311485405325,0.14347394162204036,0.16529488036106862,0.8679878124999226,0.8679878124999226,-0.3203582640319432,5.311423563268736,3.3564941135806277,2.3564941135806277,0.0418907240918156,-0.03677801336500286,0.16187144689295707,1.0,0.0,1.0
sample_002,2016-06-07,2025-10-13,2352,9.333333333333334,EQWL,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.10913284167329773,0.11084826861621716,0.12015769606101495,0.922523252775498,0.922523252775498,-0.14220494510885492,5.178113157912502,2.6293391444166736,1.6293391444166736,0.13902400395307768,0.14493124464538093,0.17125909761948988,0.8462688794927252,0.8462688794927252,-0.34295663442268187,6.499736242971169,3.370079773460346,2.370079773460346,0.07625437328277274,-0.029891162279779948,0.20075168931382695,1.0,0.0,1.0
