ticker,bucket_years,strategy_cagr,strategy_sharpe,strategy_maxdd,strategy_annvol,strategy_annreturn,strategy_ulcerindex,strategy_totalreturn,buyhold_cagr,buyhold_sharpe,buyhold_maxdd,buyhold_annvol,buyhold_annreturn,buyhold_ulcerindex,buyhold_totalreturn,sharpe_beat_rate,cagr_beat_rate,better_maxdd_rate,avg_sharpe_delta,avg_cagr_delta,avg_maxdd_delta
DGRO,3,0.07439744134338405,0.7821422959378616,-0.12058250144812627,0.09947786626210049,0.0760861681228495,4.319722135459263,0.2451657388407101,0.13099316964223462,0.8909933146282002,-0.22240201762020292,0.1651688720924419,0.13744854584226907,5.473067218276035,0.4487833074305351,0.3333333333333333,0.0,1.0,-0.1088510186903386,-0.05659572829885057,0.10181951617207667
DGRW,3,0.07543182319932645,0.7821399388230303,-0.11598051539471421,0.1010796912144648,0.07718557368920721,4.139429260394205,0.2487760306828086,0.13828389234832208,0.9360137675721737,-0.21102715141395603,0.16168538744829453,0.14309349521895234,5.008595128179297,0.4765767814411563,0.3333333333333333,0.0,1.0,-0.15387382874914332,-0.06285206914899565,0.09504663601924186
EQWL,3,0.08529299764070832,0.8274014265697036,-0.12172702390656419,0.10509891121004615,0.08655021159944376,4.024509669256994,0.2849448123658576,0.1371830309704661,0.8873120043955147,-0.24082806297849704,0.16809448705268612,0.14272870894372858,5.976987590418183,0.47563841979669275,0.3333333333333333,0.16666666666666666,1.0,-0.05991057782581108,-0.05189003332975778,0.11910103907193288
IWY,3,0.11676662774106265,0.8575319981049901,-0.17340272601720086,0.14196965961203967,0.11925202108431648,5.211274926124509,0.40508561267772053,0.1830977813850239,0.9426705633062866,-0.2706009230501036,0.20831119710022494,0.19004081629964906,8.636216711203813,0.6611172127632238,0.16666666666666666,0.16666666666666666,1.0,-0.08513856520129658,-0.06633115364396125,0.09719819703290272
QQQ,3,0.12236766081763996,0.8341332062455896,-0.17494755855689711,0.15442803446554174,0.12571490242639968,5.306756578205765,0.42919432641344235,0.19047804428195725,0.9143296253460537,-0.2770481429036193,0.22331803605037634,0.19911865853080682,9.077672705396703,0.6955736549563595,0.3333333333333333,0.16666666666666666,1.0,-0.08019641910046395,-0.06811038346431729,0.10210058434672216
SCHG,3,0.10528770633269162,0.7416097518737602,-0.2141659728209934,0.156684679031766,0.11040663132129891,7.083731255162856,0.36943080670334466,0.1742125117602703,0.8823855682818896,-0.28894686641414696,0.21396418321069713,0.18360641332006108,9.076576765315773,0.6264605902814813,0.5,0.0,0.8333333333333334,-0.14077581640812925,-0.06892480542757869,0.0747808935931536
SPHQ,3,0.08665680729876342,0.770923348477781,-0.1242681483909555,0.11050916487819018,0.0878933263617656,4.5160342315165485,0.29360349977948175,0.14271067460373502,0.8827790843816553,-0.23268781649022052,0.17742262116946514,0.14940720411313665,6.232290890899915,0.4965295677418118,0.3333333333333333,0.16666666666666666,0.8333333333333334,-0.11185573590387439,-0.056053867304971604,0.10841966809926505
SPMO,3,0.11833884090564568,0.8986474861292894,-0.13030518196248767,0.12982025293394397,0.11860680586094606,4.516539553988429,0.4127146145825744,0.17885513321808058,0.9670969803420691,-0.230877099550718,0.19809177620170024,0.18417505516255261,6.436834603557778,0.6468603025938822,0.3333333333333333,0.16666666666666666,1.0,-0.06844949421277978,-0.060516292312434904,0.10057191758823035
DGRO,5,0.08172994695435236,0.759072549373426,-0.14401085325106935,0.11085212226626669,0.08470389068545597,5.581354586229096,0.4827933582950404,0.11954719502690574,0.7388332431744179,-0.2983977803820496,0.17947736410539183,0.1294201130086905,6.378225767660751,0.757925625300706,0.6666666666666666,0.0,1.0,0.020239306199008267,-0.03781724807255338,0.15438692713098026
DGRW,5,0.08075648467194292,0.7586971357381692,-0.15176604285238895,0.11063796567587113,0.08383794389193829,5.767897654950045,0.47370396234814355,0.12679941011570262,0.7910109060490363,-0.27112807225466296,0.17352547122667608,0.13473309734265806,5.641822148544321,0.815706581119778,0.3333333333333333,0.0,1.0,-0.03231377031086732,-0.04604292544375969,0.11936202940227399
EQWL,5,0.09186617227199718,0.806977391520237,-0.14205990186827003,0.11662676975426074,0.09466999966625757,5.137769543608457,0.5535875192144234,0.1251840000479175,0.761246432331743,-0.3052746366109038,0.18053762153826655,0.13444342734891512,7.033562615712349,0.805009512288982,0.6666666666666666,0.3333333333333333,1.0,0.045730959188493826,-0.033317827775920295,0.1632147347426338
IWY,5,0.1468766982804747,0.9676379365154929,-0.2212465356137132,0.15531308012176706,0.14921762264847815,7.116901094860903,0.9830193632728473,0.17230870214751315,0.843065672146909,-0.3204192656893132,0.2206998550963982,0.18331603428858267,10.424663717285208,1.2231117570291319,0.6666666666666666,0.0,1.0,0.12457226436858386,-0.02543200386703844,0.0991727300756
QQQ,5,0.15602648770899874,0.9579742460198787,-0.22115915318327542,0.16730161856960687,0.15915698439692427,6.931099480852921,1.0623633365331904,0.17851456045599248,0.824203219568735,-0.32932269569595224,0.2356665924251854,0.1918545276577611,10.996376274639003,1.2912036119759622,0.6666666666666666,0.3333333333333333,1.0,0.13377102645114355,-0.022488072746993753,0.10816354251267675
SCHG,5,0.13145124527743435,0.8160540962217399,-0.27960768397846525,0.1785625732715325,0.13955769396652432,10.201571656508968,0.8626517290753409,0.16090465760558356,0.7819417281336012,-0.33858217029304033,0.22789079824838743,0.1752886836973939,10.999637291757098,1.1145789353195217,0.6666666666666666,0.0,1.0,0.03411236808813874,-0.029453412328149204,0.05897448631457508
SPHQ,5,0.10337743562366423,0.8592691987869977,-0.15782602100663692,0.1219842113051588,0.10571277720153847,5.828960999317796,0.6401530004171074,0.12939237934536152,0.7459108199211449,-0.2940998716486338,0.1908354599948443,0.1400970121392008,7.4027345858743425,0.8371315716113301,0.6666666666666666,0.3333333333333333,1.0,0.11335837886585287,-0.026014943721697287,0.1362738506419969
