window_id,bucket_years,window_source,start,end,trading_days,span_years,ticker,variant,baseline_variant,strategy_cagr,strategy_annreturn,strategy_annvol,strategy_sharpe,strategy_sharpe_norf,strategy_maxdd,strategy_ulcerindex,strategy_totalmultiple,strategy_totalreturn,buyhold_cagr,buyhold_annreturn,buyhold_annvol,buyhold_sharpe,buyhold_sharpe_norf,buyhold_maxdd,buyhold_ulcerindex,buyhold_totalmultiple,buyhold_totalreturn,sharpe_delta,cagr_delta,maxdd_delta,strategy_beats_buyhold_sharpe,strategy_beats_buyhold_cagr,strategy_better_maxdd
03y_01,3,rolling,2015-10-12,2018-10-11,757,3.003968253968254,DGRO,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.08121150202301108,0.08174500849845345,0.08529061118914315,0.9584291560201528,0.9584291560201528,-0.10582622008296383,3.252335396459624,1.2643477424540033,0.2643477424540033,0.13413800467916182,0.13212718478973837,0.1114467541038743,1.1855633288932652,1.1855633288932652,-0.1058262200829639,3.324312441119718,1.45953542213085,0.4595354221308501,-0.22713417287311244,-0.05292650265615073,6.938893903907228e-17,0.0,0.0,1.0
03y_01,3,rolling,2015-10-12,2018-10-11,757,3.003968253968254,DGRW,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.08181729527640669,0.08255219274172185,0.08809218582474662,0.937111413104833,0.937111413104833,-0.1107447287787362,3.301634129047422,1.2664769570902408,0.2664769570902408,0.13693553689264526,0.13503740447883994,0.11534298825342182,1.1707465405885553,1.1707465405885553,-0.11796065593016113,3.689122925268476,1.4703769904844217,0.4703769904844217,-0.23363512748372228,-0.05511824161623857,0.007215927151424925,0.0,0.0,1.0
03y_01,3,rolling,2015-10-12,2018-10-11,757,3.003968253968254,EQWL,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.09614703848462969,0.09558213974242655,0.08663140273999491,1.1033197745775318,1.1033197745775318,-0.10128885664323602,2.8156335439739935,1.3175425635514624,0.3175425635514624,0.13358941637374344,0.13260409172560622,0.11977025493101275,1.1071537904130349,1.1071537904130349,-0.14972777052245348,3.506389258812858,1.457415694233379,0.4574156942333789,-0.003834015835503024,-0.037442377889113754,0.04843891387921746,0.0,0.0,1.0
03y_01,3,rolling,2015-10-12,2018-10-11,757,3.003968253968254,SPHQ,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.03192501836189465,0.03506324556680884,0.08503798330324207,0.4123245190537352,0.4123245190537352,-0.13359732277601644,4.776787579222843,1.0990022577216358,0.09900225772163584,0.11496409913669292,0.11525609570280713,0.11308194186117383,1.019226357505449,1.019226357505449,-0.09772261973022203,3.0606457220142222,1.386660658914523,0.38666065891452295,-0.6069018384517137,-0.08303908077479827,-0.035874703045794404,0.0,0.0,0.0
03y_01,3,rolling,2015-10-12,2018-10-11,757,3.003968253968254,QQQ,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.1449418314095512,0.1427389392962536,0.12107368067639133,1.1789427602995706,1.1789427602995706,-0.10522563960469211,2.160839566182119,1.5017012299567651,0.5017012299567651,0.17769866030953496,0.17542527628923232,0.1535034312068429,1.1428101307575997,1.1428101307575997,-0.16104405122959464,4.000547240467891,1.6344981175483462,0.6344981175483462,0.03613262954197083,-0.03275682889998377,0.05581841162490253,1.0,0.0,1.0
03y_01,3,rolling,2015-10-12,2018-10-11,757,3.003968253968254,SCHG,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.11867330435426293,0.11698856490796603,0.09800858692721515,1.193656276208187,1.193656276208187,-0.09722759384707445,1.8824740726698204,1.4005644222077158,0.4005644222077158,0.1388094212502835,0.1383302274112707,0.12876084474069485,1.0743190423288012,1.0743190423288012,-0.16008812907275144,3.6831899777466433,1.4776690130534864,0.4776690130534864,0.11933723387938588,-0.020136116896020573,0.06286053522567699,1.0,0.0,1.0
03y_01,3,rolling,2015-10-12,2018-10-11,757,3.003968253968254,IWY,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.11822290624208898,0.11687044005075727,0.10085879638217743,1.1587530710549827,1.1587530710549827,-0.09956025681705163,2.1670629315831125,1.3988711900716566,0.3988711900716566,0.16541690583392965,0.1613808849075863,0.12834404422200826,1.2574084437329343,1.2574084437329343,-0.12261853150445033,2.9691289451662124,1.5838270504991887,0.5838270504991887,-0.09865537267795155,-0.047193999591840674,0.023058274687398697,0.0,0.0,1.0
03y_01,3,rolling,2015-10-12,2018-10-11,757,3.003968253968254,SPMO,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.1184383143933283,0.11782160754862617,0.1080620079517422,1.0903148088941894,1.0903148088941894,-0.09502027343221049,1.9155538714879627,1.3996808276123682,0.39968082761236823,0.1501896034715513,0.14770174268057182,0.12425846964010152,1.1886653932594753,1.1886653932594753,-0.11031604248837029,2.672702167733329,1.5224725169767255,0.5224725169767255,-0.09835058436528588,-0.031751289078223,0.0152957690561598,0.0,0.0,1.0
03y_02,3,rolling,2017-04-12,2020-04-09,754,2.992063492063492,DGRO,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,-0.008709970847429305,-0.0030980616840459514,0.10596016168563753,-0.029237985623665592,-0.029237985623665592,-0.13907876050230678,5.77974923973983,0.9741646509380676,-0.02583534906193241,0.08161232332884905,0.10070312836603865,0.21051313738163793,0.4783698044624863,0.4783698044624863,-0.35103173417875544,6.010648638579952,1.264574646903283,0.26457464690328303,-0.5076077900861519,-0.09032229417627835,0.21195297367644866,0.0,0.0,1.0
03y_02,3,rolling,2017-04-12,2020-04-09,754,2.992063492063492,DGRW,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,-0.0011814263896491317,0.0048060012028589396,0.10909911214348592,0.044051698574211505,0.044051698574211505,-0.12020226860930235,4.856550646525614,0.9964692552609438,-0.003530744739056235,0.08189520281558749,0.09979217008890365,0.2047534738441352,0.4873771771260331,0.4873771771260331,-0.32035813482535425,6.100552717515617,1.2655644714774104,0.26556447147741036,-0.44332547855182164,-0.08307662920523662,0.20015586621605191,0.0,0.0,1.0
03y_02,3,rolling,2017-04-12,2020-04-09,754,2.992063492063492,EQWL,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,-0.00586681858319793,-0.00018501497711072743,0.10642347757313213,-0.0017384789646963826,-0.0017384789646963826,-0.13267384691924017,4.661945511554628,0.9825484841295924,-0.017451515870407608,0.06182851464235739,0.07968141441408279,0.19760342992685104,0.4032390249682372,0.4032390249682372,-0.3429564784660155,6.124951414402448,1.196620312473304,0.19662031247330392,-0.4049775039329336,-0.06769533322555532,0.21028263154677534,0.0,0.0,1.0
03y_02,3,rolling,2017-04-12,2020-04-09,754,2.992063492063492,SPHQ,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,-0.001961621831097382,0.004132936894394396,0.11006440143391774,0.03755016917868577,0.03755016917868577,-0.14683216218247294,6.865502047440178,0.9941421631484171,-0.0058578368515829204,0.07814003136303471,0.09832172670722832,0.214770544803183,0.4577989351255357,0.4577989351255357,-0.3159408568267438,6.069423565145731,1.2524667013712396,0.2524667013712396,-0.42024876594684996,-0.0801016531941321,0.16910869464427083,0.0,0.0,1.0
03y_02,3,rolling,2017-04-12,2020-04-09,754,2.992063492063492,QQQ,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,-0.002330540672348058,0.012472644549139449,0.17117148053703662,0.07286637067113949,0.07286637067113949,-0.2517514197129503,6.709080620407061,0.9930430485269465,-0.00695695147305353,0.16376110803029142,0.18027214461426974,0.23840079187360377,0.7561725915316889,0.7561725915316889,-0.285593650341169,6.398417506236212,1.5742321916547748,0.5742321916547748,-0.6833062208605494,-0.16609164870263948,0.03384223062821873,0.0,0.0,1.0
03y_02,3,rolling,2017-04-12,2020-04-09,754,2.992063492063492,SCHG,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.03393509765956759,0.043718988676669075,0.14341397940912376,0.30484468011273774,0.30484468011273774,-0.1868284096721064,6.283273627139203,1.1050064372256057,0.10500643722560565,0.13516226325109626,0.15214719643775018,0.22430250621295933,0.678312512002417,0.678312512002417,-0.32392037665242246,6.204610578060218,1.4612915328293448,0.46129153282934476,-0.3734678318896793,-0.10122716559152867,0.13709196698031606,0.0,0.0,1.0
03y_02,3,rolling,2017-04-12,2020-04-09,754,2.992063492063492,IWY,hybridL200_S20_eL3_eS2_xL2_xS1,baseline_buyhold,0.0132240060907578,0.025192938757118765,0.15441593433845094,0.16314986445570148,0.16314986445570148,-0.245923314598185,5.819860911298157,1.0400905036099137,0.04009050360991373,0.15045048335390465,0.16465744192255213,0.22076550526754582,0.7458476890354936,0.7458476890354936,-0.3075693047931991,6.2127408381587905,1.5209702307026476,0.5209702307026476,-0.5826978245797921,-0.13722647726314685,0.0616459901950141,0.0,0.0,1.0
