window,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
2020-07-14_2023-07-14,"set_[100, 200]__x100_1_200_1",0.06645885070436575,0.06872786358137215,0.0935585350844105,0.7345974743978667,0.7345974743978667,-0.15378576046277875,8.281229759872563,1.2129204226692518,0.21292042266925182
2020-07-14_2023-07-14,"set_[100, 200]__x100_2_200_1",0.07471128367575375,0.07657022918643902,0.09496687189315574,0.8062835772098065,0.8062835772098065,-0.15980854239929104,8.518277284216081,1.2412962003960106,0.24129620039601063
2020-07-14_2023-07-14,"set_[100, 200]__x100_1_200_2",0.06356765850838442,0.06604918390499674,0.09394862498474366,0.7030351313361158,0.7030351313361158,-0.16064943260751108,8.694508094139922,1.203082384345287,0.20308238434528691
2020-07-14_2023-07-14,"set_[100, 200]__x100_2_200_2",0.07179771896179932,0.0738915495100636,0.0953520757565015,0.7749338325760085,0.7749338325760085,-0.1666233635572629,8.930613773024383,1.2312280051849729,0.23122800518497288
2020-07-14_2023-07-14,"set_[100, 150, 200]__x100_1_150_1_200_1",0.07176249669287826,0.07377622687893068,0.09448143983474719,0.7808541763119724,0.7808541763119724,-0.15234538762620956,8.072046908151195,1.231106624392681,0.23110662439268093
2020-07-14_2023-07-14,"set_[100, 150, 200]__x100_2_150_1_200_1",0.07728764967464707,0.07900447061564193,0.09538255218509949,0.8282905919976409,0.8282905919976409,-0.15634786639250595,8.234562434909934,1.2502447599626774,0.25024475996267737
2020-07-14_2023-07-14,"set_[100, 150, 200]__x100_1_150_2_200_1",0.06522424219122613,0.06769410365657723,0.09488801364070153,0.7134104831502168,0.7134104831502168,-0.167764215335254,8.633435297540542,1.2087128089684767,0.20871280896847666
2020-07-14_2023-07-14,"set_[100, 150, 200]__x100_1_150_1_200_2",0.06983258127862979,0.07199044042801374,0.09466122575241716,0.7605061085549644,0.7605061085549644,-0.15691624465429252,8.345174953508314,1.2244680568861979,0.22446805688619786
2020-07-14_2023-07-14,"set_[100, 150, 200]__x100_2_150_2_200_1",0.07069969600194681,0.07292234739328847,0.09594057016107335,0.7600783200564695,0.7600783200564695,-0.17173100541165515,8.801170083013176,1.2274478177345696,0.22744781773456957
2020-07-14_2023-07-14,"set_[100, 150, 200]__x100_2_150_1_200_2",0.07534778515512719,0.077218684164725,0.09556103100433017,0.8080562061037828,0.8080562061037828,-0.16089714062267577,8.507162905540435,1.243502992780056,0.24350299278005605
2020-07-14_2023-07-14,"set_[100, 150, 200]__x100_1_150_2_200_2",0.06330610016724258,0.06590831720566027,0.09506657669671364,0.6932859002162709,0.6932859002162709,-0.1722519285262483,8.906046614057722,1.2021949969290466,0.20219499692904663
2020-07-14_2023-07-14,"set_[100, 150, 200]__x100_2_150_2_200_2",0.06877169436565045,0.07113656094237153,0.09611756380885965,0.7400995002727537,0.7400995002727537,-0.17619732825092485,9.0729421970625,1.2208289798229999,0.22082897982299987
2020-07-14_2023-07-14,"set_[100, 200, 250]__x100_1_200_1_250_1",0.04497893880955717,0.047703703763644315,0.08605546457205837,0.5543367176142512,0.5543367176142512,-0.17139343540874344,10.134730177333758,1.1410971283511144,0.14109712835111443
2020-07-14_2023-07-14,"set_[100, 200, 250]__x100_2_200_1_250_1",0.05036601711978461,0.05293194750035557,0.08705007212488056,0.6080632239387499,0.6080632239387499,-0.17530597258128705,10.28713573908637,1.1588360236735982,0.15883602367359817
2020-07-14_2023-07-14,"set_[100, 200, 250]__x100_1_200_2_250_1",0.04306595523789758,0.045917917312727374,0.0865940051469357,0.5302666995805572,0.5302666995805572,-0.17593575875668555,10.408940989298365,1.1348417686305041,0.13484176863050412
2020-07-14_2023-07-14,"set_[100, 200, 250]__x100_1_200_1_250_2",0.04574276261586108,0.04843498950483671,0.08606090284111348,0.5627989935715396,0.5627989935715396,-0.16957510549142132,10.020105788496757,1.1436012010144478,0.14360120101444784
2020-07-14_2023-07-14,"set_[100, 200, 250]__x100_2_200_2_250_1",0.04844317172993495,0.0511461610494386,0.08758292070481453,0.5839741428790585,0.5839741428790585,-0.17982684786242856,10.560877063785181,1.1524834214233801,0.15248342142338012
2020-07-14_2023-07-14,"set_[100, 200, 250]__x100_2_200_1_250_2",0.051133778592683754,0.05366323324154794,0.08705527375123223,0.6164271379456591,0.6164271379456591,-0.17349622850397187,10.172485828403687,1.161379023332498,0.1613790233324981
2020-07-14_2023-07-14,"set_[100, 200, 250]__x100_1_200_2_250_2",0.04382838075535633,0.046649203053919765,0.08659946951728881,0.5386776999206292,0.5386776999206292,-0.17412739670926738,10.294782511309117,1.1373321142631687,0.13733211426316871
2020-07-14_2023-07-14,"set_[100, 200, 250]__x100_2_200_2_250_2",0.049209527705526446,0.051877446790631,0.08758814993088067,0.5922884183713161,0.5922884183713161,-0.17802702458845723,10.446709770374255,1.1550124806584174,0.15501248065841744
2020-07-14_2023-07-14,sma100_3in_1out,0.08738618200964798,0.09074446724215701,0.11792692756266547,0.7694974262255421,0.7694974262255421,-0.1406333013177892,6.150194896158391,1.2857348914647393,0.2857348914647393
2020-07-14_2023-07-14,sma100_3in_2out,0.10424990551061519,0.10642919845229075,0.12035940853518483,0.8842615608332619,0.8842615608332619,-0.15304308684567067,6.649144185892081,1.3464868373636407,0.3464868373636407
2020-07-14_2023-07-14,sma100_3in_3out,0.09227475617687397,0.09563152020171346,0.1212629201096318,0.7886295341993629,0.7886295341993629,-0.1826385574081587,8.403260872455268,1.3031538458782155,0.3031538458782155
2020-07-14_2023-07-14,sma150_3in_1out,0.08169601205817556,0.08387295347404777,0.10326061798237467,0.8122453178458013,0.8122453178458013,-0.15020398469128574,7.746265070363872,1.2656560099928347,0.2656560099928347
2020-07-14_2023-07-14,sma150_3in_2out,0.061971930329771885,0.06562658380698738,0.1047991625326373,0.6262128648838152,0.6262128648838152,-0.19584805268817643,9.44541618361605,1.1976753558828013,0.19767535588280127
2020-07-14_2023-07-14,sma150_3in_3out,0.05680751958598407,0.06078420055644666,0.10511857515919595,0.5782441444282568,0.5782441444282568,-0.20752295910702395,10.1986998061388,1.180287164824091,0.1802871648240909
2020-07-14_2023-07-14,sma200_3in_1out,0.04375011675585694,0.0467112599205873,0.08811577466027995,0.5301123448176799,0.5301123448176799,-0.17778071138876558,10.651391027040129,1.1370763093208347,0.1370763093208347
2020-07-14_2023-07-14,sma200_3in_2out,0.03802800023855335,0.041353900567836464,0.08968393219934195,0.46110712982475466,0.46110712982475466,-0.191229587151663,11.46790934153868,1.1184773805085233,0.1184773805085233
2020-07-14_2023-07-14,sma200_3in_3out,0.025214655682818332,0.029199725491300527,0.09261004003160082,0.3152976230367341,0.3152976230367341,-0.22081162011376548,12.663318625362793,1.0775673345771397,0.07756733457713971
2020-07-14_2023-07-14,sma250_3in_1out,0.0016433430259623627,0.00565538412818863,0.08947722311402619,0.06320473447171729,0.06320473447171729,-0.2174321149539606,13.873131485926224,1.0049381352447635,0.004938135244763497
2020-07-14_2023-07-14,sma250_3in_2out,0.0038377546397183604,0.00784924135176579,0.08953766850635787,0.08766412486168804,0.08766412486168804,-0.21227746272326362,13.547856909922565,1.011557505525014,0.01155750552501389
2020-07-14_2023-07-14,sma250_3in_3out,-0.012164679132413148,-0.007942401349821233,0.09257322530048127,-0.08579588022391117,-0.08579588022391117,-0.24935197498179218,16.03311441747566,0.9639481007358013,-0.03605189926419872
2020-07-14_2023-07-14,baseline_buyhold,0.10540871313588296,0.12537275096785924,0.22421014019195643,0.5591752043887132,0.5591752043887132,-0.32716501843375545,16.644091964756807,1.350730325697406,0.3507303256974059
