variant,year,cal_year_return,ann_return,ann_vol,sharpe,max_dd,ulcer_index,exposure,entries,exits
baseline_sma200,2001,0.11202163983815838,0.11314138851881515,0.10271598815512792,0.8094298659060748,-0.056649051093065346,0.8481626149056096,0.10080645161290322,25,24
baseline_sma200,2002,0.03018947507237746,0.06198619084730809,0.25565316062148535,0.12511556974124866,-0.14111213611606535,6.556666762223827,0.5,126,125
baseline_sma200,2003,0.2724440988095229,0.2527954882424593,0.15349040344241438,1.451527152484464,-0.15970731853942333,7.054591703529141,0.5,126,125
baseline_sma200,2004,0.020197263119435593,0.025722183354908362,0.10718271374958348,-0.039911441830873244,-0.06463172944023163,3.0734437493896714,0.5,126,125
baseline_sma200,2005,0.2253053033427883,0.20682713527781788,0.08453404457918433,2.091786050910899,-0.03734067398017805,1.062391793856638,0.5,126,125
baseline_sma200,2006,0.0768646291037931,0.07956656047105062,0.10234176362375096,0.48432388416987826,-0.07096451148128656,2.6600042035665363,0.49800796812749004,125,125
baseline_sma200,2007,0.11055319242009887,0.11221873081654636,0.11795973415409898,0.6970067490075753,-0.09220923221701902,2.4853225979633216,0.50199203187251,126,125
baseline_sma200,2008,-0.3451886786363465,-0.3765787667244864,0.29961505832675356,-1.3570037801006674,-0.4335471113223974,18.300027993062347,0.4980237154150198,126,126
baseline_sma200,2009,0.16834444125411863,0.17083133330955574,0.17499231974142032,0.8047857958432518,-0.17924388211096717,5.060783245355548,0.5,126,126
baseline_sma200,2010,0.1497041565530044,0.14730640706414314,0.12476469358061873,0.9402211771421032,-0.06261566151141408,2.5486831717851754,0.5,126,126
baseline_sma200,2011,-0.06011808383481976,-0.0455595028781214,0.1806866199592395,-0.4181798458301264,-0.23427196058610594,11.317521034482079,0.5,126,126
baseline_sma200,2012,0.007534494015924098,0.013606711631878841,0.11017322779862447,-0.1487955712624209,-0.10135611043041828,4.779352457791731,0.5,125,125
baseline_sma200,2013,0.10765334022294071,0.10578142625221404,0.08404268878366719,0.901701591762273,-0.06980822360836156,1.8851869357872877,0.5,126,126
baseline_sma200,2014,0.07144705293721954,0.07314851588145826,0.09095830488203702,0.4743768690216598,-0.09280310986145622,2.9991262623587045,0.5,126,126
baseline_sma200,2015,-0.012240568790332529,-0.006057432072109275,0.11194058139749177,-0.32211224581791575,-0.11573283215413765,5.404722517496243,0.5,126,126
baseline_sma200,2016,0.11869052613838904,0.11736876433432125,0.10193433914249533,0.8571082627237847,-0.04771429530788365,1.63559765268656,0.5,126,126
baseline_sma200,2017,0.1789900249018317,0.16679434444301228,0.05353803212026739,2.5550872720857316,-0.02579858626992564,0.6534823364338681,0.50199203187251,126,125
baseline_sma200,2018,0.06799935735539697,0.07980442648135855,0.16600066553766868,0.3000254626693469,-0.13083614409598088,3.392960223590976,0.49800796812749004,125,125
baseline_sma200,2019,0.28551808527426314,0.2572456324139855,0.10933463708200213,2.078441365690444,-0.07211498109062292,2.29205368889,0.5,126,126
baseline_sma200,2020,0.1208480456890797,0.14994527287792989,0.2673360490089449,0.4486685328169737,-0.2588471342223206,8.527484488302942,0.5019762845849802,127,126
baseline_sma200,2021,-0.0034632251595286823,0.0032464497963751483,0.11597866609429769,-0.23067647787803142,-0.13001307142760546,5.950704459507438,0.5,126,125
baseline_sma200,2022,-0.10979418047038814,-0.09541827346822584,0.20668507532826677,-0.6068085625874571,-0.21330172334516806,10.717500789916565,0.49800796812749004,125,125
baseline_sma200,2023,0.25347046085867597,0.23426745847812364,0.11389052552811614,1.7935421540196175,-0.07402003278620875,2.242532275655684,0.5,125,125
baseline_sma200,2024,0.14038502413645482,0.1380570772331601,0.11548196230523496,0.9357052398152897,-0.08941023812225873,2.5691938659002127,0.5,126,126
baseline_sma200,2025,0.2962801253302296,0.3678111169314839,0.19258485408198828,1.7540897415934333,-0.11246550902027025,2.896134173670215,0.5026737967914439,94,93
