strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,exposure_ADX,exposure_IEF,exposure_KYN,exposure_NMZ,exposure_RQI,lookbacks,defensive_asset,exposure_TLT,exposure_SHY,exposure_BIL,exposure_SGOV,exposure_Cash
sens_cefs_3m_IEF,2006-05-31,2026-05-31,241,0.11174979826996267,0.10019216090953684,0.9846582737289094,1.520070899415581,-0.20261677336439443,0.5515328095220784,0.38702127412455334,-0.14927884956858628,0.6473029045643154,7.394118733583706,223,0.1690871369294606,0.37344398340248963,0.14937759336099585,0.1607883817427386,0.14730290456431536,3,IEF,,,,,
sens_cefs_3m_TLT,2006-05-31,2026-05-31,241,0.1157477850966726,0.12871265108560034,0.8195395124438372,1.2998436399920612,-0.3213865159397038,0.3601513422498048,0.3309878756920299,-0.2627581133623468,0.6390041493775933,8.021619450749002,223,0.1690871369294606,,0.14937759336099585,0.1607883817427386,0.14730290456431536,3,TLT,0.37344398340248963,,,,
sens_cefs_3m_SHY,2006-05-31,2026-05-31,241,0.09815506967426346,0.09245752401406622,0.9248308988804287,1.2994072795849045,-0.13645685822293696,0.7193121031256795,0.44285261360506945,-0.09119548043884962,0.6639004149377593,5.556348892406621,223,0.1690871369294606,,0.14937759336099585,0.1607883817427386,0.14730290456431536,3,SHY,,0.37344398340248963,,,
sens_cefs_3m_BIL,2006-05-31,2026-05-31,241,0.09306066580305217,0.09259036743660623,0.87303291672978,1.199915588570936,-0.10506007289087338,0.885785277340469,0.4509803304449922,-0.06902058355130425,0.6514522821576764,4.971805881959113,223,0.1690871369294606,,0.14937759336099585,0.1607883817427386,0.14730290456431536,3,BIL,,,0.37344398340248963,,
sens_cefs_3m_SGOV,2006-05-31,2026-05-31,241,0.0905805753263611,0.092833082171219,0.8463432308759226,1.1870443413586353,-0.10794375133405065,0.8391460756819893,0.44769399094170503,-0.07077743116638557,0.6016597510373444,4.705494719839822,223,0.1690871369294606,,0.14937759336099585,0.1607883817427386,0.14730290456431536,3,SGOV,,,,0.37344398340248963,
sens_cefs_3m_Cash,2006-05-31,2026-05-31,241,0.0870417781572852,0.0929389110115387,0.8102616591829748,1.1561188373054818,-0.11196882403030683,0.7773751212545147,0.44769399094170503,-0.07086606138897122,0.5643153526970954,4.344969503441295,223,0.1690871369294606,,0.14937759336099585,0.1607883817427386,0.14730290456431536,3,Cash,,,,,0.37344398340248963
sens_cefs_6m_IEF,2006-08-31,2026-05-31,238,0.09756349917910279,0.10342037254825855,0.8303190405158715,1.3235213085030206,-0.17961696305313657,0.5431753077254753,0.2945544575905452,-0.15257528539808418,0.634453781512605,5.336578744488942,143,0.17647058823529413,0.3403361344537815,0.16491596638655462,0.15546218487394958,0.16281512605042017,6,IEF,,,,,
sens_cefs_6m_TLT,2006-08-31,2026-05-31,238,0.09417822586008184,0.127164505803608,0.6720765444472973,1.0620339614883685,-0.3187564644737898,0.2954551087004724,0.2852583707998504,-0.27012178793975017,0.6176470588235294,4.960005813882245,143,0.17647058823529413,,0.16491596638655462,0.15546218487394958,0.16281512605042017,6,TLT,0.3403361344537815,,,,
sens_cefs_6m_SHY,2006-08-31,2026-05-31,238,0.09162958319873993,0.09572782681074947,0.8320629141462402,1.2102781951285877,-0.13405605704420887,0.6835169198548218,0.331047948179672,-0.11716693597302463,0.634453781512605,4.690626058955284,143,0.17647058823529413,,0.16491596638655462,0.15546218487394958,0.16281512605042017,6,SHY,,0.3403361344537815,,,
sens_cefs_6m_BIL,2006-08-31,2026-05-31,238,0.089347610977081,0.09559800713042405,0.811028011680016,1.1599005270132332,-0.15340399580331698,0.5824334008328945,0.33707229378857795,-0.13470974530829782,0.6260504201680672,4.459279025800543,143,0.17647058823529413,,0.16491596638655462,0.15546218487394958,0.16281512605042017,6,BIL,,,0.3403361344537815,,
sens_cefs_6m_SGOV,2006-08-31,2026-05-31,238,0.08710726883951381,0.0959107800682832,0.787083813525148,1.1293483999029112,-0.17462245918053187,0.4988319901591738,0.3336350477921497,-0.1443536564149983,0.5966386554621849,4.240860410487417,143,0.17647058823529413,,0.16491596638655462,0.15546218487394958,0.16281512605042017,6,SGOV,,,,0.3403361344537815,
sens_cefs_6m_Cash,2006-08-31,2026-05-31,238,0.08345970081299758,0.09601749798448392,0.7510674362034798,1.0941437272984154,-0.17462245918053187,0.4779436803527862,0.3336350477921497,-0.1443536564149983,0.5672268907563025,3.902900967938341,143,0.17647058823529413,,0.16491596638655462,0.15546218487394958,0.16281512605042017,6,Cash,,,,,0.3403361344537815
sens_cefs_7m_IEF,2006-09-30,2026-05-31,237,0.10081704528861368,0.10462307406628799,0.8494088224782191,1.4550113150704373,-0.21149217174590407,0.47669398094667864,0.2969926693470324,-0.15244684832839905,0.6413502109704642,5.666135338721998,127,0.18143459915611815,0.339662447257384,0.16244725738396623,0.1540084388185654,0.16244725738396623,7,IEF,,,,,
