strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,regime,defensive_exposure
A_original_cefs_ief,2006-09-30,2012-12-31,76,0.15129515761697565,0.10968528257511564,1.3464307291509123,2.1544047740592784,-0.09595130155351395,1.5767910926418787,0.33041093567677615,0.0031535945185323655,0.6710526315789473,1.4407068914164158,0,2006_to_2012,0.3256578947368421
A_original_cefs_ief,2013-01-31,2019-12-31,84,0.07183117761462254,0.07472021279720371,0.9685561329109494,1.3010127955342572,-0.11672419866341188,0.6153923388393207,0.18822712230659921,-0.10887265847625238,0.6904761904761905,0.62511724955043,0,2013_to_2019,0.2916666666666667
A_original_cefs_ief,2020-01-31,2021-12-31,24,0.2551861599706817,0.14634139624473907,1.6369932291705334,4.088289617651209,-0.051562681499999985,4.949047499996325,0.2969926693470324,0.21472721736748412,0.7083333333333334,0.575492296181946,0,2020_to_2021,0.2604166666666667
A_original_cefs_ief,2022-01-31,2026-05-31,53,0.06030549315921041,0.1118220037106251,0.5807497525865629,1.0929550210633956,-0.13502747838932605,0.4466164508036727,0.27677890949735073,-0.11352605409074978,0.5849056603773585,0.29515068698583957,0,2022_to_latest,0.4009433962264151
B_original_cefs_bil,2006-09-30,2012-12-31,76,0.12193323278804113,0.10251926231640598,1.1786329741595785,1.6318720393933717,-0.12427463715462927,0.9811594351011877,0.4154545824864406,-0.05469626813624462,0.6578947368421053,1.0723244239415388,0,2006_to_2012,0.3256578947368421
B_original_cefs_bil,2013-01-31,2019-12-31,84,0.06652582597820644,0.07434197551304558,0.9060249122790331,1.1484485612959043,-0.12421892523306555,0.5355530637009415,0.17588865455382297,-0.12421892523306566,0.6666666666666666,0.5696384715109188,0,2013_to_2019,0.2916666666666667
B_original_cefs_bil,2020-01-31,2021-12-31,24,0.22597535149397752,0.15151546157029372,1.4278899632274704,3.7604022596277877,-0.05496598170113254,4.111185582433097,0.2986277880646193,0.15738749492706217,0.5833333333333334,0.5030155624707817,0,2020_to_2021,0.2604166666666667
B_original_cefs_bil,2022-01-31,2026-05-31,53,0.07482989186507893,0.09560854045365774,0.8045947081782627,1.366936741170196,-0.08368583549688435,0.8941763133602804,0.27677890949735073,-0.04817235321265512,0.6226415094339622,0.37536246339305124,0,2022_to_latest,0.4009433962264151
B2_original_cefs_sgov,2006-09-30,2012-12-31,76,0.11705094690992524,0.10315589136556427,1.1293155463409454,1.5385068107042406,-0.14455913771403062,0.80970977525805,0.4120435739880395,-0.06683213497993223,0.5526315789473685,1.0158685681058794,0,2006_to_2012,0.3256578947368421
B2_original_cefs_sgov,2013-01-31,2019-12-31,84,0.06446210684116038,0.07450474940470983,0.8780819657404296,1.109043521370376,-0.13021861953761538,0.4950298741459139,0.1695758672181389,-0.13021861953761527,0.6428571428571429,0.5485008247185328,0,2013_to_2019,0.2916666666666667
