,CAGR,AnnReturn,AnnVol,Sharpe,MaxDD,UlcerIndex,TotalReturn
BuyAndHold,0.24544410088188862,0.24266444903636103,0.21433139289052655,0.9922225865670693,-0.2855936722656606,5.289644869967406,3.7287835050096803
SMA50,0.1592773824092346,0.15608087859150666,0.12812696748936506,0.9840307708989661,-0.17759495107487885,5.426330347528395,2.4258808446701647
SMA100,0.10562018949547736,0.11121382540472803,0.1464642903961536,0.554495742170754,-0.17174919793664478,6.5107158517369035,1.825840030247237
SMA150,0.15147066900358497,0.1533355068045521,0.15623114749927397,0.7894424945264213,-0.18318003997751744,6.6121577020301165,2.3295616698985757
SMA200,0.1960806691209238,0.1929957481738771,0.1662678276474256,0.9803204292745857,-0.18318003997751728,6.809282802274659,2.9258648079738108
SMA220,0.2047756245785799,0.20027255556355059,0.16643716229274463,1.0230440919442012,-0.1831800399775173,6.47625449748354,3.0557370272305358
SMA221,0.19859383648056794,0.19520620215812118,0.166919399129245,0.9897363818701667,-0.1831800399775176,7.3269212302453255,2.9629208489119123
SMA225,0.19859383648056794,0.19520620215812118,0.166919399129245,0.9897363818701667,-0.1831800399775176,7.3269212302453255,2.9629208489119123
SMA230,0.20358495584279934,0.19946854418151652,0.16755229077343578,1.011436748487503,-0.18318003997751742,6.077765194668268,3.037673914391217
SMA240,0.20681648995783886,0.20221658581906188,0.16793873306349238,1.0254726987487286,-0.1831800399775175,6.028651986750661,3.0869062590477827
SMA250,0.20629299934812773,0.2017832258607507,0.16794385023205424,1.022861067097077,-0.1831800399775175,6.093231487211233,3.07888607292375
SMA252,0.20629299934812773,0.2017832258607507,0.16794385023205424,1.022861067097077,-0.1831800399775175,6.093231487211233,3.07888607292375
SMA300,0.13885553239739523,0.14357841940034444,0.1641119659644099,0.6920788422276022,-0.18626350543191436,8.444022324345436,2.1806588753584997
M10,0.12122840432983195,0.12755015355441252,0.16156062253703046,0.6037990694920328,-0.19662781185111064,7.2867825894055205,1.985945605267413
