ticker,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn,sharpe_wins,cagr_wins,sharpe_win_share,cagr_win_share
IWF,sma200_3in_3out,0.08333505740564842,0.08620054924188125,0.11538326483003417,0.7215275518706088,0.7215275518706088,-0.1632211058275651,6.022284185403845,1.5143235315648003,0.5143235315648002,57.0,31.0,0.5876288659793815,0.31958762886597936
IWF,sma250_3in_1out,0.06414927567332165,0.06811633628722517,0.11084375870487166,0.593210787903383,0.593210787903383,-0.17340627011723597,7.139292877319166,1.3766293670346814,0.3766293670346814,40.0,28.0,0.41237113402061853,0.28865979381443296
IWF,sma250_3in_2out,0.06677970083160199,0.07107674523673807,0.11460294454854594,0.601433951443564,0.601433951443564,-0.18319874685573756,6.9013424825446785,1.3942002214848812,0.3942002214848813,39.0,27.0,0.4020618556701031,0.27835051546391754
IWF,sma250_3in_3out,0.06827096123457013,0.07257293239380634,0.11759288651893883,0.5931349075866339,0.5931349075866339,-0.1886466738206589,7.336929237938137,1.4118947166523481,0.411894716652348,33.0,19.0,0.3402061855670103,0.1958762886597938
QQQ,200SMA_3in_2out_hybrid20SMA,0.10618512870803982,0.11089323497262527,0.1459787749122782,0.7547826642821828,0.7547826642821828,-0.20208963861695814,7.189357738544861,1.6860307704130952,0.6860307704130952,50.0,30.0,0.5154639175257731,0.30927835051546393
QQQ,"set_[100, 150, 200]__x100_1_150_1_200_1",0.08383229375081142,0.08790546891080307,0.1260377021530157,0.6846816987571955,0.6846816987571955,-0.1688784818075838,7.492932381016785,1.5153389528404724,0.5153389528404725,42.0,23.0,0.4329896907216495,0.23711340206185566
QQQ,"set_[100, 150, 200]__x100_1_150_1_200_2",0.08274418090185907,0.08704159159526903,0.12688252793227708,0.6733889763289561,0.6733889763289561,-0.17842863794945693,7.5346089864509045,1.5069268588157723,0.5069268588157724,39.0,20.0,0.4020618556701031,0.20618556701030927
QQQ,"set_[100, 150, 200]__x100_1_150_2_200_1",0.08731404141694768,0.09128344420653711,0.12719985861381797,0.705098536964602,0.705098536964602,-0.17034422592885348,7.141976545821364,1.5392766493606935,0.5392766493606937,45.0,23.0,0.4639175257731959,0.23711340206185566
QQQ,"set_[100, 150, 200]__x100_1_150_2_200_2",0.08614938359381547,0.09041956689100307,0.1284857411635544,0.6911474768794525,0.6911474768794525,-0.18068778438505032,7.245581656851165,1.5302530039065076,0.5302530039065075,43.0,20.0,0.44329896907216493,0.20618556701030927
QQQ,"set_[100, 150, 200]__x100_2_150_1_200_1",0.08850820321503047,0.09247188179262433,0.1283928734522256,0.7071037582038773,0.7071037582038773,-0.17074376401158772,7.512577597551067,1.5494965774970064,0.5494965774970065,42.0,22.0,0.4329896907216495,0.2268041237113402
QQQ,"set_[100, 150, 200]__x100_2_150_1_200_2",0.08739678070753508,0.09160800447709028,0.12935033187936051,0.695295709720305,0.695295709720305,-0.18053289569324638,7.54949429257334,1.5407393864443963,0.5407393864443965,42.0,20.0,0.4329896907216495,0.20618556701030927
QQQ,"set_[100, 150, 200]__x100_2_150_2_200_1",0.09197617508836536,0.09584985708835837,0.12976298085933582,0.7257644333105872,0.7257644333105872,-0.17227993437664033,7.165238821003397,1.573819525587499,0.573819525587499,46.0,22.0,0.4742268041237113,0.2268041237113402
QQQ,"set_[100, 150, 200]__x100_2_150_2_200_2",0.0907876542440599,0.09498597977282432,0.1311512713078543,0.7113448971184702,0.7113448971184702,-0.18305194406218844,7.260370797351403,1.5644259869471864,0.5644259869471863,44.0,20.0,0.4536082474226804,0.20618556701030927
QQQ,"set_[100, 200, 250]__x100_1_200_1_250_1",0.0850433551351868,0.0889008093464562,0.12436656750164961,0.7012112776680733,0.7012112776680733,-0.16307159272207764,7.20370822610348,1.521253413805359,0.521253413805359,45.0,23.0,0.4639175257731959,0.23711340206185566
QQQ,"set_[100, 200, 250]__x100_1_200_1_250_2",0.0827526802750608,0.08694043692502856,0.12499738276807115,0.6827236854897732,0.6827236854897732,-0.17168337285553745,7.328448921738678,1.50319311484505,0.5031931148450499,41.0,22.0,0.422680412371134,0.2268041237113402
QQQ,"set_[100, 200, 250]__x100_1_200_2_250_1",0.08391973056055155,0.08803693203092212,0.12548019267881982,0.6882717697885653,0.6882717697885653,-0.17278147801257082,7.247219811995634,1.5125834221372187,0.5125834221372189,44.0,22.0,0.4536082474226804,0.2268041237113402
QQQ,"set_[100, 200, 250]__x100_1_200_2_250_2",0.08153239673074736,0.0860765596094945,0.12675841189857565,0.666434818028257,0.666434818028257,-0.18252536262871252,7.418296810509731,1.4940042968116432,0.4940042968116432,40.0,23.0,0.41237113402061853,0.23711340206185566
QQQ,"set_[100, 200, 250]__x100_2_200_1_250_1",0.08970889303845343,0.09346722222827744,0.1268876732028021,0.7226663676327366,0.7226663676327366,-0.16741496805908848,7.2620824369636,1.5554923744329843,0.5554923744329843,46.0,24.0,0.4742268041237113,0.24742268041237114
QQQ,"set_[100, 200, 250]__x100_2_200_1_250_2",0.08739712486319036,0.09150684980684981,0.12756347702325177,0.7042216975136146,0.7042216975136146,-0.17626777124795578,7.39421241577052,1.5368377588238553,0.5368377588238553,45.0,25.0,0.4639175257731959,0.25773195876288657
QQQ,"set_[100, 200, 250]__x100_2_200_2_250_1",0.0885617579688092,0.09260334491274338,0.1281074063130835,0.7092715378250638,0.7092715378250638,-0.17781770375687495,7.318649442491826,1.5464710213947688,0.5464710213947689,46.0,21.0,0.4742268041237113,0.21649484536082475
QQQ,"set_[100, 200, 250]__x100_2_200_2_250_2",0.0861526372261196,0.09064297249131575,0.12941661763296966,0.6875321524497064,0.6875321524497064,-0.1872902816334643,7.4954698330347584,1.527279943091816,0.527279943091816,41.0,22.0,0.422680412371134,0.2268041237113402
QQQ,"set_[100, 200]__x100_1_200_1",0.0800123589930352,0.08422754086907228,0.12441441477763773,0.6638016025959002,0.6638016025959002,-0.1659615901376256,7.45751461823569,1.4868737056346975,0.48687370563469756,42.0,22.0,0.4329896907216495,0.2268041237113402
QQQ,"set_[100, 200]__x100_1_200_2",0.0783460445818603,0.0829317248957712,0.12600496310626558,0.645055655655782,0.645055655655782,-0.18064524896743717,7.584275505153685,1.4743367127857736,0.4743367127857735,41.0,19.0,0.422680412371134,0.1958762886597938
