window,ticker,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
2014-07-09_2019-07-08,SCHG,"set_[100, 200]__x100_1_200_1",0.049996216407892646,0.05289068702386568,0.09033013579352248,0.5855264863629093,0.5855264863629093,-0.14100106198535356,6.261827568140577,1.2757645025800186,0.2757645025800186
2014-07-09_2019-07-08,SCHG,"set_[100, 200]__x100_2_200_1",0.05297717220921028,0.05600422380792273,0.09336293955641478,0.5998549753682728,0.5998549753682728,-0.1449700109162709,6.2255946819623755,1.2939480851964384,0.29394808519643845
2014-07-09_2019-07-08,SCHG,"set_[100, 200]__x100_1_200_2",0.04753857071277712,0.05075161386784103,0.09256789033718574,0.5482636979515719,0.5482636979515719,-0.16818107042578645,7.227656674480046,1.2609272617371081,0.2609272617371081
2014-07-09_2019-07-08,SCHG,"set_[100, 200]__x100_2_200_2",0.05041994666363725,0.053865150651898085,0.09642048063237892,0.558648435463302,0.558648435463302,-0.17238872226846902,7.194670954909845,1.2783366874683098,0.27833668746830975
2014-07-09_2019-07-08,SCHG,"set_[100, 150, 200]__x100_1_150_1_200_1",0.05515804462212559,0.05784763855429623,0.09090319243106941,0.6363653135522305,0.6363653135522305,-0.14590169319254978,6.273045172992836,1.3073820330828942,0.30738203308289425
2014-07-09_2019-07-08,SCHG,"set_[100, 150, 200]__x100_2_150_1_200_1",0.057160915970729365,0.05992332974366759,0.09285875653384469,0.6453169521156257,0.6453169521156257,-0.1484837139414486,6.230967298163324,1.3198175433100472,0.3198175433100472
2014-07-09_2019-07-08,SCHG,"set_[100, 150, 200]__x100_1_150_2_200_1",0.05424566275555587,0.05706480944748569,0.09180606511971126,0.6215799508787963,0.6215799508787963,-0.15144283281619417,6.594946572476864,1.3017483530770826,0.3017483530770826
2014-07-09_2019-07-08,SCHG,"set_[100, 150, 200]__x100_1_150_1_200_2",0.053533521169314646,0.056421589783613134,0.09216278367211761,0.6121949396010116,0.6121949396010116,-0.16393779121412383,6.948842813424743,1.297364599885861,0.29736459988586095
2014-07-09_2019-07-08,SCHG,"set_[100, 150, 200]__x100_2_150_2_200_1",0.056198636445414785,0.05914050063685705,0.0942185048021022,0.6276951726317092,0.6276951726317092,-0.15417474209234708,6.576336997986536,1.3138311522991306,0.3138311522991306
2014-07-09_2019-07-08,SCHG,"set_[100, 150, 200]__x100_2_150_1_200_2",0.055492393323476996,0.058497280972984504,0.09449514481381856,0.6190506516312585,0.6190506516312585,-0.16662656946840101,6.909387527236629,1.309451409155498,0.30945140915549807
2014-07-09_2019-07-08,SCHG,"set_[100, 150, 200]__x100_1_150_2_200_2",0.05256642698803904,0.05563876067680259,0.0936175969297987,0.5943194709272936,0.5943194709272936,-0.169582956280032,7.29461161729375,1.2914303365631141,0.2914303365631141
2014-07-09_2019-07-08,SCHG,"set_[100, 150, 200]__x100_2_150_2_200_2",0.05447453573772765,0.05771445186617397,0.09637957738872134,0.5988244961211866,0.5988244961211866,-0.17242006573673568,7.277996224010922,1.3031597463270677,0.30315974632706766
2014-07-09_2019-07-08,SCHG,"set_[100, 200, 250]__x100_1_200_1_250_1",0.05345803757191492,0.05611021337768557,0.08952652421050324,0.6267440166196325,0.6267440166196325,-0.14212428799682997,6.320008373811273,1.2969006359053254,0.29690063590532545
2014-07-09_2019-07-08,SCHG,"set_[100, 200, 250]__x100_2_200_1_250_1",0.055421717816675375,0.05818590456705694,0.09187502718579849,0.6333157806787674,0.6333157806787674,-0.1464332849370017,6.392867234126222,1.3090137608349774,0.30901376083497745
2014-07-09_2019-07-08,SCHG,"set_[100, 200, 250]__x100_1_200_2_250_1",0.05175573731336147,0.05468416460700248,0.09163228989061785,0.596778326420516,0.596778326420516,-0.1603809885937986,6.952535123893933,1.2864725417367204,0.28647254173672043
2014-07-09_2019-07-08,SCHG,"set_[100, 200, 250]__x100_1_200_1_250_2",0.05087559326149571,0.05371794770135642,0.09022116654611567,0.5954029387760023,0.5954029387760023,-0.1607669868456206,7.036165301843542,1.2811072410282827,0.28110724102828266
2014-07-09_2019-07-08,SCHG,"set_[100, 200, 250]__x100_2_200_2_250_1",0.053674691566145016,0.05675985579637385,0.09433182952808028,0.6017041764198778,0.6017041764198778,-0.16476272866772734,7.030495238143071,1.2982326675488698,0.2982326675488698
2014-07-09_2019-07-08,SCHG,"set_[100, 200, 250]__x100_2_200_1_250_2",0.052818833344705274,0.055793638890727804,0.09271126293488925,0.6018000092384833,0.6018000092384833,-0.16504421134536276,7.112988260132572,1.2929770495571213,0.29297704955712134
2014-07-09_2019-07-08,SCHG,"set_[100, 200, 250]__x100_1_200_2_250_2",0.04914967668820003,0.052291898930673326,0.0925982202783219,0.5647181854413604,0.5647181854413604,-0.1786726232717986,7.720360194537196,1.2706381163222675,0.27063811632226753
2014-07-09_2019-07-08,SCHG,"set_[100, 200, 250]__x100_2_200_2_250_2",0.051048106765411605,0.054367590120044704,0.09542507641648519,0.5697411221632768,0.5697411221632768,-0.18302009650848147,7.80199666485902,1.2821574595733602,0.28215745957336025
2014-07-09_2019-07-08,SCHG,sma100_3in_1out,0.049591896425060344,0.053091266066902926,0.09661839602774533,0.5494943846061885,0.5494943846061885,-0.15400472726569225,7.713054601219531,1.273314004965789,0.27331400496578895
2014-07-09_2019-07-08,SCHG,sma100_3in_2out,0.05556348929101129,0.05931833963501704,0.10215730680953031,0.58065684665723,0.58065684665723,-0.1622333627235502,7.013809867986646,1.3098917791696345,0.3098917791696345
2014-07-09_2019-07-08,SCHG,sma100_3in_3out,0.07349779136395007,0.07653141636132524,0.10562237678422062,0.7245757830054683,0.7245757830054683,-0.17769927443776518,7.447087137605567,1.42482433059739,0.42482433059739
2014-07-09_2019-07-08,SCHG,sma150_3in_1out,0.06516346876358425,0.06776154161515732,0.09599148354421923,0.7059120154543965,0.7059120154543965,-0.15596513266204406,6.5193054216903565,1.3704516784584104,0.3704516784584104
2014-07-09_2019-07-08,SCHG,sma150_3in_2out,0.062278451882350705,0.06541305429472571,0.09968621062245799,0.6561895961966582,0.6561895961966582,-0.17276961137155883,7.59329545345281,1.35202156543755,0.35202156543755003
2014-07-09_2019-07-08,SCHG,sma150_3in_3out,0.06484747489531228,0.06828844110190042,0.10417516559505659,0.6555155512528498,0.6555155512528498,-0.18760455877628227,8.2259689253055,1.3684232997034909,0.36842329970349086
2014-07-09_2019-07-08,SCHG,sma200_3in_1out,0.04940595022558436,0.052690107980828425,0.09425105486729428,0.5590399816215982,0.5590399816215982,-0.150387513637992,6.478041094417994,1.272188288861295,0.272188288861295
2014-07-09_2019-07-08,SCHG,sma200_3in_2out,0.04428884262431776,0.04841196166877914,0.10049044423521643,0.4817568679014097,0.4817568679014097,-0.19194845957220988,8.229845928707691,1.2415202843457487,0.24152028434574868
2014-07-09_2019-07-08,SCHG,sma200_3in_3out,0.0472877385269177,0.05165775268348175,0.10415904926764429,0.49595069316294726,0.49595069316294726,-0.22530458748334212,9.449323173353006,1.2594207386048244,0.2594207386048244
2014-07-09_2019-07-08,SCHG,sma250_3in_1out,0.059536417980763146,0.06254926608532538,0.09685077757403134,0.6458313257992548,0.6458313257992548,-0.15092369535213138,6.883406799198887,1.3346890918717556,0.33468909187175555
2014-07-09_2019-07-08,SCHG,sma250_3in_2out,0.05147301158014961,0.05537246905633793,0.10149568392471267,0.5455647660585454,0.5455647660585454,-0.20566024200106725,9.185586796479111,1.2847471089516036,0.2847471089516036
2014-07-09_2019-07-08,SCHG,sma250_3in_3out,0.0611375546510422,0.0646361312794756,0.10260320989898217,0.6299620776300566,0.6299620776300566,-0.20466637722374573,8.396212914747895,1.34478819259951,0.34478819259951
2014-07-09_2019-07-08,SCHG,200SMA_3in_2out_hybrid20SMA,0.08154014883772032,0.08387718815666607,0.10449644384913193,0.8026798335622295,0.8026798335622295,-0.10955993986865648,4.6570496680920375,1.4789144416023132,0.4789144416023132
2014-07-09_2019-07-08,SCHG,baseline_buyhold,0.1276667287884652,0.1308097581639111,0.14569882498825484,0.8978092868933982,0.8978092868933982,-0.21589135438351068,4.702971699024365,1.8217538746684632,0.8217538746684632
2015-08-07_2020-08-05,SCHG,"set_[100, 200]__x100_1_200_1",0.10453793504369102,0.10573924054128643,0.11177563871691273,0.9459954043213809,0.9459954043213809,-0.17135353974480172,5.71735754467376,1.642708398293604,0.6427083982936039
2015-08-07_2020-08-05,SCHG,"set_[100, 200]__x100_2_200_1",0.10986216091247347,0.11078926041327342,0.11390580863870166,0.9726392511262211,0.9726392511262211,-0.17093524751753858,5.727274810155427,1.6826196136159617,0.6826196136159617
2015-08-07_2020-08-05,SCHG,"set_[100, 200]__x100_1_200_2",0.11583965196705703,0.11611015214382839,0.1134440581963178,1.023501397868691,1.023501397868691,-0.15715149427360903,5.056529776268579,1.7283478717990048,0.7283478717990048
2015-08-07_2020-08-05,SCHG,"set_[100, 200]__x100_2_200_2",0.12119083473529679,0.12116017201581535,0.11574945455218724,1.0467450795734732,1.0467450795734732,-0.1567260329995725,5.104139633916574,1.7701228674677227,0.7701228674677227
2015-08-07_2020-08-05,SCHG,"set_[100, 150, 200]__x100_1_150_1_200_1",0.10637859305138453,0.10756951628020572,0.11319113815161334,0.9503351413970434,0.9503351413970434,-0.19228924747319812,5.651636471575106,1.6564196667040465,0.6564196667040465
2015-08-07_2020-08-05,SCHG,"set_[100, 150, 200]__x100_2_150_1_200_1",0.10992477637536147,0.1109361961948637,0.11465060878713783,0.9676023299695655,0.9676023299695655,-0.19201738566424648,5.658851805884887,1.6830935581337043,0.6830935581337043
2015-08-07_2020-08-05,SCHG,"set_[100, 150, 200]__x100_1_150_2_200_1",0.1128403205810522,0.11348146434044365,0.11395283826514258,0.9958634297146498,0.9958634297146498,-0.18283790028929178,5.425863659308206,1.7052801969666909,0.7052801969666909
2015-08-07_2020-08-05,SCHG,"set_[100, 150, 200]__x100_1_150_1_200_2",0.11394265146085525,0.11448345734856702,0.11405463063744051,1.003759836042867,1.003759836042867,-0.18311285071853672,5.242444564387999,1.713729359183669,0.7137293591836691
2015-08-07_2020-08-05,SCHG,"set_[100, 150, 200]__x100_2_150_2_200_1",0.1163856689594216,0.11684814425510166,0.11556699138835455,1.0110858027136997,1.0110858027136997,-0.18256294986004676,5.464999932652153,1.7325739722274383,0.7325739722274383
2015-08-07_2020-08-05,SCHG,"set_[100, 150, 200]__x100_2_150_1_200_2",0.1175009779034184,0.117850137263225,0.11559481544193093,1.0195105793687353,1.0195105793687353,-0.18283790028929178,5.212698772328099,1.7412319974592716,0.7412319974592716
2015-08-07_2020-08-05,SCHG,"set_[100, 150, 200]__x100_1_150_2_200_2",0.12036169085593107,0.12039540540880496,0.11550326305950728,1.0423550142196178,1.0423550142196178,-0.18283790028929212,5.030444593432893,1.7635976827882411,0.7635976827882411
2015-08-07_2020-08-05,SCHG,"set_[100, 150, 200]__x100_2_150_2_200_2",0.12391864943986342,0.12376208532346294,0.11718642487624321,1.0561128172837775,1.0561128172837775,-0.1825629498600465,5.059733910061103,1.7917265549256876,0.7917265549256876
2015-08-07_2020-08-05,SCHG,"set_[100, 200, 250]__x100_1_200_1_250_1",0.10777750317748169,0.10900531189196853,0.11473720243509061,0.950043312705269,0.950043312705269,-0.1849576936641701,5.807729493255729,1.6669013877103185,0.6669013877103185
2015-08-07_2020-08-05,SCHG,"set_[100, 200, 250]__x100_2_200_1_250_1",0.11131875640341526,0.1123719918066265,0.11624915627970003,0.9666478054795951,0.9666478054795951,-0.18468345648153606,5.841791675343985,1.6936724475843528,0.6936724475843528
2015-08-07_2020-08-05,SCHG,"set_[100, 200, 250]__x100_1_200_2_250_1",0.11530334798666186,0.11591925296032983,0.1159548114330239,0.999693341981634,0.999693341981634,-0.16940345243204863,5.3420080018638805,1.7242049775335058,0.7242049775335058
2015-08-07_2020-08-05,SCHG,"set_[100, 200, 250]__x100_1_200_1_250_2",0.10648751835311909,0.10803242073511887,0.11639013394911717,0.9281922536694385,0.9281922536694385,-0.20807121102362872,6.064331635549449,1.6572339224478752,0.6572339224478752
2015-08-07_2020-08-05,SCHG,"set_[100, 200, 250]__x100_2_200_2_250_1",0.11885654321426697,0.11928593287498782,0.1175411981204321,1.0148436019238811,1.0148436019238811,-0.1691239817158172,5.39190933976859,1.7518016524048732,0.7518016524048732
2015-08-07_2020-08-05,SCHG,"set_[100, 200, 250]__x100_2_200_1_250_2",0.11002464786024846,0.11139910064977683,0.11788099935879089,0.9450132019216662,0.9450132019216662,-0.20780475084328287,6.100848506749448,1.6838497192131994,0.6838497192131994
2015-08-07_2020-08-05,SCHG,"set_[100, 200, 250]__x100_1_200_2_250_2",0.11389419110754484,0.11494636180348017,0.11845689609816007,0.9703644582095848,0.9703644582095848,-0.19362153664087534,5.603077217286566,1.7133572174564609,0.7133572174564609
2015-08-07_2020-08-05,SCHG,"set_[100, 200, 250]__x100_2_200_2_250_2",0.11744289696505383,0.11831304171813813,0.12001032126592899,0.9858572201966705,0.9858572201966705,-0.19335021458040122,5.653309613846065,1.7407802690569085,0.7407802690569085
2015-08-07_2020-08-05,SCHG,sma100_3in_1out,0.09866041018444238,0.10002312697550717,0.10836447957065329,0.9230250297127336,0.9230250297127336,-0.1426461409491542,6.030981944184329,1.5995324771861121,0.5995324771861121
2015-08-07_2020-08-05,SCHG,sma100_3in_2out,0.10941975655465885,0.1101231667194811,0.11155843843262073,0.9871343509885493,0.9871343509885493,-0.14178013694422156,4.976560905902912,1.6792740379590987,0.6792740379590987
2015-08-07_2020-08-05,SCHG,sma100_3in_3out,0.1321362447920451,0.1319331175918353,0.12440085475432028,1.0605483206075272,1.0605483206075272,-0.19958503570152,5.200021806589332,1.8580855431335466,0.8580855431335466
2015-08-07_2020-08-05,SCHG,sma150_3in_1out,0.10950315587976345,0.11123006775804434,0.12022280428207847,0.9251994113950753,0.9251994113950753,-0.23394315225605533,6.367257935729696,1.6799043178922926,0.6799043178922926
2015-08-07_2020-08-05,SCHG,sma150_3in_2out,0.12879687869467737,0.12896591193875814,0.12430117929417897,1.0375276620146887,1.0375276620146887,-0.23266368954733976,5.47738254639438,1.8308864625969508,0.8308864625969508
2015-08-07_2020-08-05,SCHG,sma150_3in_3out,0.13719478876290014,0.13729923944020386,0.13151028960011893,1.0440189878502077,1.0440189878502077,-0.18682827598288176,4.999193215355086,1.899901871048113,0.899901871048113
2015-08-07_2020-08-05,SCHG,sma200_3in_1out,0.10891532067383602,0.1114553541070657,0.1264047794686814,0.8817337016491563,0.8817337016491563,-0.21423225599095277,7.109593548679624,1.6754658568111804,0.6754658568111804
2015-08-07_2020-08-05,SCHG,sma200_3in_2out,0.13129974211389017,0.1321971773121496,0.13227300172697654,0.9994267581907349,0.9994267581907349,-0.1868282759828817,5.849597417973784,1.8512421113276398,0.8512421113276398
2015-08-07_2020-08-05,SCHG,sma200_3in_3out,0.13459322548744068,0.13548135682722143,0.1350422352211043,1.003251735321162,1.003251735321162,-0.20988856853784119,5.536951262703324,1.8783031681032831,0.8783031681032831
2015-08-07_2020-08-05,SCHG,sma250_3in_1out,0.11322382843983458,0.11553745459333276,0.12802672423705866,0.9024479481283898,0.9024479481283898,-0.21261331138675538,6.227976876278129,1.7082159262443273,0.7082159262443273
