window,ticker,variant,CAGR,AnnReturn,AnnVol,Sharpe,Sharpe_noRF,MaxDD,UlcerIndex,TotalMultiple,TotalReturn
2020-03-06_2023-03-06,SPMO,"set_[100, 200]__x100_1_200_1",0.005407518415830648,0.011475254341655326,0.11017899962063968,0.10415101227244837,0.10415101227244837,-0.17997500744500114,7.891121760406794,1.016288687719656,0.01628868771965597
2020-03-06_2023-03-06,SPMO,"set_[100, 200]__x100_2_200_1",0.012972769443122978,0.019371045687910492,0.11376300962166788,0.17027543269408182,0.17027543269408182,-0.16638225618226332,6.947100915041711,1.0393722064270787,0.039372206427078726
2020-03-06_2023-03-06,SPMO,"set_[100, 200]__x100_1_200_2",0.0042558559939276375,0.010381692014244518,0.11065584972704565,0.09381964026170328,0.09381964026170328,-0.1827860019007203,8.104281954940074,1.0128049135755424,0.012804913575542365
2020-03-06_2023-03-06,SPMO,"set_[100, 200]__x100_2_200_2",0.011805898206617371,0.018277483360499683,0.1142821845272564,0.15993291899439052,0.15993291899439052,-0.16925594107905906,7.158522928904565,1.0357892354143938,0.03578923541439383
2020-03-06_2023-03-06,SPMO,"set_[100, 150, 200]__x100_1_150_1_200_1",0.013823473996722235,0.01992873312176986,0.11125506720860735,0.17912652090176484,0.17912652090176484,-0.15489751249641948,6.76220113197126,1.0419895603149816,0.04198956031498158
2020-03-06_2023-03-06,SPMO,"set_[100, 150, 200]__x100_2_150_1_200_1",0.018900866393587012,0.02519259401927331,0.11365770682145783,0.22165319645985604,0.22165319645985604,-0.14588764904411847,6.149810814819243,1.0577024857872352,0.05770248578723525
2020-03-06_2023-03-06,SPMO,"set_[100, 150, 200]__x100_1_150_2_200_1",0.011346974882527894,0.01754989280064896,0.11185586950933311,0.15689737943688886,0.15689737943688886,-0.16065711953588446,7.0345138846530375,1.0343823325249,0.03438233252489997
2020-03-06_2023-03-06,SPMO,"set_[100, 150, 200]__x100_1_150_1_200_2",0.013058093783272495,0.019199691570162648,0.11149106570025087,0.17220834198304238,0.17220834198304238,-0.15680755670867083,6.9029894664231595,1.0396345250874968,0.039634525087496764
2020-03-06_2023-03-06,SPMO,"set_[100, 150, 200]__x100_2_150_2_200_1",0.016383245286732295,0.02281375369815242,0.11448841614804967,0.1992669168263366,0.1992669168263366,-0.1517308336456585,6.4265076751225365,1.0498916599142596,0.04989165991425959
2020-03-06_2023-03-06,SPMO,"set_[100, 150, 200]__x100_2_150_1_200_2",0.018128733044064482,0.0244635524676661,0.11391426577553636,0.21475407229390026,0.21475407229390026,-0.14782537916746408,6.288930171685834,1.0553028694300268,0.055302869430026824
2020-03-06_2023-03-06,SPMO,"set_[100, 150, 200]__x100_1_150_2_200_2",0.010583063296864204,0.016820851249041754,0.11209407842566683,0.15006012347205475,0.15006012347205475,-0.16255514182426634,7.175040381365973,1.032043263751534,0.03204326375153399
2020-03-06_2023-03-06,SPMO,"set_[100, 150, 200]__x100_2_150_2_200_2",0.015612615948966013,0.022084712146545213,0.11474651272426861,0.1924652141683287,0.1924652141683287,-0.1536563156308557,6.565563637353707,1.0475085160281488,0.04750851602814876
2020-03-06_2023-03-06,SPMO,"set_[100, 200, 250]__x100_1_200_1_250_1",0.005547766062164561,0.010432004941843062,0.09892457564518488,0.10545412880273333,0.10545412880273333,-0.19226166432233635,8.461350159023114,1.016713480781635,0.016713480781634926
