strategy,bootstrap_median_cagr,bootstrap_5pct_cagr,bootstrap_95pct_cagr,bootstrap_median_max_drawdown
A_original_cefs_ief,0.0975157475758911,0.009832709837683607,0.18765849840522475,-0.14257058142617896
B_original_cefs_bil,0.10910847157449732,0.029933132284019025,0.19333981705260428,-0.11242363877808254
B2_original_cefs_sgov,0.10969674485195569,0.030500861998537333,0.19388967180631142,-0.1122151017115201
C_etfs_ief,0.0703393749559883,-0.00038865867014803917,0.14531786391437998,-0.12646881535335514
D_etfs_bil,0.07814699758889876,0.01786119807592178,0.14336888290085767,-0.09201709180497497
D2_etfs_sgov,0.07867915261999314,0.01839726471524197,0.14380995295653373,-0.09181314241128002
E_original_cefs_6m_ief,0.11140313790872614,0.019292525246213832,0.2070374899840281,-0.13852717747994558
F_original_cefs_12m_ief,0.07483316593446632,-0.02130107829025343,0.1761408757961627,-0.15943654690858955
G_original_cefs_3_6_12m_ief,0.08582401106725446,-0.008505564696846955,0.1842613679296648,-0.1466302803183248
SPY_buy_hold,0.1742038042030497,0.06508255720699517,0.314618869017832,-0.17378487426683215
CEF_equal_weight_buy_hold,0.15592070070828046,0.03092232982299874,0.30517295841150055,-0.20519463383864872
ETF_equal_weight_buy_hold,0.1353363032922411,0.0434341722668371,0.23878805378566084,-0.1480661113383271
