ticker,first_month,last_month,months,missing_inside_history
ADX,2020-06-30,2026-05-31,72,0
BIL,2020-06-30,2026-05-31,72,0
Cash,2020-06-30,2026-05-31,72,0
IEF,2020-06-30,2026-05-31,72,0
KYN,2020-06-30,2026-05-31,72,0
MUB,2020-06-30,2026-05-31,72,0
NMZ,2020-06-30,2026-05-31,72,0
RQI,2020-06-30,2026-05-31,72,0
SGOV,2020-06-30,2026-05-31,72,0
SHY,2020-06-30,2026-05-31,72,0
SPY,2020-06-30,2026-05-31,72,0
TLT,2020-06-30,2026-05-31,72,0
VNQ,2020-06-30,2026-05-31,72,0
XLE,2020-06-30,2026-05-31,72,0
