strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,regime,defensive_exposure
A_original_cefs_ief,2021-02-28,2021-12-31,11,0.29306949281043115,0.13002094741449072,2.063038884309915,4.34312979402325,-0.051562600500000055,5.683760903611346,0.26566870969602885,0.26566870969602885,0.7272727272727273,0.26566870969602885,0,2020_to_2021,0.022727272727272728
A_original_cefs_ief,2022-01-31,2026-05-31,53,0.06030550686444025,0.11182195318039277,0.5807500775821949,1.0929563565124605,-0.13502723010299977,0.4466173735359806,0.2767791304787217,-0.11352643476539281,0.5849056603773585,0.2951507609242736,0,2022_to_latest,0.4009433962264151
B_original_cefs_bil,2021-02-28,2021-12-31,11,0.294847810681111,0.13021315491754587,2.0709692966529025,4.366270022912243,-0.051562600500000055,5.718249425397206,0.2672641998745702,0.2672641998745702,0.7272727272727273,0.2672641998745702,0,2020_to_2021,0.022727272727272728
B_original_cefs_bil,2022-01-31,2026-05-31,53,0.0748298015009996,0.0956085848134539,0.8045934908608314,1.3669384790505148,-0.0836857295822282,0.8941763652484274,0.2767791304787217,-0.048172314871954836,0.6226415094339622,0.37536195269074346,0,2022_to_latest,0.4009433962264151
B2_original_cefs_sgov,2021-02-28,2021-12-31,11,0.29489189325570586,0.13021808166841703,2.071162990848471,4.366843610478984,-0.051562600500000055,5.719104358510885,0.26730374802829227,0.26730374802829227,0.7272727272727273,0.26730374802829227,0,2020_to_2021,0.022727272727272728
B2_original_cefs_sgov,2022-01-31,2026-05-31,53,0.07543445984620956,0.09556412169745769,0.8108448672308859,1.3728446426409873,-0.08347403469653825,0.9036877170301425,0.2767791304787217,-0.0473578480208342,0.6226415094339622,0.3787825294899192,0,2022_to_latest,0.4009433962264151
C_etfs_ief,2021-02-28,2021-12-31,11,0.31603728119431107,0.09011627216171235,3.1265113396435713,12.05369884487257,-0.017994236300000077,17.563250583427635,0.2862612204849002,0.2862612204849002,0.7272727272727273,0.2862612204849002,0,2020_to_2021,0.022727272727272728
C_etfs_ief,2022-01-31,2026-05-31,53,0.024892860793289895,0.09459083342722677,0.3076863247719552,0.49715070969937547,-0.09661173862097217,0.2576587601942424,0.06386233000257047,-0.03999965319747156,0.5660377358490566,0.11471342960052766,0,2022_to_latest,0.4528301886792453
D_etfs_bil,2021-02-28,2021-12-31,11,0.32434931644544784,0.09046864144480889,3.185922494013053,12.330775344225865,-0.017994236299999966,18.025178231401153,0.29370623850481703,0.29370623850481703,0.7272727272727273,0.29370623850481703,0,2020_to_2021,0.022727272727272728
D_etfs_bil,2022-01-31,2026-05-31,53,0.03298074823242381,0.07401668996231842,0.47605100155948066,0.6661763875193442,-0.07961977249416352,0.41422811444030994,0.0694930107333438,-0.024722217284389503,0.6226415094339622,0.15409264136211975,0,2022_to_latest,0.4528301886792453
D2_etfs_sgov,2021-02-28,2021-12-31,11,0.324387626883355,0.090471156169918,3.186163797126022,12.332052062549016,-0.017994236299999966,18.027307270792903,0.2937405437993639,0.2937405437993639,0.7272727272727273,0.2937405437993639,0,2020_to_2021,0.022727272727272728
D2_etfs_sgov,2022-01-31,2026-05-31,53,0.03359157153917969,0.07403442660885241,0.4839575343480322,0.6771233015010151,-0.07931225114279161,0.42353572184834776,0.07059032312149927,-0.023930233840992132,0.6226415094339622,0.15710979459812613,0,2022_to_latest,0.4528301886792453
E_original_cefs_6m_ief,2021-01-31,2021-12-31,12,0.29455485671531334,0.12425841643423037,2.1622731973428286,4.350292395497244,-0.051562600500000055,5.7125679050131115,0.29455485671531334,0.29455485671531334,0.75,0.29455485671531334,0,2020_to_2021,0.041666666666666664
E_original_cefs_6m_ief,2022-01-31,2026-05-31,53,0.0748075757023241,0.11674667657840299,0.6777859141888902,1.2988837086796912,-0.12602030235776196,0.5936152691488641,0.2248188968568896,-0.15257556618233759,0.5471698113207547,0.3752363456556107,0,2022_to_latest,0.42452830188679247
F_original_cefs_12m_ief,2021-07-31,2021-12-31,6,0.0527848909381361,0.15114673594904768,0.4159848203483227,1.0180247216988279,-0.051562600500000055,1.02370498047584,0.026053064387089098,0.026053064387089098,0.5,0.026053064387089098,0,2020_to_2021,0.0
F_original_cefs_12m_ief,2022-01-31,2026-05-31,53,0.07890619725254644,0.1188363043875622,0.7003908032628434,1.3695369292344153,-0.1389863238434913,0.5677263422076013,0.21427954360215185,-0.12757490976917563,0.6037735849056604,0.3985498596505872,0,2022_to_latest,0.37735849056603776
G_original_cefs_3_6_12m_ief,2021-07-31,2021-12-31,6,0.0527848909381361,0.15114673594904768,0.4159848203483227,1.0180247216988279,-0.051562600500000055,1.02370498047584,0.026053064387089098,0.026053064387089098,0.5,0.026053064387089098,0,2020_to_2021,0.0
G_original_cefs_3_6_12m_ief,2022-01-31,2026-05-31,53,0.09044742088228053,0.11424544697139492,0.8175802191989798,1.5620874521800425,-0.10032827390539611,0.901514771076071,0.2549847808410082,-0.0961451879705455,0.6037735849056604,0.4658433323935278,0,2022_to_latest,0.37735849056603776
SPY_buy_hold,2020-07-31,2021-12-31,18,0.35297007440832684,0.13712031077872291,2.2996783730706767,6.061080790251867,-0.06144354973361066,5.744623739003254,0.28728764436508714,0.22252200590893656,0.7222222222222222,0.5737374731709963,0,2020_to_2021,0.0
SPY_buy_hold,2022-01-31,2026-05-31,53,0.12590771132078982,0.16106891460542433,0.8204073868749107,1.4663216527870855,-0.20246985984349375,0.6218590333302677,0.2617576948566265,-0.1817537247030967,0.6415094339622641,0.6883818381142945,0,2022_to_latest,0.0
CEF_equal_weight_buy_hold,2020-07-31,2021-12-31,18,0.337570759876505,0.17013720990794395,1.8114856204769678,4.162852634801629,-0.0515626004639852,6.546814102447901,0.3077265141650458,0.18292775085284285,0.7222222222222222,0.546945984131886,0,2020_to_2021,0.0
