strategy,start,end,months,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,best_year,worst_year,monthly_win_rate,total_return,switches,exposure_ADX,exposure_IEF,exposure_KYN,exposure_NMZ,exposure_RQI,lookbacks,defensive_asset,exposure_TLT,exposure_SHY,exposure_BIL,exposure_SGOV,exposure_Cash
sens_cefs_3m_IEF,2020-10-31,2026-05-31,68,0.082493881976762,0.11686587587548405,0.48584002652319674,0.9266971108553274,-0.20261649987473984,0.4071429623340685,0.24922111303141659,-0.14927897600825402,0.6176470588235294,0.5670308728172544,86,0.17647058823529413,0.375,0.1801470588235294,0.12867647058823528,0.13970588235294118,3,IEF,,,,,
sens_cefs_3m_TLT,2020-10-31,2026-05-31,68,0.0601916539076901,0.14252451215970435,0.2747419413759233,0.5050322872267141,-0.32138648618806653,0.18728744516179688,0.2476512356062175,-0.2627584822847232,0.5735294117647058,0.3926591145425544,86,0.17647058823529413,,0.1801470588235294,0.12867647058823528,0.13970588235294118,3,TLT,0.375,,,,
sens_cefs_3m_SHY,2020-10-31,2026-05-31,68,0.08864636160103267,0.1053318314057787,0.5809701642619314,0.9792108773920235,-0.13645660036061802,0.6496304419629702,0.24518159246172866,-0.09119555011492497,0.6323529411764706,0.6181744668744842,86,0.17647058823529413,,0.1801470588235294,0.12867647058823528,0.13970588235294118,3,SHY,,0.375,,,
sens_cefs_3m_BIL,2020-10-31,2026-05-31,68,0.0938516938308136,0.10388720617095715,0.6338322295732375,0.9984898171347625,-0.10505997177093318,0.8933154297380026,0.24403470195129517,-0.06019086228423842,0.6617647058823529,0.6625109483133031,86,0.17647058823529413,,0.1801470588235294,0.12867647058823528,0.13970588235294118,3,BIL,,,0.375,,
sens_cefs_3m_SGOV,2020-10-31,2026-05-31,68,0.09436566357798837,0.10386316135874102,0.6385122329658357,1.0139118611913944,-0.10436193178833542,0.9042153777814188,0.24410178543278604,-0.05911429089981923,0.6764705882352942,0.6669424146256642,86,0.17647058823529413,,0.1801470588235294,0.12867647058823528,0.13970588235294118,3,SGOV,,,,0.375,
sens_cefs_3m_Cash,2020-10-31,2026-05-31,68,0.08183825582232074,0.10420169339705769,0.5254837391331879,0.8583628723198938,-0.11196885258384504,0.7309019779499681,0.23749685350809346,-0.06962157771881272,0.5441176470588235,0.5616602789778544,86,0.17647058823529413,,0.1801470588235294,0.12867647058823528,0.13970588235294118,3,Cash,,,,,0.375
sens_cefs_6m_IEF,2021-01-31,2026-05-31,65,0.11236098423776464,0.1200613357040748,0.6932129691122663,1.322630509394559,-0.17961691234083266,0.6255590454898461,0.29455485671531334,-0.15257556618233759,0.5846153846153846,0.7803188903998908,55,0.17692307692307693,0.35384615384615387,0.2,0.12692307692307692,0.1423076923076923,6,IEF,,,,,
sens_cefs_6m_TLT,2021-01-31,2026-05-31,65,0.07810370727780125,0.14518778604611687,0.3790996329294974,0.7045720706181061,-0.31875620278306016,0.2450264703741538,0.2852588192604222,-0.270121864096044,0.5538461538461539,0.5028348423233107,55,0.17692307692307693,,0.2,0.12692307692307692,0.1423076923076923,6,TLT,0.35384615384615387,,,,
sens_cefs_6m_SHY,2021-01-31,2026-05-31,65,0.13123826007424166,0.10580561830859693,0.9319541342664409,1.6391651764413924,-0.09732390142732295,1.348468959315656,0.2965003351719635,-0.07387002634858553,0.6307692307692307,0.9502245892977093,55,0.17692307692307693,,0.2,0.12692307692307692,0.1423076923076923,6,SHY,,0.35384615384615387,,,
sens_cefs_6m_BIL,2021-01-31,2026-05-31,65,0.1408647236894589,0.10334476975384901,1.0345251213431008,1.7541767709204545,-0.07073733681073513,1.991377256205682,0.29782481105302794,-0.03803513346669096,0.6615384615384615,1.0418240808408674,55,0.17692307692307693,,0.2,0.12692307692307692,0.1423076923076923,6,BIL,,,0.35384615384615387,,
sens_cefs_6m_SGOV,2021-01-31,2026-05-31,65,0.14142473984598602,0.10327596671836753,1.0399506237009335,1.759723707468235,-0.07037577611232537,2.0095656155927974,0.2979058649281865,-0.03680515776323934,0.6615384615384615,1.0472589315912404,55,0.17692307692307693,,0.2,0.12692307692307692,0.1423076923076923,6,SGOV,,,,0.35384615384615387,
sens_cefs_6m_Cash,2021-01-31,2026-05-31,65,0.12750263556163,0.10408636313641886,0.9134847362555192,1.616180209697139,-0.07168068038615338,1.7787587237559173,0.29782481105302794,-0.04938597211347506,0.5846153846153846,0.9155940570028154,55,0.17692307692307693,,0.2,0.12692307692307692,0.1423076923076923,6,Cash,,,,,0.35384615384615387
sens_cefs_7m_IEF,2021-02-28,2026-05-31,64,0.09564205602646636,0.1202435839407635,0.5614903624847578,1.0714062791422239,-0.2114917545878362,0.45222593293463154,0.26566870969602885,-0.15244716941167857,0.609375,0.627670038235647,51,0.1875,0.3359375,0.1953125,0.125,0.15625,7,IEF,,,,,
sens_cefs_7m_TLT,2021-02-28,2026-05-31,64,0.06725488459888096,0.1463898299166574,0.3045458113193201,0.5609006707902722,-0.3335699946120596,0.20162150578650842,0.26113294730892056,-0.2565189391701208,0.546875,0.4150229146851201,51,0.1875,,0.1953125,0.125,0.15625,7,TLT,0.3359375,,,,
sens_cefs_7m_SHY,2021-02-28,2026-05-31,64,0.10508270555937127,0.1077970894096363,0.6933289164408978,1.220186090460072,-0.14076959700609581,0.7464872230530064,0.2666179558723081,-0.08708112211311958,0.625,0.7038793474630194,51,0.1875,,0.1953125,0.125,0.15625,7,SHY,,0.3359375,,,
sens_cefs_7m_BIL,2021-02-28,2026-05-31,64,0.11105520537710722,0.1062816524858913,0.7528175860385402,1.3313112899937574,-0.1137425127423678,0.9763737647387177,0.2672641998745702,-0.05620577936297777,0.640625,0.7535712028436321,51,0.1875,,0.1953125,0.125,0.15625,7,BIL,,,0.3359375,,
sens_cefs_7m_SGOV,2021-02-28,2026-05-31,64,0.1116103687540817,0.10621506129751042,0.7579689445041325,1.336730354068607,-0.11220715215156263,0.9946814139202568,0.26730374802829227,-0.05502385246352082,0.640625,0.7582493888655804,51,0.1875,,0.1953125,0.125,0.15625,7,SGOV,,,,0.3359375,
sens_cefs_7m_Cash,2021-02-28,2026-05-31,64,0.09856583044886014,0.10660322115644981,0.6439125193166135,1.143662137863175,-0.13959570129596688,0.7060806997192818,0.2672641998745702,-0.06634961718903798,0.578125,0.6509697997712354,51,0.1875,,0.1953125,0.125,0.15625,7,Cash,,,,,0.3359375
