,SMA100,SMA150,SMA200,BuyAndHold
CAGR,0.048075701263177395,0.056008298263055645,0.06479958761636051,0.07995780756398974
AnnReturn,0.05322665003787528,0.06098218061845429,0.0694042521514903,0.09583008993330644
AnnVol,0.11177355971211173,0.11367513755696675,0.11480882408439404,0.19437150243883405
Sharpe,0.47620072381131895,0.5364601436078659,0.6045201900201713,0.4930254112917752
MaxDD,-0.4996141861599076,-0.325256000541399,-0.2729465411233257,-0.5518945632580325
UlcerIndex,21.876143428098054,12.540411410582863,10.440255037064373,16.367570125359187
TotalReturn,2.3461417568367056,3.062340722137778,4.027942720935797,6.2326398286732125
