Date,SMA100,SMA150,SMA200,BuyAndHold
2000-01-03,0.99021241298477,0.99021241298477,0.99021241298477,0.99021241298477
2000-01-04,0.9514895925390511,0.9514895925390511,0.9514895925390511,0.9514895925390511
2000-01-05,0.9531916457486447,0.9531916457486447,0.9531916457486447,0.9531916457486447
2000-01-06,0.9378722624769616,0.9378722624769616,0.9378722624769616,0.9378722624769616
2000-01-07,0.9923401850388845,0.9923401850388845,0.9923401850388845,0.9923401850388845
2000-01-10,0.9957447847591665,0.9957447847591665,0.9957447847591665,0.9957447847591665
2000-01-11,0.983829672340369,0.983829672340369,0.983829672340369,0.983829672340369
2000-01-12,0.9740423319756862,0.9740423319756862,0.9740423319756862,0.9740423319756862
2000-01-13,0.9872339431932545,0.9872339431932545,0.9872339431932545,0.9872339431932545
2000-01-14,1.0006382493993853,1.0006382493993853,1.0006382493993853,1.0006382493993853
2000-01-18,0.9927656572328587,0.9927656572328587,0.9927656572328587,0.9927656572328587
2000-01-19,1.0008505333037023,1.0008505333037023,1.0008505333037023,1.0008505333037023
2000-01-20,0.9855321366342082,0.9855321366342082,0.9855321366342082,0.9855321366342082
2000-01-21,0.983403953495848,0.983403953495848,0.983403953495848,0.983403953495848
2000-01-24,0.9555319483576238,0.9555319483576238,0.9555319483576238,0.9555319483576238
2000-01-25,0.9663830925325149,0.9663830925325149,0.9663830925325149,0.9663830925325149
2000-01-26,0.9587234420050978,0.9587234420050978,0.9587234420050978,0.9587234420050978
2000-01-27,0.9548936167413893,0.9548936167413893,0.9548936167413893,0.9548936167413893
2000-01-28,0.9251067811881599,0.9251067811881599,0.9251067811881599,0.9251067811881599
2000-01-31,0.9251067811881599,0.9251067811881599,0.9502125182223367,0.9502125182223367
2000-02-01,0.9342212977444296,0.9342212977444296,0.9595743863930454,0.9595743863930454
2000-02-02,0.9350501593995054,0.9350501593995054,0.9604257418652385,0.9604257418652385
2000-02-03,0.9491358447716598,0.9491358447716598,0.9748936874478794,0.9748936874478794
2000-02-04,0.9452000526345204,0.9452000526345204,0.9708510849787594,0.9708510849787594
2000-02-07,0.9437500450167804,0.9437500450167804,0.9693617267577281,0.9693617267577281
2000-02-08,0.9565931182852749,0.9565931182852749,0.9825533379752964,0.9825533379752964
2000-02-09,0.93650000692808,0.93650000692808,0.9619149356525718,0.9619149356525718
2000-02-10,0.9383644853956493,0.9383644853956493,0.9638300127181241,0.9638300127181241
2000-02-11,0.9193068307617823,0.9193068307617823,0.9442551675550604,0.9442551675550604
2000-02-14,0.9246926305166617,0.9246926305166617,0.9497871282452116,0.9497871282452116
2000-02-15,0.9351537370896714,0.9351537370896714,0.9605321304679442,0.9605321304679442
2000-02-16,0.9213783845651008,0.9213783845651008,0.9463829396091753,0.9463829396091753
2000-02-17,0.9166141309957997,0.9166141309957997,0.9414893927521075,0.9414893927521075
2000-02-18,0.9166141309957997,0.8969351703101028,0.9212763804065077,0.9212763804065077
2000-02-22,0.9166141309957997,0.8969351703101028,0.9212763804065077,0.9189360777975286
2000-02-23,0.9166141309957997,0.8969351703101028,0.9212763804065077,0.9297873864061177
2000-02-24,0.9166141309957997,0.8969351703101028,0.9027238728274741,0.9110634856310018
2000-02-25,0.9166141309957997,0.8969351703101028,0.9027238728274741,0.9077659322482183
2000-02-28,0.9166141309957997,0.8969351703101028,0.9027238728274741,0.926808587747206
2000-02-29,0.9166141309957997,0.8969351703101028,0.9114276407859516,0.9357445726396955
2000-03-01,0.9166141309957997,0.9034617261768589,0.9180596512288453,0.9425535254297118
2000-03-02,0.9166141309957997,0.904073110559465,0.9186809142185208,0.9431913637448518
2000-03-03,0.9166141309957997,0.9210006875915658,0.9358820031146736,0.9608513784929101
2000-03-06,0.9076833582574337,0.9120271756691354,0.9267634992676255,0.9514895925390504
2000-03-07,0.8901265196061082,0.8943863168573274,0.9088376035501843,0.9330854330899954
2000-03-08,0.8901265196061082,0.8932643421917997,0.9076975002782054,0.931914911809685
2000-03-09,0.8901265196061082,0.8932643421917997,0.9342237002028142,0.9591488319822219
2000-03-10,0.8853875807703911,0.8885086979226601,0.9292499926717797,0.9540424257028937
2000-03-13,0.8757120088755216,0.8787990182606895,0.919095089544971,0.9436165892882784
2000-03-14,0.8757120088755216,0.8663158444719937,0.9060395176875575,0.9302126941663932
2000-03-15,0.8757120088755216,0.8663158444719937,0.9271779148349844,0.9519150647330243
2000-03-16,0.8757120088755216,0.9067850382964192,0.970490227526267,0.9963829519417023
2000-03-17,0.8814997899567002,0.912778188140381,0.9769044195453508,1.002968274902229
2000-03-20,0.8769999648537846,0.9081186950228731,0.9719175788446454,0.9978483850596521
2000-03-21,0.8949980368514193,0.9267553954908654,0.9918635802823184,1.0183265467435256
2000-03-22,0.9004344915206638,0.9323847527515676,0.9978884218688419,1.0245121313838397
2000-03-23,0.9158072259620682,0.94830296039048,1.0149249457425942,1.0420031905070448
2000-03-24,0.921244041929556,0.9539326917694291,1.020950187730632,1.0481891862316042
2000-03-27,0.9114954927246944,0.9438382332322943,1.0101465540702628,1.0370973111226156
2000-03-28,0.9062461182859103,0.9384025943998231,1.004329040387873,1.0311245859045621
2000-03-29,0.9071839762662669,0.9393737305450568,1.00536840263884,1.0321916783887337
2000-03-30,0.8919983943149714,0.9236493161580249,0.9885392867495245,1.0149135609046385
2000-03-31,0.902121898836889,0.9341320346117647,0.9997584571014929,1.0264320592434881
2000-04-03,0.907370622938835,0.9395670000313917,1.0055752500611568,1.0324040445099
2000-04-04,0.900622077568665,0.9325789949453446,0.998096310335096,1.0247255663240444
