Year,SMA100_CAGR,SMA100_AnnReturn,SMA100_AnnVol,SMA100_Sharpe,SMA100_MaxDD,SMA100_UlcerIndex,SMA100_TotalReturn,SMA150_CAGR,SMA150_AnnReturn,SMA150_AnnVol,SMA150_Sharpe,SMA150_MaxDD,SMA150_UlcerIndex,SMA150_TotalReturn,SMA200_CAGR,SMA200_AnnReturn,SMA200_AnnVol,SMA200_Sharpe,SMA200_MaxDD,SMA200_UlcerIndex,SMA200_TotalReturn,BAH_CAGR,BAH_AnnReturn,BAH_AnnVol,BAH_Sharpe,BAH_MaxDD,BAH_UlcerIndex,BAH_TotalReturn
2000,-0.27885428045268534,-0.3144850009074699,0.1559689528671317,-2.0163307833154227,-0.279467650421921,22.69878389349981,-0.27885428045268534,-0.17771113604353206,-0.17956063790544186,0.1790500823423139,-1.0028514679046718,-0.1784105332409589,14.109479926775595,-0.17771113604353206,-0.16237401121410833,-0.15927193449087995,0.189019377774532,-0.8426222558031288,-0.17956281672526908,13.07194622691161,-0.16237401121410833,-0.09741497050552428,-0.07408592131318803,0.23855259948115523,-0.3105643010150495,-0.17131914507106072,6.859186382592749,-0.09741497050552428
2001,-0.1297169908880692,-0.13548856058326145,0.08249279794282652,-1.6424289630370499,-0.13968301959275375,8.655069935555364,-0.12779559750773073,-0.04326274294030108,-0.043724756399786555,0.03147670482160004,-1.3891147960882366,-0.056481038813021134,2.759695612718704,-0.04259087038911091,0.0,0.0,0.0,,0.0,0.0,0.0,-0.11936403902303239,-0.10274488314367777,0.2204120384872159,-0.4661491443428443,-0.288143468433151,14.109278400809114,-0.11758544418698369
2002,-0.1318349390467779,-0.13582498620738426,0.10478598990914449,-1.2962132277907799,-0.15634035725179662,9.309388339536184,-0.1318349390467779,-0.0941762558324194,-0.09710555960656198,0.05958927360882204,-1.629581193488248,-0.11027216749709234,8.174037381274244,-0.0941762558324194,-0.061966609266028594,-0.06306284203350343,0.04221734575754468,-1.4937661499535042,-0.0681875644169645,5.926997314361958,-0.061966609266028594,-0.21584622116708851,-0.20833357569076494,0.263956942037925,-0.7892710609627831,-0.3297175199875302,17.559533506044204,-0.21584622116708851
2003,0.1706045722054652,0.16556308417407128,0.12638814237212373,1.3099574142533486,-0.10507898050935349,4.083844896459483,0.1706045722054652,0.22396728468600124,0.21052258402461355,0.12916991851832493,1.6298112318987594,-0.07594741670852567,2.8510310188612475,0.22396728468600124,0.20581866346517685,0.19441146364779283,0.11981324526438236,1.622620798049502,-0.055280865039492144,1.723969400143058,0.20581866346517685,0.2818151139303844,0.26198905820827223,0.1649438079430181,1.588353400321518,-0.13725521674535568,4.398894285780882,0.2818151139303844
2004,0.019028132741215176,0.023013884013628583,0.09122933231408333,0.2522640846958809,-0.10771180283052084,5.998215796142612,0.019028132741215176,0.0400893817540211,0.04386983752108187,0.09546940258713975,0.45951725193880466,-0.08927001176708815,4.404674685144829,0.0400893817540211,0.045598646892752726,0.04976076324759693,0.10161731777960617,0.4896878242301288,-0.07344715547007108,3.8166957909753303,0.045598646892752726,0.10697963270323352,0.10784603617324984,0.11121896722099105,0.9696730590831757,-0.07530544901660918,2.988228249819029,0.10697963270323352
2005,0.013397429848941877,0.016383515966017725,0.07838220018406349,0.20902087371296818,-0.04445850089801562,2.63641084315236,0.013397429848941877,-0.02304782341777578,-0.019392187065077837,0.08853538770581702,-0.21903317495500974,-0.07958182404926661,3.963169283121557,-0.02304782341777578,-0.04250980954903549,-0.038967985909776015,0.09445563083727809,-0.4125533392170921,-0.09791758930440941,5.072566549660568,-0.04250980954903549,0.04828302498586279,0.052464208458553485,0.10299752763921081,0.5093734739180336,-0.0695739837909205,2.572366796914273,0.04828302498586279
2006,0.11112236116260332,0.10837363808002179,0.07718392761845942,1.404095922868053,-0.06599077989004176,3.3161416611568746,0.11065785639771586,0.06925176723008275,0.07033270799555225,0.08198101707534584,0.8579145575970587,-0.10105017874938649,5.145244379454125,0.06896769323302099,0.10076932978978181,0.10000541321081355,0.0891442967870508,1.1218374794038473,-0.09206853354499733,4.021506397474093,0.10035002823503758,0.15913072208509282,0.1527010833337454,0.09989296224196137,1.5286470628818862,-0.07593120885214233,2.4970173521297525,0.1584516780638625
2007,-0.08111841276392551,-0.07804829780625319,0.1138255044185606,-0.685683742013152,-0.13601509489277142,6.047581953442204,-0.08080988654380283,-0.07635072898972473,-0.0708029736304673,0.13075869589152972,-0.5414781261599731,-0.16313816837680994,8.217512218028437,-0.07605957651064243,-0.047146870651856965,-0.038631371944547244,0.13857107617654793,-0.27878380546982645,-0.13678498278470297,6.037719639336171,-0.046964243761343005,0.05167275549978401,0.06302723671653052,0.1587386604347199,0.3970503250054198,-0.09924547252117932,3.6184113640376965,0.05146251709768812
2008,-0.036761542431603456,-0.035551132800319685,0.06149307197680876,-0.578132327064865,-0.06767236672007593,5.127999427039778,-0.036904696083903676,-0.06479897469655782,-0.06598380351891321,0.044426279946366484,-1.4852425996183338,-0.06762390515939154,5.175525766453231,-0.06504756325766425,-0.03860941534515916,-0.03903347018821594,0.025858228942338166,-1.5095183152433809,-0.03875961904628944,3.0642842823191367,-0.03875961904628944,-0.36680252992391116,-0.37210812055538056,0.41211589311351976,-0.9029210636457575,-0.47116607664031507,19.849535513074976,-0.3679497200704551
2009,0.3424718445473949,0.30922471447210265,0.17053520830472513,1.8132602501622814,-0.06965853098396824,1.9422506868671372,0.3424718445473949,0.29545212393565023,0.2705654369717717,0.15219595437130334,1.777743949170222,-0.06965853098396779,1.875928060531777,0.29545212393565023,0.22348979564803217,0.21047816644120798,0.13176890435822766,1.5973280453861929,-0.06965853098396779,1.7244291856457126,0.22348979564803217,0.26351725346951604,0.2692940662732777,0.2658057525910351,1.0131235447248188,-0.27131718033219177,7.956109476734941,0.26351725346951604
